solution_id,Crop,basin_irrigated_area_m2,basin_model_cultivated_area_m2,basin_irrigated_fraction_of_model_cultivated,alluvial_capture,estimated_alluvial_irrigated_area_m2,alluvial_cdl_cultivated_area_m2,alluvial_expansion_eligible_area_m2,estimated_alluvial_irrigated_fraction_of_cdl_cultivated,estimated_alluvial_irrigated_fraction_of_expansion_eligible
1,Corn,111488831.32243854,8661637800,0.012871564696741134,0.831524218313117,92705663.31603366,487256679.1111111,572359251.5555556,0.19026042595281412,0.1619711100398545
1,Soybeans,87765643.83941028,8661637800,0.01013268458759731,0.8447582898771889,74140755.19975066,487256679.1111111,572359251.5555556,0.1521595462477879,0.12953534864379534
1,Sorghum,1973628.4057330796,8661637800,2.2785857031947003e-4,0.6350684931506849,1253389.2176682956,487256679.1111111,572359251.5555556,0.0025723387105843656,0.0021898645199878216
1,Wheat,336969.33358874393,8661637800,3.890365094563801e-5,0.6265486725663716,211127.68865560237,487256679.1111111,572359251.5555556,4.33298706219393e-4,3.6887267582693984e-4
2,Corn,129999870.91622747,8661637800,0.015008693958113497,0.831524218313117,108098041.04442216,487256679.1111111,572359251.5555556,0.22185030124496688,0.18886397092496324
2,Soybeans,52535017.72716181,8661637800,0.006065252200589802,0.8447582898771889,44379391.733865015,487256679.1111111,572359251.5555556,0.09108010959403391,0.07753765072068092
2,Sorghum,1628520.2984799957,8661637800,1.880152848783397e-4,0.6350684931506849,1034221.9320209945,487256679.1111111,572359251.5555556,0.0021225402880216994,0.001806945426688204
2,Wheat,266774.4254172322,8661637800,3.079953602045472e-5,0.6265486725663716,167147.16211982333,487256679.1111111,572359251.5555556,3.4303719022332394e-4,2.920319042027389e-4
3,Corn,92001746.55681673,8661637800,0.01062174945214365,0.831524218313117,76501680.38909853,487256679.1111111,572359251.5555556,0.15700488811904728,0.1336602495393978
3,Soybeans,91338656.55698183,8661637800,0.010545194646326798,0.8447582898771889,77159087.31275587,487256679.1111111,572359251.5555556,0.158354088554548,0.1348088409561883
3,Sorghum,1881435.7870835287,8661637800,2.1721478437756065e-4,0.6350684931506849,1194840.5902629094,487256679.1111111,572359251.5555556,0.0024521789879671306,0.002087571026441132
3,Wheat,321228.73866322596,8661637800,3.708637397227877e-5,0.6265486725663716,201265.4397996141,487256679.1111111,572359251.5555556,4.1305834979374134e-4,3.516418040812929e-4
4,Corn,158274769.73073664,8661637800,0.01827307645336274,0.831524218313117,131609304.17903937,487256679.1111111,572359251.5555556,0.27010261700081895,0.2299417783871793
4,Soybeans,63863613.54366634,8661637800,0.007373156788392414,0.8447582898771889,53949316.962525256,487256679.1111111,572359251.5555556,0.11072052836903848,0.09425778794682191
4,Sorghum,1979692.698121439,8661637800,2.285587026187402e-4,0.6350684931506849,1257240.458697396,487256679.1111111,572359251.5555556,0.0025802426371885658,0.002196593232799982
4,Wheat,321578.64878463664,8661637800,3.7126771657969426e-5,0.6265486725663716,201484.67552170152,487256679.1111111,572359251.5555556,4.1350828866884787e-4,3.520248427436218e-4
5,Corn,129347607.11415699,8661637800,0.014933389054222168,0.831524218313117,107555667.89627156,487256679.1111111,572359251.5555556,0.22073718536292286,0.18791636127826572
5,Soybeans,95682900.38265938,8661637800,0.01104674457556507,0.8447582898771889,80828923.29774477,487256679.1111111,572359251.5555556,0.16588571642609135,0.14122061114250928
5,Sorghum,2207693.451033137,8661637800,2.548817558537413e-4,0.6350684931506849,1402036.5532862495,487256679.1111111,572359251.5555556,0.0028774085885163157,0.0024495743704252186
5,Wheat,376932.6529765611,8661637800,4.35174803749657e-5,0.6265486725663716,236166.65336938517,487256679.1111111,572359251.5555556,4.8468633370037627e-4,4.1261961386582365e-4
6,Corn,138702662.75903574,8661637800,0.016013445258474757,0.831524218313117,115334623.22865507,487256679.1111111,572359251.5555556,0.23670198516120258,0.20150739752209668
