Crop,n,RMSE,MAE,R2
Corn,534,1391.6731769967803,1017.463926902338,0.766097712674317
Sorghum,41,589.0579280196873,468.9585066736866,0.8427039750650097
Soybeans,574,442.3373526170939,340.4371105079267,0.6336521985862708
Wheat,141,535.3675947842753,438.200645120865,0.5341651161636397
