model,in_sample_n,in_sample_RMSE,in_sample_MAE,in_sample_R2,AIC,blocked_n,blocked_RMSE,blocked_MAE,blocked_R2,blocked_bias
wheat_climate_only,141,535.3675947842753,438.200645120865,0.5341651161636397,2138.6123424295392,50,1161.5356056127987,823.7457846722663,0.12476335975426193,-634.3471943291329
wheat_no_water_year,141,515.9299417273035,435.1849599684983,0.567529169228064,2127.1402906315657,50,1180.9743212317906,911.1962312441304,0.05882509666993761,-271.6062350193034
wheat_with_water_year,141,484.0047165334646,404.9777035529329,0.6197391233188266,2112.176768451262,50,1125.4026919855592,769.7253713029359,6.538374589930977e-5,570.810609715866
