model,in_sample_n,in_sample_RMSE,in_sample_MAE,in_sample_R2,AIC,blocked_n,blocked_RMSE,blocked_MAE,blocked_R2,blocked_bias
wheat_no_water_year,209,563.4109141661728,449.44955512481954,0.4292963588201266,3210.454733281384,85,1635.624828781742,1039.8614174180127,0.03756013009403601,25.193381404996412
wheat_with_water_year,209,509.6880322431086,392.77612002219684,0.5330250292909774,3170.808142109402,85,2455.183089479942,1812.7310248684482,0.034453629788495414,923.4593406235583
