Year,water_condition,Crop,model,totalWater_m,GDD,FIPS,predicted_yield
2006,dry,Corn,current,0.6174165495675057,2200.3958953857455,20005,9707.614880925588
2006,median,Corn,current,0.8222640674471555,2200.3958953857455,20005,11214.02469555685
2006,wet,Corn,current,1.0341520756468983,2200.3958953857455,20005,11046.251649155829
2007,dry,Corn,current,0.6174165495675057,2200.3958953857455,20005,9707.614880925588
2007,median,Corn,current,0.8222640674471555,2200.3958953857455,20005,11214.02469555685
2007,wet,Corn,current,1.0341520756468983,2200.3958953857455,20005,11046.251649155829
2008,dry,Corn,current,0.6174165495675057,2200.3958953857455,20005,9707.614880925588
2008,median,Corn,current,0.8222640674471555,2200.3958953857455,20005,11214.02469555685
2008,wet,Corn,current,1.0341520756468983,2200.3958953857455,20005,11046.251649155829
2009,dry,Corn,current,0.6174165495675057,2200.3958953857455,20005,9707.614880925588
2009,median,Corn,current,0.8222640674471555,2200.3958953857455,20005,11214.02469555685
2009,wet,Corn,current,1.0341520756468983,2200.3958953857455,20005,11046.251649155829
2010,dry,Corn,current,0.6174165495675057,2200.3958953857455,20005,9707.614880925588
2010,median,Corn,current,0.8222640674471555,2200.3958953857455,20005,11214.02469555685
2010,wet,Corn,current,1.0341520756468983,2200.3958953857455,20005,11046.251649155829
2011,dry,Corn,current,0.6174165495675057,2200.3958953857455,20005,9707.614880925588
2011,median,Corn,current,0.8222640674471555,2200.3958953857455,20005,11214.02469555685
2011,wet,Corn,current,1.0341520756468983,2200.3958953857455,20005,11046.251649155829
2012,dry,Corn,current,0.6174165495675057,2200.3958953857455,20005,9707.614880925588
2012,median,Corn,current,0.8222640674471555,2200.3958953857455,20005,11214.02469555685
2012,wet,Corn,current,1.0341520756468983,2200.3958953857455,20005,11046.251649155829
2013,dry,Corn,current,0.6174165495675057,2200.3958953857455,20005,9707.614880925588
2013,median,Corn,current,0.8222640674471555,2200.3958953857455,20005,11214.02469555685
2013,wet,Corn,current,1.0341520756468983,2200.3958953857455,20005,11046.251649155829
2014,dry,Corn,current,0.6174165495675057,2200.3958953857455,20005,9707.614880925588
2014,median,Corn,current,0.8222640674471555,2200.3958953857455,20005,11214.02469555685
2014,wet,Corn,current,1.0341520756468983,2200.3958953857455,20005,11046.251649155829
2015,dry,Corn,current,0.6174165495675057,2200.3958953857455,20005,9707.614880925588
2015,median,Corn,current,0.8222640674471555,2200.3958953857455,20005,11214.02469555685
2015,wet,Corn,current,1.0341520756468983,2200.3958953857455,20005,11046.251649155829
2016,dry,Corn,current,0.6174165495675057,2200.3958953857455,20005,9707.614880925588
2016,median,Corn,current,0.8222640674471555,2200.3958953857455,20005,11214.02469555685
2016,wet,Corn,current,1.0341520756468983,2200.3958953857455,20005,11046.251649155829
2017,dry,Corn,current,0.6174165495675057,2200.3958953857455,20005,9707.614880925588
2017,median,Corn,current,0.8222640674471555,2200.3958953857455,20005,11214.02469555685
2017,wet,Corn,current,1.0341520756468983,2200.3958953857455,20005,11046.251649155829
2018,dry,Corn,current,0.6174165495675057,2200.3958953857455,20005,9707.614880925588
2018,median,Corn,current,0.8222640674471555,2200.3958953857455,20005,11214.02469555685
2018,wet,Corn,current,1.0341520756468983,2200.3958953857455,20005,11046.251649155829
2019,dry,Corn,current,0.6174165495675057,2200.3958953857455,20005,9707.614880925588
2019,median,Corn,current,0.8222640674471555,2200.3958953857455,20005,11214.02469555685
2019,wet,Corn,current,1.0341520756468983,2200.3958953857455,20005,11046.251649155829
2020,dry,Corn,current,0.6174165495675057,2200.3958953857455,20005,9707.614880925588
2020,median,Corn,current,0.8222640674471555,2200.3958953857455,20005,11214.02469555685
2020,wet,Corn,current,1.0341520756468983,2200.3958953857455,20005,11046.251649155829
2021,dry,Corn,current,0.6174165495675057,2200.3958953857455,20005,9707.614880925588
2021,median,Corn,current,0.8222640674471555,2200.3958953857455,20005,11214.02469555685
2021,wet,Corn,current,1.0341520756468983,2200.3958953857455,20005,11046.251649155829
2022,dry,Corn,current,0.6174165495675057,2200.3958953857455,20005,9707.614880925588
2022,median,Corn,current,0.8222640674471555,2200.3958953857455,20005,11214.02469555685
2022,wet,Corn,current,1.0341520756468983,2200.3958953857455,20005,11046.251649155829
2023,dry,Corn,current,0.6174165495675057,2200.3958953857455,20005,9707.614880925588
2023,median,Corn,current,0.8222640674471555,2200.3958953857455,20005,11214.02469555685
2023,wet,Corn,current,1.0341520756468983,2200.3958953857455,20005,11046.251649155829
2024,dry,Corn,current,0.6174165495675057,2200.3958953857455,20005,9707.614880925588
2024,median,Corn,current,0.8222640674471555,2200.3958953857455,20005,11214.02469555685
2024,wet,Corn,current,1.0341520756468983,2200.3958953857455,20005,11046.251649155829
2025,dry,Corn,current,0.6174165495675057,2200.3958953857455,20005,9707.614880925588
2025,median,Corn,current,0.8222640674471555,2200.3958953857455,20005,11214.02469555685
2025,wet,Corn,current,1.0341520756468983,2200.3958953857455,20005,11046.251649155829
2026,dry,Corn,current,0.6174165495675057,2200.3958953857455,20005,9707.614880925588
2026,median,Corn,current,0.8222640674471555,2200.3958953857455,20005,11214.02469555685
2026,wet,Corn,current,1.0341520756468983,2200.3958953857455,20005,11046.251649155829
2027,dry,Corn,current,0.6174165495675057,2200.3958953857455,20005,9707.614880925588
2027,median,Corn,current,0.8222640674471555,2200.3958953857455,20005,11214.02469555685
2027,wet,Corn,current,1.0341520756468983,2200.3958953857455,20005,11046.251649155829
2028,dry,Corn,current,0.6174165495675057,2200.3958953857455,20005,9707.614880925588
2028,median,Corn,current,0.8222640674471555,2200.3958953857455,20005,11214.02469555685
2028,wet,Corn,current,1.0341520756468983,2200.3958953857455,20005,11046.251649155829
2029,dry,Corn,current,0.6174165495675057,2200.3958953857455,20005,9707.614880925588
2029,median,Corn,current,0.8222640674471555,2200.3958953857455,20005,11214.02469555685
2029,wet,Corn,current,1.0341520756468983,2200.3958953857455,20005,11046.251649155829
2030,dry,Corn,current,0.6174165495675057,2200.3958953857455,20005,9707.614880925588
2030,median,Corn,current,0.8222640674471555,2200.3958953857455,20005,11214.02469555685
2030,wet,Corn,current,1.0341520756468983,2200.3958953857455,20005,11046.251649155829
2031,dry,Corn,current,0.6174165495675057,2200.3958953857455,20005,9707.614880925588
2031,median,Corn,current,0.8222640674471555,2200.3958953857455,20005,11214.02469555685
2031,wet,Corn,current,1.0341520756468983,2200.3958953857455,20005,11046.251649155829
2032,dry,Corn,current,0.6174165495675057,2200.3958953857455,20005,9707.614880925588
2032,median,Corn,current,0.8222640674471555,2200.3958953857455,20005,11214.02469555685
2032,wet,Corn,current,1.0341520756468983,2200.3958953857455,20005,11046.251649155829
2033,dry,Corn,current,0.6174165495675057,2200.3958953857455,20005,9707.614880925588
2033,median,Corn,current,0.8222640674471555,2200.3958953857455,20005,11214.02469555685
2033,wet,Corn,current,1.0341520756468983,2200.3958953857455,20005,11046.251649155829
2034,dry,Corn,current,0.6174165495675057,2200.3958953857455,20005,9707.614880925588
2034,median,Corn,current,0.8222640674471555,2200.3958953857455,20005,11214.02469555685
2034,wet,Corn,current,1.0341520756468983,2200.3958953857455,20005,11046.251649155829
2035,dry,Corn,current,0.6174165495675057,2200.3958953857455,20005,9707.614880925588
2035,median,Corn,current,0.8222640674471555,2200.3958953857455,20005,11214.02469555685
2035,wet,Corn,current,1.0341520756468983,2200.3958953857455,20005,11046.251649155829
2036,dry,Corn,current,0.6174165495675057,2200.3958953857455,20005,9707.614880925588
2036,median,Corn,current,0.8222640674471555,2200.3958953857455,20005,11214.02469555685
