RMSE,MAE,R2,model,Crop,Response
2312.254708608115,1904.9157412932584,0.35416698140490654,lm,Corn,yield_kgHa_detrended
2061.4412701958304,1710.5603781537934,0.48705864098143514,lmer_full,Corn,yield_kgHa_detrended
2327.731979846557,1912.1283707314642,0.3463573544978841,lmer_fixed,Corn,yield_kgHa_detrended
8280.18411152566,6821.503269571154,0.35416698140490654,lm,Corn,yield_kcalHa_detrended
7382.021188550941,6125.516714150166,0.4870586409836809,lmer_full,Corn,yield_kcalHa_detrended
8335.608219842597,6847.331695598785,0.34635735449609784,lmer_fixed,Corn,yield_kcalHa_detrended
1073.719110779766,890.0086087952095,0.4756462663646405,lm,Sorghum,yield_kgHa_detrended
589.6910051931427,470.13728102896835,0.8424715826246316,lmer_full,Sorghum,yield_kgHa_detrended
1097.0173961117011,896.9832492655498,0.4693476250918442,lmer_fixed,Sorghum,yield_kgHa_detrended
3682.856549974595,3052.7295281675683,0.4756462663646413,lm,Sorghum,yield_kcalHa_detrended
2022.640147813153,1612.5708739305576,0.8424715826245576,lmer_full,Sorghum,yield_kcalHa_detrended
3762.7696686629856,3076.6525449806036,0.46934762509188055,lmer_fixed,Sorghum,yield_kcalHa_detrended
573.423843165906,469.48924264478404,0.38411745192097435,lm,Soybeans,yield_kgHa_detrended
515.582615469763,426.2420985985878,0.5024288867288099,lmer_full,Soybeans,yield_kgHa_detrended
573.7807162975962,469.737972450627,0.383684915456716,lmer_fixed,Soybeans,yield_kgHa_detrended
2062.0321400245984,1688.2833165506447,0.38411745192097435,lm,Soybeans,yield_kcalHa_detrended
1854.0350852264255,1532.7665865573013,0.5024288867300692,lmer_full,Soybeans,yield_kcalHa_detrended
2063.3154558063316,1689.1777489325232,0.38368491545664696,lmer_fixed,Soybeans,yield_kcalHa_detrended
706.2368298104956,568.4145818523673,0.18896935954855518,lm,Wheat,yield_kgHa_detrended
706.2368298104956,568.4145818523672,0.1889693595485551,lmer_full,Wheat,yield_kgHa_detrended
706.2368298104956,568.4145818523672,0.1889693595485551,lmer_fixed,Wheat,yield_kgHa_detrended
2319.281749097667,1866.6734868031745,0.1889693595485551,lm,Wheat,yield_kcalHa_detrended
2319.2817490976677,1866.6734868031767,0.18896935954855504,lmer_full,Wheat,yield_kcalHa_detrended
2319.2817490976677,1866.6734868031767,0.18896935954855504,lmer_fixed,Wheat,yield_kcalHa_detrended
