Crop,model,n,AIC,BIC,singular
Corn,shared_curve,534,9725.094013134732,9750.776388168493,FALSE
Corn,management_intercept,534,9346.141127769462,9376.103898642185,FALSE
Corn,management_curve,534,9328.83896126352,9367.362523814161,FALSE
Soybeans,shared_curve,574,8858.95625014815,8885.072026526068,FALSE
Soybeans,management_intercept,574,8709.555817352582,8740.024223126818,FALSE
Soybeans,management_curve,574,8707.291863118544,8746.46552768542,FALSE
