solution_id,Crop,basin_irrigated_area_m2,basin_model_cultivated_area_m2,basin_irrigated_fraction_of_model_cultivated,alluvial_capture,estimated_alluvial_irrigated_area_m2,alluvial_cdl_cultivated_area_m2,alluvial_expansion_eligible_area_m2,estimated_alluvial_irrigated_fraction_of_cdl_cultivated,estimated_alluvial_irrigated_fraction_of_expansion_eligible
1,Corn,141156469.59861854,8661637800,0.01629674120044809,0.831524218313117,117375023.04283054,487256679.1111111,572359251.5555556,0.24088951075427956,0.2050722910896071
1,Soybeans,56956407.13280288,8661637800,0.006575708710978757,0.8447582898771889,48114397.08705549,487256679.1111111,572359251.5555556,0.09874548497688991,0.08406328185713847
1,Sorghum,1765577.8784729335,8661637800,2.0383880268844e-4,0.6350684931506849,1121262.882821989,487256679.1111111,572359251.5555556,0.0023011749882371605,0.001959019409181603
1,Wheat,286798.12226520764,8661637800,3.311130399209346e-5,0.6265486725663716,179692.9827997938,487256679.1111111,572359251.5555556,3.687850582727829e-4,3.139513903399394e-4
2,Corn,97790810.43694647,8661637800,0.01129010617795014,0.831524218313117,81315427.20678811,487256679.1111111,572359251.5555556,0.16688417151126506,0.1420706086007859
2,Soybeans,99987775.21542232,8661637800,0.011543749291320207,0.8447582898771889,84465501.99960493,487256679.1111111,572359251.5555556,0.17334909016269004,0.1475742757193929
2,Sorghum,2038604.0648882699,8661637800,2.3536011456035138e-4,0.6350684931506849,1294653.2116194547,487256679.1111111,572359251.5555556,0.0026570250693766883,0.0022619590896816146
2,Wheat,348063.014902518,8661637800,4.018443427668125e-5,0.6265486725663716,218078.4199566219,487256679.1111111,572359251.5555556,4.4756373653914055e-4,3.810166767880999e-4
3,Corn,100461493.83407278,8661637800,0.011598440866930822,0.831524218313117,83536165.13094538,487256679.1111111,572359251.5555556,0.17144180616125798,0.14595058069544808
3,Soybeans,97336127.48421273,8661637800,0.011237612300552757,0.8447582898771889,82225500.59683159,487256679.1111111,572359251.5555556,0.16875192095228597,0.14366064735279366
3,Sorghum,2022344.4925983944,8661637800,2.3348292081647588e-4,0.6350684931506849,1284327.2695460487,487256679.1111111,572359251.5555556,0.0026358330723942284,0.00224391807427854
3,Wheat,345286.921275652,8661637800,3.986392980732258e-5,0.6265486725663716,216339.062179789,487256679.1111111,572359251.5555556,4.439940414453638e-4,3.779777501487459e-4
4,Corn,123146466.88308202,8661637800,0.014217457451647542,0.831524218313117,102399269.61297692,487256679.1111111,572359251.5555556,0.21015467617556538,0.17890733719194127
4,Soybeans,74812844.72344802,8661637800,0.00863726311938927,0.8447582898771889,63198770.76942763,487256679.1111111,572359251.5555556,0.12970324159479846,0.11041801210981787
4,Sorghum,1884234.5393253407,8661637800,2.175379048204187e-4,0.6350684931506849,1196617.989631819,487256679.1111111,572359251.5555556,0.0024558267560637163,0.0020906764176164805
4,Wheat,321706.5863041824,8661637800,3.71415422501484e-5,0.6265486725663716,201564.83460474436,487256679.1111111,572359251.5555556,4.136727996678332e-4,3.521648930403978e-4
