solution_id,Corn,Soybeans,Sorghum,Wheat,scenario_name,seed,irrig_frac_factor,basin_irrigated_area_m2,basin_irrigated_fraction_of_model_cultivated,estimated_alluvial_irrigated_area_m2,estimated_alluvial_irrigated_fraction_of_cdl_cultivated,estimated_alluvial_irrigated_fraction_of_expansion_eligible,nitrate,irrigation,profit,profit_minimized,feasible,phase,gcm_name,climate_pathway,period,landuse_name,crop_bound_type,annual_relative_change,transition_years,crop_reference_period
1,0.4903560235767572,0.3682190461621694,0.0529229750029411,0.0885019552581324,fixed_ensemble_rcp45_early,1,1,200165252.73215955,0.02310940001810738,166790375.9955078,0.3423049557776794,0.2914085437462671,10579377.349232746,27262568.43433791,160081173.004052,-160081173.004052,TRUE,crop_bounds,ensemble,rcp45,early,fixed,dynamic_relative_transition,0.01,25,historical
2,0.2942136141460543,0.5598408197009852,0.0529229750029411,0.09302259115001943,fixed_ensemble_rcp45_early,1,1,200165252.73215958,0.02310940001810738,167293660.83796912,0.3433378504798709,0.29228786008664853,10288666.05624675,27235358.096449286,151397705.43034995,-151397705.43034995,TRUE,crop_bounds,ensemble,rcp45,early,fixed,dynamic_relative_transition,0.01,25,historical
3,0.3046787046520035,0.5493757291950361,0.0529229750029411,0.09302259115001943,fixed_ensemble_rcp45_early,1,1,200165252.73215955,0.02310940001810738,167262332.0595028,0.34327355422738354,0.29223312387266903,10306242.75289518,27236871.857792895,151830407.97653857,-151830407.97653857,TRUE,crop_bounds,ensemble,rcp45,early,fixed,dynamic_relative_transition,0.01,25,historical
4,0.40085250442455467,0.45320192942248483,0.0529229750029411,0.09302259115001943,fixed_ensemble_rcp45_early,1,1,200165252.73215955,0.02310940001810738,166996223.2066411,0.3427274173260954,0.29176819061241605,10456312.866077125,27249729.853360426,155809135.67541236,-155809135.67541236,TRUE,crop_bounds,ensemble,rcp45,early,fixed,dynamic_relative_transition,0.01,25,historical
