Crop,WaterManagement,county_years,counties,years,mean_kgHa,median_kgHa,q25_kgHa,q75_kgHa
Corn,Non-Irrigated,578,17,34,8336.608199820605,8589.764146566999,6716.147341488262,10096.189718489599
Corn,Irrigated,578,17,34,11909.112950028286,12249.122931695649,10916.877816526598,13298.913252129212
Soybeans,Non-Irrigated,578,17,34,3040.1508515403525,3106.994587612775,2543.7677549015843,3567.663698546704
Soybeans,Irrigated,578,17,34,3807.544865927928,3880.380686260977,3505.456555829348,4183.010029210273
