Crop,county_years,mean_irrigation_increment_m,mean_yield_advantage_kgHa,correlation,intercept_kgHa,slope_kgHa_per_m,slope_p_value,r_squared
Corn,267,0.12339466333330143,3714.8388779772363,0.5362157132718204,-219.06052407532871,31880.62834959646,2.8081288455871696e-21,0.2875272911596073
Soybeans,287,0.1228429512796546,769.9649694131573,0.33323212536654806,43.478864696388435,5913.942128131618,7.16935519418409e-9,0.1110436493763068
