Domain,Crop,irrigated_area_m2,crop_area_m2,irrigated_fraction_of_crop,withdrawal_m3
alluvial,Corn,1567563999.059177,4226745660,0.3708678319336529,207439710.2307154
alluvial,Sorghum,4690306.593098,71138376,0.06593215725219816,675010.6007794939
alluvial,Soybeans,1055136874.90806,4159541160,0.2536666507966614,120446047.68736824
alluvial,Wheat,1432587.1733879999,137730184,0.010401403176721233,68100.53225099746
basin,Corn,1885169384.770581,23164928652,0.08138032337983568,245373359.5601833
basin,Sorghum,7385512.9701499995,783083184,0.009431326225682301,889969.4806088967
basin,Soybeans,1249039976.9399788,28563397492,0.04372869079351672,139928301.240149
basin,Wheat,2286473.87843,2495816596,9.161225556775647e-4,83617.73376734502
