FIPS,area_m2
20005,19972981952
20013,26812072576
20045,22380966848
20061,19209805440
20085,30612551296
20087,25868077504
20091,22035834816
20103,21258863552
20117,41876155712
20127,32591936000
20131,33879246144
20139,33319324288
20149,39910459456
20161,28695006848
20177,26214899456
20197,37199532544
20209,7039371136
