Scenario,corn,soy,sor,wheat,cult_area,fert_eff,irr_area,irr_eff,Corn,Soybeans,Sorghum,Wheat,Nitrate_kgyr,NegProfit_usd,Irr_m3
feasible_space,38.745790815375514,8.394098902642726,32.037551672429544,20.822558609552217,-4.868485866190166,-0.04467297455971142,-9.592542887671385,-4.762199548984645,0.38745790815375514,0.08394098902642727,0.32037551672429543,0.20822558609552222,7471409.726090125,-100253929.12110223,424734770.4969361
feasible_space,24.59367221487686,13.409913574837848,57.68860986558604,4.307804344699257,23.06778325575474,-3.965900569544406,5.059068786204797,3.7693638579887345,0.2459367221487686,0.13409913574837848,0.5768860986558604,0.04307804344699251,8139678.977450064,-122918136.67835113,428176882.6020013
feasible_space,11.644650472631911,49.19960590428789,36.43053853607038,2.725205087009819,17.222594014037398,4.422723473466467,-25.743761144279503,5.173495554721681,0.11644650472631911,0.4919960590428789,0.3643053853607038,0.027252050870098188,7668803.063231554,-131298389.21048166,485295286.4467519
feasible_space,36.93257565396954,52.07668432401144,3.5253509131481406,7.465389108870878,-27.36834721543989,-2.018542299614986,-19.053172839090927,2.552209054106381,0.36932575653969546,0.5207668432401144,0.035253509131481404,0.07465389108870879,6751922.236455744,-87456501.68296137,336013953.7671094
feasible_space,19.397012381816747,7.13546154536074,5.46247457957128,68.00505149325123,2.6438274473925105,-6.7768949708845465,-14.355844985128613,-7.588893735439051,0.19397012381816747,0.0713546154536074,0.054624745795712804,0.6800505149325123,7524099.809806698,-85320937.03198645,258682674.47560155
feasible_space,78.72083524604678,0.7758971485239453,18.484004876611287,2.019262728817992,18.763302850399633,9.284914507397918,-25.562844308938367,-4.67685357068805,0.7872083524604677,0.007758971485239453,0.18484004876611287,0.020192627288179943,8304996.463211226,-174519465.39070213,517646116.9992922
feasible_space,2.311951767717255,11.355312528043287,62.29234314810951,24.040392556129945,25.320900766179427,-4.075788158481474,-7.41883095973078,2.7076710660064123,0.023119517677172553,0.11355312528043288,0.6229234314810951,0.24040392556129953,7967136.960867535,-110445662.10051456,158564176.1030531
feasible_space,30.953988615606214,2.2218044818297495,35.543876250492175,31.280330652071854,29.20125605932111,1.2801257491209554,5.171252965607444,-8.80381524590426,0.30953988615606215,0.022218044818297495,0.35543876250492173,0.31280330652071864,8313542.733250995,-130722742.10837092,406990580.58312273
feasible_space,5.3570800187345595,26.44820632763556,25.297238053012407,42.89747560061747,28.389744540507436,8.126938267788152,-16.555571792070754,-8.023815197247313,0.05357080018734559,0.2644820632763556,0.25297238053012405,0.42897475600617474,7882243.585940435,-124634425.47012617,388269321.77306724
feasible_space,24.486316690457752,2.1236870238906707,20.1243018309318,53.26569445471978,-23.25924629269447,4.980949869439007,12.816943787487688,-6.216245581154944,0.24486316690457752,0.021236870238906705,0.20124301830931798,0.5326569445471978,6821214.640175394,-75089780.62693748,193899863.8628963
feasible_space,14.47085632160306,25.495106984480515,51.91183368338505,8.122203010531372,0.28565321420808587,-2.379144664759515,20.282228605410786,1.2364945218237118,0.1447085632160306,0.25495106984480514,0.5191183368338504,0.08122203010531381,7398928.139721969,-98518685.85463819,376306520.1871036
feasible_space,27.253810032507168,41.865291694023185,21.625050820290344,9.255847453179296,9.927813260761553,7.5790789397868785,28.43511461666599,-1.648532984345918,0.2725381003250717,0.4186529169402318,0.21625050820290345,0.092558474531793,7627218.108777779,-126576616.88794714,722154039.7536079
