solution_id,Corn,Soybeans,Sorghum,Wheat,scenario_name,seed,fert_factor,irr_eff,irrig_frac_factor,fertilizer_reduction_fraction,irrigation_water_savings_fraction,nutrient_management_cost_usdyr,basin_irrigated_area_m2,basin_irrigated_fraction_of_model_cultivated,estimated_alluvial_irrigated_area_m2,estimated_alluvial_irrigated_fraction_of_cdl_cultivated,estimated_alluvial_irrigated_fraction_of_expansion_eligible,alluvial_target_irrig_area_cap_m2,alluvial_target_irrig_area_headroom_m2,alluvial_target_irrig_area_cap_fraction,nitrate,irrigation,profit,profit_minimized,feasible,phase,gcm_name,climate_pathway,period,landuse_name,crop_bound_type,annual_relative_change,transition_years,crop_reference_period
1,0.2942136141460543,0.5598408197009852,0.0529229750029411,0.09302259115001943,fixed_ensemble_rcp45_early,3,0.8806302024284378,1.1066577741001977,0.887390033272095,0.11936979757156219,0.09637828116006242,29211209.896954767,177624650.28190836,0.020507051250966458,148454727.25721598,0.3046745865609022,0.2593733338873205,513948162.4998698,365493435.24265385,0.28885155758729575,10158706.871389741,21839077.891118053,138186554.12967414,-138186554.12967414,TRUE,crop_fert_irreff_irrigfrac,ensemble,rcp45,early,fixed,dynamic_relative_transition,0.01,25,historical
2,0.43463055105697224,0.41942388279006726,0.0529229750029411,0.09302259115001943,fixed_ensemble_rcp45_early,3,0.9692464793100953,1.0493645682437103,0.9184605643851682,0.030753520689904668,0.04704234327859025,7525752.461836815,183843890.9946791,0.021225072583233518,153301339.55325994,0.31462131998461945,0.2678411140147,513948162.4998698,360646822.94660985,0.2982817154313666,10471960.495840827,23854032.22152094,154319241.74507105,-154319241.74507105,TRUE,crop_fert_irreff_irrigfrac,ensemble,rcp45,early,fixed,dynamic_relative_transition,0.01,25,historical
3,0.387401663298604,0.46665277054843557,0.0529229750029411,0.09302259115001943,fixed_ensemble_rcp45_early,3,0.9389222631136648,1.11505619252214,1.1075655541432312,0.06107773688633522,0.103184210171413,14946449.005646626,221696139.06251422,0.025595175436972695,184998041.05482203,0.3796726632712533,0.32322014635394664,513948162.4998698,328950121.4450478,0.3599546696596447,10370893.839839673,27064993.423942495,148994673.93714002,-148994673.93714002,TRUE,crop_fert_irreff_irrigfrac,ensemble,rcp45,early,fixed,dynamic_relative_transition,0.01,25,historical
4,0.30728760258362864,0.5467668312634109,0.0529229750029411,0.09302259115001943,fixed_ensemble_rcp45_early,3,0.9373442228417843,1.105834982038759,1.1230443132808432,0.06265577715821569,0.09570594506210828,15332614.237937592,224794448.7972746,0.02595288027366771,187834326.96101978,0.3854935909830538,0.3281755758302577,513948162.4998698,326113835.53885007,0.36547329218453495,10244083.889299562,27661119.55313646,144979408.41918623,-144979408.41918623,TRUE,crop_fert_irreff_irrigfrac,ensemble,rcp45,early,fixed,dynamic_relative_transition,0.01,25,historical
