Crop,n,R2_kg_fixed,R2_kcal_fixed,RMSE_kg_fixed,RMSE_kcal_fixed
Corn,596,0.19968586685971396,0.19968586685912124,2613.5169554224112,9359.004217387608
Sorghum,104,0.36135829400879577,0.36135829400773994,1131.3439836522916,3880.5098639208986
Soybeans,612,0.17194956679276685,0.1719495667828328,667.0840281137525,2398.834165114768
Wheat,209,0.10324684208102006,0.10324684208824494,711.4981320901471,2336.5598657784103
