solution_id,Crop,basin_irrigated_area_m2,basin_model_cultivated_area_m2,basin_irrigated_fraction_of_model_cultivated,alluvial_capture,estimated_alluvial_irrigated_area_m2,alluvial_cdl_cultivated_area_m2,alluvial_expansion_eligible_area_m2,estimated_alluvial_irrigated_fraction_of_cdl_cultivated,estimated_alluvial_irrigated_fraction_of_expansion_eligible
1,Corn,179816521.44713265,11953060164,0.015043555288770372,0.831524218313117,149521792.4361108,487256679.1111111,572359251.5555556,0.3068645312546136,0.26123766153817046
1,Soybeans,72259826.91234152,11953060164,0.006045299356057146,0.8447582898771889,61042087.809291296,487256679.1111111,572359251.5555556,0.12527706735728833,0.106649953929095
1,Sorghum,2094488.1696798955,11953060164,1.7522610452409796e-4,0.6350684931506849,1330143.4458405473,487256679.1111111,572359251.5555556,0.002729861904134575,0.002323966009504501
1,Wheat,342816.51770135,11953060164,2.868023025047914e-5,0.6265486725663716,214791.23409960687,487256679.1111111,572359251.5555556,4.4081742397342725e-4,3.752734554667338e-4
2,Corn,157732941.50400028,11953060164,0.013196030082660954,0.831524218313117,131158760.88634244,487256679.1111111,572359251.5555556,0.26917796411864836,0.22915460967893803
2,Soybeans,117484073.51401716,11953060164,0.00982878626076471,0.8447582898771889,99245645.02950709,487256679.1111111,572359251.5555556,0.2036824722660717,0.17339746804088113
2,Sorghum,2516629.055623641,11953060164,2.1054265778759957e-4,0.6350684931506849,1598231.8221741368,487256679.1111111,572359251.5555556,0.003280061394109049,0.0027923578029541217
2,Wheat,426156.5299744494,11953060164,3.5652504390293255e-5,0.6265486725663716,267007.80816098244,487256679.1111111,572359251.5555556,5.479818330003755e-4,4.665038739835335e-4
3,Corn,191038245.20085123,11953060164,0.015982371257212993,0.831524218313117,158852927.5085474,487256679.1111111,572359251.5555556,0.3260148794642249,0.27754059548582044
3,Soybeans,98657014.7028043,11953060164,0.008253703516019908,0.8447582898771889,83341331.02472964,487256679.1111111,572359251.5555556,0.17104194687852597,0.14561017542430724
3,Sorghum,2505045.4652532646,11953060164,2.0957356784649282e-4,0.6350684931506849,1590875.4488923473,487256679.1111111,572359251.5555556,0.0032649638621568768,0.002779505082810617
3,Wheat,424195.0082055364,11953060164,3.548840233257747e-5,0.6265486725663716,265778.81930045993,487256679.1111111,572359251.5555556,5.454595712988745e-4,4.643566406555452e-4
4,Corn,181383904.66397518,11953060164,0.015174683484842131,0.831524218313117,150825109.5402929,487256679.1111111,572359251.5555556,0.30953933728612804,0.26351475778609507
4,Soybeans,118864576.8931009,11953060164,0.009944279980376489,0.8447582898771889,100411836.70319155,487256679.1111111,572359251.5555556,0.2060758548992496,0.17543498498590296
4,Sorghum,2691950.1301197037,11953060164,2.2521012135681104e-4,0.6350684931506849,1709572.7127719105,487256679.1111111,572359251.5555556,0.003508567016240058,0.0029868875328312437
4,Wheat,455844.7434883474,11953060164,3.813623768591511e-5,0.6265486725663716,285608.9189289822,487256679.1111111,572359251.5555556,5.86157011639144e-4,4.990028870027968e-4
5,Corn,199771892.70246857,11953060164,0.01671303331210009,0.831524218313117,166115166.92035204,487256679.1111111,572359251.5555556,0.3409192198727606,0.2902288492216819
5,Soybeans,80751928.19227764,11953060164,0.0067557535128522795,0.8447582898771889,68215860.76399402,487256679.1111111,572359251.5555556,0.13999984748990682,0.11918364310281915
5,Sorghum,2340636.083763978,11953060164,1.958189828922188e-4,0.6350684931506849,1486464.2307301098,487256679.1111111,572359251.5555556,0.00305068005110125,0.002597082560804606
5,Wheat,396354.5398797992,11953060164,3.3159252479422154e-5,0.6265486725663716,248335.41082734318,487256679.1111111,572359251.5555556,5.096603524868548e-4,4.338803123255512e-4
6,Corn,134108292.53872837,11953060164,0.011219578141389531,0.831524218313117,111514293.12257293,487256679.1111111,572359251.5555556,0.22886149724208066,0.19483269086592006
6,Soybeans,118610601.12685202,11953060164,0.009923032219320805,0.8447582898771889,100197288.5692249,487256679.1111111,572359251.5555556,0.20563553639123436,0.17506013626390965
6,Sorghum,2372680.879164729,11953060164,1.9849986920593977e-4,0.6350684931506849,1506814.8706585867,487256679.1111111,572359251.5555556,0.0030924457996295246,0.0026326382714411825
6,Wheat,401780.885403868,11953060164,3.361322371771741e-5,0.6265486725663716,251735.28041233495,487256679.1111111,572359251.5555556,5.166379265884434e-4,4.398204095210654e-4
7,Corn,191765419.07188496,11953060164,0.016043207048303865,0.831524218313117,159457590.19323644,487256679.1111111,572359251.5555556,0.3272558325606342,0.27859703457201623
7,Soybeans,77061528.48686422,11953060164,0.006447012516422922,0.8447582898771889,65098365.019885704,487256679.1111111,572359251.5555556,0.13360179102858652,0.11373689661337986
7,Sorghum,2233667.954242228,11953060164,1.8686996665251857e-4,0.6350684931506849,1418532.1418995848,487256679.1111111,572359251.5555556,0.00291126259056597,0.0024783947110915113
7,Wheat,365596.8464560237,11953060164,3.0586045869418556e-5,0.6265486725663716,229064.21884147322,487256679.1111111,572359251.5555556,4.7010996187748263e-4,4.002105639402586e-4
8,Corn,197160193.4749333,11953060164,0.016494537028160925,0.831524218313117,163943475.7617068,487256679.1111111,572359251.5555556,0.33646224421342846,0.2864345694004979
8,Soybeans,99593987.16814482,11953060164,0.008332091180139802,0.8447582898771889,84132846.28221272,487256679.1111111,572359251.5555556,0.17266637870556018,0.1469930748101945
8,Sorghum,2557639.412227763,11953060164,2.1397360819205217e-4,0.6350684931506849,1624276.2075462888,487256679.1111111,572359251.5555556,0.0033335124528398687,0.0028378613661469397
8,Wheat,433101.07002272306,11953060164,3.623348866988294e-5,0.6265486725663716,271358.9005098123,487256679.1111111,572359251.5555556,5.569116076660967e-4,4.741059042416353e-4
