solution_id,Corn,Soybeans,Sorghum,Wheat,scenario_name,seed,fert_factor,irr_eff,irrig_frac_factor,fertilizer_reduction_fraction,irrigation_water_savings_fraction,nutrient_management_cost_usdyr,basin_irrigated_area_m2,basin_irrigated_fraction_of_model_cultivated,estimated_alluvial_irrigated_area_m2,estimated_alluvial_irrigated_fraction_of_cdl_cultivated,estimated_alluvial_irrigated_fraction_of_expansion_eligible,alluvial_target_irrig_area_cap_m2,alluvial_target_irrig_area_headroom_m2,alluvial_target_irrig_area_cap_fraction,nitrate,irrigation,profit,profit_minimized,crop_bounds_feasible,irrigation_extent_feasible,alluvial_area_feasible,feasible,phase,gcm_name,climate_pathway,period,landuse_name,crop_bound_type,annual_relative_change,transition_years,crop_reference_period,irrig_frac_factor_min,irrig_frac_factor_max
1,0.3571695934501848,0.4968848403968548,0.0529229750029411,0.09302259115001943,fixed_ensemble_rcp85_early,101,0.7593192199943587,1.0341094966558013,1.0069933225167915,0.2406807800056413,0.032984414867195166,58897450.82873875,201565072.90117064,0.023271011505603553,168281113.80132106,0.34536440651426603,0.2940130929026959,513948162.4998698,345667048.6985488,0.3274281845522965,10801634.262255793,26612747.30185112,125254733.19638506,-125254733.19638506,TRUE,TRUE,TRUE,TRUE,crop_fert_irreff_irrigfrac,ensemble,rcp85,early,fixed,dynamic_relative_transition,0.01,25,historical,0.85,1.15
2,0.4903560235767572,0.3682190461621694,0.0529229750029411,0.0885019552581324,fixed_ensemble_rcp85_early,101,0.9774413240374997,1.0767579550707962,0.9213896060874857,0.022558675962500274,0.07128617412048688,5520376.443152912,184430183.3672865,0.02129276097960209,153678918.83768454,0.3153962283657902,0.26850080333290083,513948162.4998698,360269243.6621853,0.2990163795706215,11279175.163427604,23401112.882507533,154975714.98146838,-154975714.98146838,TRUE,TRUE,TRUE,TRUE,crop_fert_irreff_irrigfrac,ensemble,rcp85,early,fixed,dynamic_relative_transition,0.01,25,historical,0.85,1.15
3,0.4858353876848702,0.3682190461621694,0.0529229750029411,0.09302259115001943,fixed_ensemble_rcp85_early,101,0.7214822973823174,1.1611853207996798,1.0815080719301475,0.2785177026176826,0.1388110217313766,68156596.02928722,216480336.54976857,0.024993002657045824,180384305.2183745,0.3702038636955056,0.3151592373638179,513948162.4998698,333563857.28149533,0.35097762455453896,10936788.642973632,25467960.20153388,129771293.49164258,-129771293.49164258,TRUE,TRUE,TRUE,TRUE,crop_fert_irreff_irrigfrac,ensemble,rcp85,early,fixed,dynamic_relative_transition,0.01,25,historical,0.85,1.15
4,0.48583538768487017,0.3682190461621694,0.0529229750029411,0.09302259115001943,fixed_ensemble_rcp85_early,101,0.7749567169696092,1.052950852822363,1.0254599877865984,0.22504328303039078,0.050288057301470346,55070769.24177206,205261457.6220217,0.023697765060324005,171036067.34622285,0.3510184153006157,0.29882642218393735,513948162.4998698,342912095.15364695,0.3327885569515314,11015266.176547643,26630330.299677372,134836467.5609286,-134836467.5609286,TRUE,TRUE,TRUE,TRUE,crop_fert_irreff_irrigfrac,ensemble,rcp85,early,fixed,dynamic_relative_transition,0.01,25,historical,0.85,1.15
5,0.4903560235767572,0.3682190461621694,0.0529229750029411,0.0885019552581324,fixed_ensemble_rcp85_early,101,0.9328903678013905,1.0767579550707962,0.9826164054218679,0.06710963219860955,0.07128617412048688,16422525.564607628,196685661.13003436,0.02270767557724872,163890959.71966767,0.3363544652043548,0.2863428157651781,513948162.4998698,350057202.78020215,0.31888616727899904,11226679.705566749,24956128.516710896,150720695.15060312,-150720695.15060312,TRUE,TRUE,TRUE,TRUE,crop_fert_irreff_irrigfrac,ensemble,rcp85,early,fixed,dynamic_relative_transition,0.01,25,historical,0.85,1.15
6,0.43937590551339,0.41467852833364965,0.0529229750029411,0.09302259115001943,fixed_ensemble_rcp85_early,101,0.9203068721806631,1.079854860014692,1.0851357147097587,0.0796931278193369,0.07394962320547926,19501856.67928188,217206464.58357146,0.02507683530516266,181108667.23123914,0.3716904764889641,0.3164248096611049,513948162.4998698,332839495.2686307,0.35238703131132415,11139367.680846661,27472877.294107515,146465811.76789892,-146465811.76789892,TRUE,TRUE,TRUE,TRUE,crop_fert_irreff_irrigfrac,ensemble,rcp85,early,fixed,dynamic_relative_transition,0.01,25,historical,0.85,1.15
7,0.43920441064484067,0.4148500232021988,0.0529229750029411,0.09302259115001943,fixed_ensemble_rcp85_early,101,0.9476978965630279,1.1386404580697125,1.1371360937724644,0.05230210343697206,0.1217596450988081,12798947.075651271,227615133.60082603,0.026278532866015943,189787983.70765188,0.38950309322363086,0.33158891586332695,513948162.4998698,324160178.79221797,0.3692745641593766,11171831.396730421,27303039.860656556,149191710.4561746,-149191710.4561746,TRUE,TRUE,TRUE,TRUE,crop_fert_irreff_irrigfrac,ensemble,rcp85,early,fixed,dynamic_relative_transition,0.01,25,historical,0.85,1.15
8,0.4858353876848702,0.3682190461621694,0.0529229750029411,0.09302259115001943,fixed_ensemble_rcp85_early,101,0.705077826756334,1.0343938335002822,1.0069933225167915,0.294922173243666,0.03325023060500765,72170965.19512878,201565072.9011706,0.02327101150560355,167956019.52147618,0.3446972134437925,0.2934451029925803,513948162.4998698,345992142.9783937,0.3267956416159358,10911663.313611768,26619911.18984859,128189612.20216355,-128189612.20216355,TRUE,TRUE,TRUE,TRUE,crop_fert_irreff_irrigfrac,ensemble,rcp85,early,fixed,dynamic_relative_transition,0.01,25,historical,0.85,1.15
