Year,LandCover,area_ha
2022,Forest,6520.32
2022,Grass/Pasture/Shrubland,6744.87
2022,Other Crops,855.9
2022,Sorghum,557.82
2022,Soybeans,24583.68
2022,Water,6973.11
2022,Wetlands,1676.8799999999999
2022,Wheat,363.24
2023,Corn,22816.44
2023,Developed,14382.63
2023,Double Crop,417.51000000000005
2023,Fallow/Barren,327.06
2023,Forest,6702.389999999999
2023,Grass/Pasture/Shrubland,7104.240000000001
2023,Other Crops,647.64
2023,Sorghum,351.63
2023,Soybeans,25227.18
2023,Water,6929.01
2023,Wetlands,1573.3799999999999
2023,Wheat,297.99
2024,Corn,24385.5
2024,Developed,13114.349999999999
2024,Double Crop,521.8199999999999
2024,Fallow/Barren,571.95
2024,Forest,8349.93
2024,Grass/Pasture/Shrubland,9900.9
2024,Other Crops,317.16
2024,Sorghum,213.84
2024,Soybeans,22626.27
2024,Water,6286.5
2024,Wetlands,170.01
2024,Wheat,318.87
