FIPS,name,Date,Year,Month,Day,precip_mm_gridmet,tmmn_C_gridmet,tmmx_C_gridmet
20005,Atchison,2006-01-01,2006,1,1,0,-0.6189025878906023,13.958306884765648
20005,Atchison,2006-01-02,2006,1,2,0,-0.6376403808593523,8.845086669921898
20005,Atchison,2006-01-03,2006,1,3,0,-2.2400268554687273,13.039849853515648
20005,Atchison,2006-01-04,2006,1,4,0,-0.15570678710935226,11.832391357421898
20005,Atchison,2006-01-05,2006,1,5,0,-3.0068115234374773,7.013299560546898
20005,Atchison,2006-01-06,2006,1,6,0,-6.003149414062477,6.523156738281273
20005,Atchison,2006-01-07,2006,1,7,0,-2.4444030761718523,13.725488281250023
20005,Atchison,2006-01-08,2006,1,8,0,-2.2449096679687273,11.333276367187523
20005,Atchison,2006-01-09,2006,1,9,0,-3.7192138671874773,4.365228271484398
20005,Atchison,2006-01-10,2006,1,10,0.003074660198763013,-5.010229492187477,3.7741943359375227
20005,Atchison,2006-01-11,2006,1,11,0,-5.070623779296852,9.007165527343773
20005,Atchison,2006-01-12,2006,1,12,0,-3.0071777343749773,10.193872070312523
20005,Atchison,2006-01-13,2006,1,13,0,-2.0793518066406023,7.638116455078148
20005,Atchison,2006-01-14,2006,1,14,0,-3.2551635742187273,11.604333496093773
20005,Atchison,2006-01-15,2006,1,15,0,-0.08124389648435226,14.084893798828148
20005,Atchison,2006-01-16,2006,1,16,0,-1.1888183593749773,7.790887451171898
20005,Atchison,2006-01-17,2006,1,17,0,-4.658300781249977,5.046533203125023
20005,Atchison,2006-01-18,2006,1,18,0,-5.547613525390602,12.330895996093773
20005,Atchison,2006-01-19,2006,1,19,0,-1.5066894531249773,11.681024169921898
20005,Atchison,2006-01-20,2006,1,20,4.377247333526611,-2.6683105468749773,3.7925659179687727
20005,Atchison,2006-01-21,2006,1,21,0.5442630052566528,-5.382269287109352,6.547174072265648
20005,Atchison,2006-01-22,2006,1,22,0,-3.3931640624999773,5.850640869140648
20005,Atchison,2006-01-23,2006,1,23,0,-4.159948730468727,7.482476806640648
20005,Atchison,2006-01-24,2006,1,24,0,-2.4723571777343523,12.959069824218773
20005,Atchison,2006-01-25,2006,1,25,0,-3.3281005859374773,10.443963623046898
20005,Atchison,2006-01-26,2006,1,26,0,-0.9766601562499773,12.622369384765648
20005,Atchison,2006-01-27,2006,1,27,0,2.8365417480468977,15.234033203125023
20005,Atchison,2006-01-28,2006,1,28,9.470490455627441,5.346704101562523,15.052789306640648
20005,Atchison,2006-01-29,2006,1,29,0,0.7176147460937727,13.003564453125023
20005,Atchison,2006-01-30,2006,1,30,0,-2.2935852050781023,9.748376464843773
20005,Atchison,2006-01-31,2006,1,31,0,-2.4939941406249773,15.711297607421898
20005,Atchison,2006-02-01,2006,2,1,0,-0.6621154785156023,13.354791259765648
20005,Atchison,2006-02-02,2006,2,2,0,0.09218750000002274,15.585076904296898
20005,Atchison,2006-02-03,2006,2,3,0,-3.1687988281249773,9.112695312500023
20005,Atchison,2006-02-04,2006,2,4,0,-7.606481933593727,3.2040039062500227
20005,Atchison,2006-02-05,2006,2,5,0,-8.871466064453102,4.223657226562523
