Year,FIPS,Crop,WaterManagement,yield_kgHa,yield_kcalHa,yield_kgHa_detrended,yield_kcalHa_detrended
1990,20005,Wheat,Irrigated,2716.938990033682,8922.42764327061,3645.0023084115237,11970.187580823444
1991,20005,Wheat,Irrigated,2293.2579099046675,7531.0589761269275,3046.4687190229156,10004.603273271254
1992,20005,Wheat,Irrigated,2306.7081029246356,7575.229410004503,3033.018526002947,9960.432839393678
1993,20005,Wheat,Irrigated,1163.4416962272946,3820.7425304104354,1513.1467147464814,4969.173811227444
1994,20005,Wheat,Irrigated,2979.217753923072,9783.751103883367,3840.0301072010707,12610.658872048316
1995,20005,Wheat,Irrigated,1634.1984519261998,5366.70771612564,2084.779918095152,6846.417251024479
1996,20005,Wheat,Irrigated,1627.4733554162156,5344.622499186851,2057.879532055215,6758.076383269326
1997,20005,Wheat,Irrigated,3281.847096872368,10777.585866128857,4109.033967600445,13494.06754959986
1998,20005,Wheat,Irrigated,3180.9706492226032,10446.307612047029,3940.9065548508356,12941.937126130144
1999,20005,Wheat,Irrigated,2797.6401481534945,9187.450246536075,3436.5243166020086,11285.545855720995
2000,20005,Wheat,Irrigated,2932.142078353182,9629.15458531185,3564.3011502917116,11705.16497755798
2001,20005,Wheat,Irrigated,3006.11813996301,9872.091971638523,3624.827018881571,11903.931930007078
2002,20005,Wheat,Irrigated,3288.5721933823525,10799.671083067646,3927.456361830867,12897.766692252566
2003,20005,Wheat,Irrigated,4135.934353640382,13582.408417355015,4895.870259268615,16078.03793143813
2004,20005,Wheat,Irrigated,3429.7992200920244,11263.460638782208,4021.607712970648,13206.959729395609
2005,20005,Wheat,Irrigated,2750.5644725836037,9032.853727964553,3194.420842242572,10490.478045924605
2006,20005,Wheat,Irrigated,3497.050185191868,11484.312808170094,4028.3328094806325,13229.044946334396
2007,20005,Wheat,Irrigated,1862.8517332656681,6117.605092044454,2125.1304971550585,6978.928552657212
2008,20005,Wheat,Irrigated,2098.2301111151205,6890.587684902055,2373.959068024479,7796.081579392389
2009,20005,Wheat,Irrigated,3006.11813996301,9872.091971638523,3369.2733515021655,11064.69368633311
2010,20005,Wheat,Irrigated,2589.1621563439794,8502.808521433628,2878.341306273306,9452.472849801537
2011,20005,Wheat,Irrigated,2858.166016743354,9386.217198985174,3154.0702631826653,10357.966744291873
2012,20005,Wheat,Irrigated,3248.2216143224464,10667.159781434913,3550.850957271743,11660.994543680403
2013,20005,Wheat,Irrigated,4021.607712970648,13206.959729395609,4357.862538469866,14311.22057633504
2014,20005,Wheat,Irrigated,3530.67566774179,11594.738892864038,3799.679528141164,12478.147570415582
2015,20005,Wheat,Irrigated,1560.222390316372,5123.770329798966,1661.0988379661374,5455.0485838807945
2016,20005,Wheat,Irrigated,3389.4486410321183,11130.949337149475,3584.4764398216644,11771.420628374344
2017,20005,Wheat,Irrigated,3651.727404921508,11992.27279776223,3833.3050106910864,12588.573655109527
2018,20005,Wheat,Irrigated,2858.166016743354,9386.217198985174,2972.4926574130877,9761.66588694458
2019,20005,Wheat,Irrigated,2891.7914992932756,9496.643283679117,2985.9428504330563,9805.836320822156
2020,20005,Wheat,Irrigated,3140.620070162697,10313.796310414296,3214.5961317725246,10556.73369674097
2021,20005,Wheat,Irrigated,3409.623930562071,11197.20498796584,3463.424702641946,11373.886723476151
1990,20005,Wheat,Non-Irrigated,2716.938990033682,8922.42764327061,3645.0023084115237,11970.187580823444
1991,20005,Wheat,Non-Irrigated,2293.2579099046675,7531.0589761269275,3046.4687190229156,10004.603273271254
1992,20005,Wheat,Non-Irrigated,2306.7081029246356,7575.229410004503,3033.018526002947,9960.432839393678
1993,20005,Wheat,Non-Irrigated,1163.4416962272946,3820.7425304104354,1513.1467147464814,4969.173811227444
1994,20005,Wheat,Non-Irrigated,2979.217753923072,9783.751103883367,3840.0301072010707,12610.658872048316
1995,20005,Wheat,Non-Irrigated,1634.1984519261998,5366.70771612564,2084.779918095152,6846.417251024479
1996,20005,Wheat,Non-Irrigated,1627.4733554162156,5344.622499186851,2057.879532055215,6758.076383269326
1997,20005,Wheat,Non-Irrigated,3281.847096872368,10777.585866128857,4109.033967600445,13494.06754959986
1998,20005,Wheat,Non-Irrigated,3180.9706492226032,10446.307612047029,3940.9065548508356,12941.937126130144
1999,20005,Wheat,Non-Irrigated,2797.6401481534945,9187.450246536075,3436.5243166020086,11285.545855720995
2000,20005,Wheat,Non-Irrigated,2932.142078353182,9629.15458531185,3564.3011502917116,11705.16497755798
2001,20005,Wheat,Non-Irrigated,3006.11813996301,9872.091971638523,3624.827018881571,11903.931930007078
2002,20005,Wheat,Non-Irrigated,3288.5721933823525,10799.671083067646,3927.456361830867,12897.766692252566
2003,20005,Wheat,Non-Irrigated,4135.934353640382,13582.408417355015,4895.870259268615,16078.03793143813
2004,20005,Wheat,Non-Irrigated,3429.7992200920244,11263.460638782208,4021.607712970648,13206.959729395609
2005,20005,Wheat,Non-Irrigated,2750.5644725836037,9032.853727964553,3194.420842242572,10490.478045924605
2006,20005,Wheat,Non-Irrigated,3497.050185191868,11484.312808170094,4028.3328094806325,13229.044946334396
2007,20005,Wheat,Non-Irrigated,1862.8517332656681,6117.605092044454,2125.1304971550585,6978.928552657212
2008,20005,Wheat,Non-Irrigated,2098.2301111151205,6890.587684902055,2373.959068024479,7796.081579392389
2009,20005,Wheat,Non-Irrigated,3006.11813996301,9872.091971638523,3369.2733515021655,11064.69368633311
2010,20005,Wheat,Non-Irrigated,2589.1621563439794,8502.808521433628,2878.341306273306,9452.472849801537
2011,20005,Wheat,Non-Irrigated,2858.166016743354,9386.217198985174,3154.0702631826653,10357.966744291873
2012,20005,Wheat,Non-Irrigated,3248.2216143224464,10667.159781434913,3550.850957271743,11660.994543680403
2013,20005,Wheat,Non-Irrigated,4021.607712970648,13206.959729395609,4357.862538469866,14311.22057633504
2014,20005,Wheat,Non-Irrigated,3530.67566774179,11594.738892864038,3799.679528141164,12478.147570415582
2015,20005,Wheat,Non-Irrigated,1560.222390316372,5123.770329798966,1661.0988379661374,5455.0485838807945
2016,20005,Wheat,Non-Irrigated,3389.4486410321183,11130.949337149475,3584.4764398216644,11771.420628374344
2017,20005,Wheat,Non-Irrigated,3651.727404921508,11992.27279776223,3833.3050106910864,12588.573655109527
2018,20005,Wheat,Non-Irrigated,2858.166016743354,9386.217198985174,2972.4926574130877,9761.66588694458
2019,20005,Wheat,Non-Irrigated,2891.7914992932756,9496.643283679117,2985.9428504330563,9805.836320822156
2020,20005,Wheat,Non-Irrigated,3140.620070162697,10313.796310414296,3214.5961317725246,10556.73369674097
2021,20005,Wheat,Non-Irrigated,3409.623930562071,11197.20498796584,3463.424702641946,11373.886723476151
1990,20013,Wheat,Irrigated,2757.289569093588,9054.938944903342,4068.683388540539,13361.55624796713
1991,20013,Wheat,Irrigated,2259.6324273547457,7420.632891432984,3288.5721933823525,10799.671083067646
1992,20013,Wheat,Irrigated,2306.7081029246356,7575.229410004503,3308.747482912306,10865.926733884013
1993,20013,Wheat,Irrigated,1069.2903450875135,3511.549493267394,1513.1467147464814,4969.173811227444
1994,20013,Wheat,Irrigated,3086.8192980828217,10137.114574903986,4304.061766389991,14134.53884082473
1995,20013,Wheat,Irrigated,1593.8478728662938,5234.196414492908,2192.3814622549016,7199.780722045097
1996,20013,Wheat,Irrigated,1815.7760576957776,5963.008573472934,2468.1104191642607,8105.274616535432
1997,20013,Wheat,Irrigated,3342.3729654622275,10976.352818577954,4478.914275649585,14708.754481233236
1998,20013,Wheat,Irrigated,3228.046324792494,10600.90413061855,4270.43628384007,14024.11275613079
1999,20013,Wheat,Irrigated,2925.416981843197,9607.069368373059,3819.854817671117,12544.403221231947
2000,20013,Wheat,Irrigated,3019.5683329829785,9916.262405516101,3893.830879280945,12787.340607558623
2001,20013,Wheat,Irrigated,3006.11813996301,9872.091971638523,3826.5799141811012,12566.488438170736
2002,20013,Wheat,Irrigated,3577.7513433116806,11749.335411435559,4499.089565179538,14775.010132049601
2003,20013,Wheat,Irrigated,4472.1891791396,14686.669264294445,5554.929717247082,18242.38919143942
2004,20013,Wheat,Irrigated,3752.6038525712734,12323.55105184406,4606.691109339287,15128.373603070218
2005,20013,Wheat,Irrigated,3086.8192980828217,10137.114574903986,3745.8787560612896,12301.465834905273
2006,20013,Wheat,Irrigated,3584.4764398216644,11771.420628374344,4297.336669880007,14112.453623885944
2007,20013,Wheat,Irrigated,2010.803856485324,6603.479864697804,2380.684164534464,7818.166796331179
2008,20013,Wheat,Irrigated,2219.281848294839,7288.121589800251,2602.612349363948,8546.978955311204
2009,20013,Wheat,Irrigated,3335.6478689522432,10954.267601639167,3866.9304932410078,12698.999739803468
2010,20013,Wheat,Irrigated,2757.289569093588,9054.938944903342,3160.79535969265,10380.051961230662
2011,20013,Wheat,Irrigated,3033.018526002947,9960.432839393678,3436.5243166020086,11285.545855720995
2012,20013,Wheat,Irrigated,3288.5721933823525,10799.671083067646,3685.3528874714298,12102.698882456174
2013,20013,Wheat,Irrigated,4156.109643170335,13648.66406817138,4606.691109339287,15128.373603070218
2014,20013,Wheat,Irrigated,3483.5999921718994,11440.142374292516,3819.854817671117,12544.403221231947
2015,20013,Wheat,Irrigated,1479.5212321965596,4858.747726533501,1607.2980658862623,5278.366848370485
2016,20013,Wheat,Irrigated,3645.0023084115237,11970.187580823444,3914.0061688108985,12853.59625837499
2017,20013,Wheat,Irrigated,3880.380686260977,12743.170173681048,4122.484160620414,13538.237983477438
2018,20013,Wheat,Irrigated,2985.9428504330563,9805.836320822156,3140.620070162697,10313.796310414296
2019,20013,Wheat,Irrigated,3180.9706492226032,10446.307612047029,3308.747482912306,10865.926733884013
2020,20013,Wheat,Irrigated,3100.2694911027907,10181.285008781564,3194.420842242572,10490.478045924605
2021,20013,Wheat,Irrigated,4014.882616460664,13184.87451245682,4095.583774580476,13449.897115722282
1990,20013,Wheat,Non-Irrigated,2757.289569093588,9054.938944903342,4068.683388540539,13361.55624796713
1991,20013,Wheat,Non-Irrigated,2259.6324273547457,7420.632891432984,3288.5721933823525,10799.671083067646
1992,20013,Wheat,Non-Irrigated,2306.7081029246356,7575.229410004503,3308.747482912306,10865.926733884013
1993,20013,Wheat,Non-Irrigated,1069.2903450875135,3511.549493267394,1513.1467147464814,4969.173811227444
1994,20013,Wheat,Non-Irrigated,3086.8192980828217,10137.114574903986,4304.061766389991,14134.53884082473
1995,20013,Wheat,Non-Irrigated,1593.8478728662938,5234.196414492908,2192.3814622549016,7199.780722045097
1996,20013,Wheat,Non-Irrigated,1815.7760576957776,5963.008573472934,2468.1104191642607,8105.274616535432
1997,20013,Wheat,Non-Irrigated,3342.3729654622275,10976.352818577954,4478.914275649585,14708.754481233236
1998,20013,Wheat,Non-Irrigated,3228.046324792494,10600.90413061855,4270.43628384007,14024.11275613079
1999,20013,Wheat,Non-Irrigated,2925.416981843197,9607.069368373059,3819.854817671117,12544.403221231947
2000,20013,Wheat,Non-Irrigated,3019.5683329829785,9916.262405516101,3893.830879280945,12787.340607558623
2001,20013,Wheat,Non-Irrigated,3006.11813996301,9872.091971638523,3826.5799141811012,12566.488438170736
2002,20013,Wheat,Non-Irrigated,3577.7513433116806,11749.335411435559,4499.089565179538,14775.010132049601
2003,20013,Wheat,Non-Irrigated,4472.1891791396,14686.669264294445,5554.929717247082,18242.38919143942
2004,20013,Wheat,Non-Irrigated,3752.6038525712734,12323.55105184406,4606.691109339287,15128.373603070218
2005,20013,Wheat,Non-Irrigated,3086.8192980828217,10137.114574903986,3745.8787560612896,12301.465834905273
2006,20013,Wheat,Non-Irrigated,3584.4764398216644,11771.420628374344,4297.336669880007,14112.453623885944
2007,20013,Wheat,Non-Irrigated,2010.803856485324,6603.479864697804,2380.684164534464,7818.166796331179
2008,20013,Wheat,Non-Irrigated,2219.281848294839,7288.121589800251,2602.612349363948,8546.978955311204
2009,20013,Wheat,Non-Irrigated,3335.6478689522432,10954.267601639167,3866.9304932410078,12698.999739803468
2010,20013,Wheat,Non-Irrigated,2757.289569093588,9054.938944903342,3160.79535969265,10380.051961230662
2011,20013,Wheat,Non-Irrigated,3033.018526002947,9960.432839393678,3436.5243166020086,11285.545855720995
2012,20013,Wheat,Non-Irrigated,3288.5721933823525,10799.671083067646,3685.3528874714298,12102.698882456174
2013,20013,Wheat,Non-Irrigated,4156.109643170335,13648.66406817138,4606.691109339287,15128.373603070218
2014,20013,Wheat,Non-Irrigated,3483.5999921718994,11440.142374292516,3819.854817671117,12544.403221231947
2015,20013,Wheat,Non-Irrigated,1479.5212321965596,4858.747726533501,1607.2980658862623,5278.366848370485
2016,20013,Wheat,Non-Irrigated,3645.0023084115237,11970.187580823444,3914.0061688108985,12853.59625837499
2017,20013,Wheat,Non-Irrigated,3880.380686260977,12743.170173681048,4122.484160620414,13538.237983477438
2018,20013,Wheat,Non-Irrigated,2985.9428504330563,9805.836320822156,3140.620070162697,10313.796310414296
2019,20013,Wheat,Non-Irrigated,3180.9706492226032,10446.307612047029,3308.747482912306,10865.926733884013
2020,20013,Wheat,Non-Irrigated,3100.2694911027907,10181.285008781564,3194.420842242572,10490.478045924605
2021,20013,Wheat,Non-Irrigated,4014.882616460664,13184.87451245682,4095.583774580476,13449.897115722282
1990,20045,Wheat,Irrigated,2205.8316552748706,7243.951155922675,2965.7675609031035,9739.580670005791
1991,20045,Wheat,Irrigated,2515.186094734151,8259.871135106952,3349.098061972212,10998.438035516743
1992,20045,Wheat,Irrigated,2851.440920233369,9364.131982046383,3759.3289490812576,12345.63626878285
1993,20045,Wheat,Irrigated,1708.174513536028,5609.645102452316,2226.006944804824,7310.206806739041
1994,20045,Wheat,Irrigated,2481.5606121842293,8149.445050413008,3207.8710352625408,10534.648479802183
1995,20045,Wheat,Irrigated,1647.6486449461684,5410.878150003216,2104.9552076251052,6912.672901840845
1996,20045,Wheat,Irrigated,2454.6602261442918,8061.104182657854,3106.994587612775,10203.370225720353
1997,20045,Wheat,Irrigated,3355.823158482196,11020.52325245553,4209.9104152502105,13825.34580368169
1998,20045,Wheat,Irrigated,2817.8154376834473,9253.70589735244,3497.050185191868,11484.312808170094
1999,20045,Wheat,Irrigated,2226.006944804824,7310.206806739041,2737.114279563635,8988.683294086977
2000,20045,Wheat,Irrigated,2985.9428504330563,9805.836320822156,3638.2772119015394,11948.102363884655
2001,20045,Wheat,Irrigated,3826.5799141811012,12566.488438170736,4620.141302359257,15172.544036947798
2002,20045,Wheat,Irrigated,3086.8192980828217,10137.114574903986,3692.0779839814145,12124.784099394965
2003,20045,Wheat,Irrigated,4035.0579059906167,13251.130163273185,4781.543618598881,15702.589243478724
2004,20045,Wheat,Irrigated,3019.5683329829785,9916.262405516101,3544.1258607617588,11638.909326741616
2005,20045,Wheat,Irrigated,2030.9791460152771,6669.7355155141695,2360.508875004511,7751.911145514814
2006,20045,Wheat,Irrigated,3207.8710352625408,10534.648479802183,3698.8030804913988,12146.869316333752
2007,20045,Wheat,Irrigated,1378.644784546794,4527.469472451671,1573.6725833363405,5167.940763676542
2008,20045,Wheat,Irrigated,2004.0787599753398,6581.394647759015,2266.35752386473,7442.718108371772
2009,20045,Wheat,Irrigated,2367.2339715144954,7773.996362453602,2656.413121443823,8723.660690821514
2010,20045,Wheat,Irrigated,2091.5050146051367,6868.502467963269,2326.8833924545893,7641.485060820871
2011,20045,Wheat,Irrigated,2811.090341173463,9231.620680413653,3100.2694911027907,10181.285008781564
2012,20045,Wheat,Irrigated,3759.3289490812576,12345.63626878285,4115.75906411043,13516.152766538651
2013,20045,Wheat,Irrigated,4297.336669880007,14112.453623885944,4660.491881419162,15305.055338580529
2014,20045,Wheat,Irrigated,3470.149799151931,11395.97194041494,3732.4285630413206,12257.295401027695
2015,20045,Wheat,Irrigated,1883.0270227956214,6183.86074286082,2010.803856485324,6603.479864697804
2016,20045,Wheat,Irrigated,3133.8949736527125,10291.711093475507,3315.47257942229,10888.0119508228
2017,20045,Wheat,Irrigated,3665.177597941477,12036.443231639809,3846.755203711055,12632.744088987103
2018,20045,Wheat,Irrigated,3228.046324792494,10600.90413061855,3362.548254992181,11042.608469394321
2019,20045,Wheat,Irrigated,2663.1382179538073,8745.745907760303,2750.5644725836037,9032.853727964553
2020,20045,Wheat,Irrigated,3261.6718073424154,10711.330215312491,3342.3729654622275,10976.352818577954
2021,20045,Wheat,Irrigated,3033.018526002947,9960.432839393678,3080.0942015728374,10115.029357965197
1990,20045,Wheat,Non-Irrigated,2205.8316552748706,7243.951155922675,2965.7675609031035,9739.580670005791
1991,20045,Wheat,Non-Irrigated,2515.186094734151,8259.871135106952,3349.098061972212,10998.438035516743
1992,20045,Wheat,Non-Irrigated,2851.440920233369,9364.131982046383,3759.3289490812576,12345.63626878285
1993,20045,Wheat,Non-Irrigated,1708.174513536028,5609.645102452316,2226.006944804824,7310.206806739041
1994,20045,Wheat,Non-Irrigated,2481.5606121842293,8149.445050413008,3207.8710352625408,10534.648479802183
1995,20045,Wheat,Non-Irrigated,1647.6486449461684,5410.878150003216,2104.9552076251052,6912.672901840845
1996,20045,Wheat,Non-Irrigated,2454.6602261442918,8061.104182657854,3106.994587612775,10203.370225720353
1997,20045,Wheat,Non-Irrigated,3355.823158482196,11020.52325245553,4209.9104152502105,13825.34580368169
1998,20045,Wheat,Non-Irrigated,2817.8154376834473,9253.70589735244,3497.050185191868,11484.312808170094
1999,20045,Wheat,Non-Irrigated,2226.006944804824,7310.206806739041,2737.114279563635,8988.683294086977
2000,20045,Wheat,Non-Irrigated,2985.9428504330563,9805.836320822156,3638.2772119015394,11948.102363884655
2001,20045,Wheat,Non-Irrigated,3826.5799141811012,12566.488438170736,4620.141302359257,15172.544036947798
2002,20045,Wheat,Non-Irrigated,3086.8192980828217,10137.114574903986,3692.0779839814145,12124.784099394965
2003,20045,Wheat,Non-Irrigated,4035.0579059906167,13251.130163273185,4781.543618598881,15702.589243478724
2004,20045,Wheat,Non-Irrigated,3019.5683329829785,9916.262405516101,3544.1258607617588,11638.909326741616
2005,20045,Wheat,Non-Irrigated,2030.9791460152771,6669.7355155141695,2360.508875004511,7751.911145514814
2006,20045,Wheat,Non-Irrigated,3207.8710352625408,10534.648479802183,3698.8030804913988,12146.869316333752
2007,20045,Wheat,Non-Irrigated,1378.644784546794,4527.469472451671,1573.6725833363405,5167.940763676542
2008,20045,Wheat,Non-Irrigated,2004.0787599753398,6581.394647759015,2266.35752386473,7442.718108371772
2009,20045,Wheat,Non-Irrigated,2367.2339715144954,7773.996362453602,2656.413121443823,8723.660690821514
2010,20045,Wheat,Non-Irrigated,2091.5050146051367,6868.502467963269,2326.8833924545893,7641.485060820871
2011,20045,Wheat,Non-Irrigated,2811.090341173463,9231.620680413653,3100.2694911027907,10181.285008781564
2012,20045,Wheat,Non-Irrigated,3759.3289490812576,12345.63626878285,4115.75906411043,13516.152766538651
2013,20045,Wheat,Non-Irrigated,4297.336669880007,14112.453623885944,4660.491881419162,15305.055338580529
2014,20045,Wheat,Non-Irrigated,3470.149799151931,11395.97194041494,3732.4285630413206,12257.295401027695
2015,20045,Wheat,Non-Irrigated,1883.0270227956214,6183.86074286082,2010.803856485324,6603.479864697804
2016,20045,Wheat,Non-Irrigated,3133.8949736527125,10291.711093475507,3315.47257942229,10888.0119508228
2017,20045,Wheat,Non-Irrigated,3665.177597941477,12036.443231639809,3846.755203711055,12632.744088987103
2018,20045,Wheat,Non-Irrigated,3228.046324792494,10600.90413061855,3362.548254992181,11042.608469394321
2019,20045,Wheat,Non-Irrigated,2663.1382179538073,8745.745907760303,2750.5644725836037,9032.853727964553
2020,20045,Wheat,Non-Irrigated,3261.6718073424154,10711.330215312491,3342.3729654622275,10976.352818577954
2021,20045,Wheat,Non-Irrigated,3033.018526002947,9960.432839393678,3080.0942015728374,10115.029357965197
1990,20061,Wheat,Irrigated,3039.7436225129313,9982.518056332467,5238.850181277818,17204.38399531635
1991,20061,Wheat,Irrigated,2568.986866814026,8436.55287061726,4330.962152429929,14222.879708579887
1992,20061,Wheat,Irrigated,2885.0664027832913,9474.558066740328,4768.0934255789125,15658.418809601148
1993,20061,Wheat,Irrigated,2118.4054006450738,6956.843335718422,3429.7992200920244,11263.460638782208
1994,20061,Wheat,Irrigated,3046.4687190229156,10004.603273271254,4828.619294168771,15857.185762050245
1995,20061,Wheat,Irrigated,1876.3019262856367,6161.77552592203,2911.9667888232284,9562.89893449548
1996,20061,Wheat,Irrigated,2804.3652446634787,9209.535463474864,4270.43628384007,14024.11275613079
1997,20061,Wheat,Irrigated,4445.288793099662,14598.32839653929,6644.395351864549,21820.194335523178
1998,20061,Wheat,Irrigated,3665.177597941477,12036.443231639809,5373.352111477505,17646.088334092125
1999,20061,Wheat,Irrigated,3571.026246801696,11727.250194496768,5144.698830138036,16895.19095817331
2000,20061,Wheat,Irrigated,3180.9706492226032,10446.307612047029,4499.089565179538,14775.010132049601
2001,20061,Wheat,Irrigated,3571.026246801696,11727.250194496768,4963.121224368459,16298.890100826016
2002,20061,Wheat,Irrigated,3577.7513433116806,11749.335411435559,4882.420066248646,16033.867497560554
2003,20061,Wheat,Irrigated,4095.583774580476,13449.897115722282,5494.4038486572235,18043.62223899032
2004,20061,Wheat,Irrigated,3302.022386402322,10843.841516945224,4357.862538469866,14311.22057633504
2005,20061,Wheat,Irrigated,3268.3969038523996,10733.41543225128,4243.535897800132,13935.771888375633
2006,20061,Wheat,Irrigated,3597.9266328416334,11815.591062251924,4593.240916319319,15084.203169192642
2007,20061,Wheat,Irrigated,988.5891869677012,3246.5268900019305,1244.1428543471068,4085.7651336758986
2008,20061,Wheat,Irrigated,3853.480300221039,12654.829305925892,4761.368329068928,15636.333592662359
2009,20061,Wheat,Irrigated,3900.55597579093,12809.425824497413,4747.918136048958,15592.163158784779
2010,20061,Wheat,Irrigated,3241.4965178124626,10645.074564496126,3887.1057827709606,12765.255390619834
2011,20061,Wheat,Irrigated,3779.5042386112113,12411.891919599217,4458.738986119632,14642.49883041687
2012,20061,Wheat,Irrigated,3611.3768258616024,11859.761496129502,4203.185318740226,13803.260586742901
2013,20061,Wheat,Irrigated,4539.440144239444,14907.521433682332,5205.224698727896,17093.95791062241
2014,20061,Wheat,Irrigated,4660.491881419162,15305.055338580529,5265.750567317755,17292.724863071504
2015,20061,Wheat,Irrigated,3517.225474721821,11550.56845898646,3914.0061688108985,12853.59625837499
2016,20061,Wheat,Irrigated,5063.997672018224,16630.168354907848,5561.654813757067,18264.474408378206
2017,20061,Wheat,Irrigated,5090.898058058162,16718.509222663004,5514.579138187176,18109.877889806685
2018,20061,Wheat,Irrigated,4425.11350356971,14532.072745722926,4727.742846519006,15525.907507968415
2019,20061,Wheat,Irrigated,4109.033967600445,13494.06754959986,4330.962152429929,14222.879708579887
2020,20061,Wheat,Irrigated,4418.388407059726,14509.987528784139,4593.240916319319,15084.203169192642
2021,20061,Wheat,Irrigated,4297.336669880007,14112.453623885944,4411.663310549741,14487.90231184535
1990,20061,Wheat,Non-Irrigated,2898.51659580326,9518.7285006179045,4028.3328094806325,13229.044946334396
1991,20061,Wheat,Non-Irrigated,1943.5528913854803,6382.627695309917,2669.8633144637915,8767.83112469909
1992,20061,Wheat,Non-Irrigated,2138.580690175027,7023.098986534788,2898.51659580326,9518.7285006179045
1993,20061,Wheat,Non-Irrigated,1445.8957496466378,4748.321641839559,1936.827794875496,6360.542478371129
1994,20061,Wheat,Non-Irrigated,2871.6162097633223,9430.38763286275,3806.4046246511484,12500.23278735437
1995,20061,Wheat,Non-Irrigated,1156.7165997173101,3798.6573134716464,1519.8718112564657,4991.259028166233
1996,20061,Wheat,Non-Irrigated,2656.413121443823,8723.660690821514,3443.2494131119934,11307.631072659786
1997,20061,Wheat,Non-Irrigated,3940.9065548508356,12941.937126130144,5057.27257550824,16608.08313796906
1998,20061,Wheat,Non-Irrigated,3295.2972898923367,10821.756300006433,4183.010029210273,13737.004935926538
1999,20061,Wheat,Non-Irrigated,2999.3930434530257,9850.006754699736,3766.054045591243,12367.72148572164
2000,20061,Wheat,Non-Irrigated,2837.990727213401,9319.961548168809,3523.950571231805,11572.653675925247
2001,20061,Wheat,Non-Irrigated,3335.6478689522432,10954.267601639167,4102.30887109046,13471.982332661071
2002,20061,Wheat,Non-Irrigated,2750.5644725836037,9032.853727964553,3349.098061972212,10998.438035516743
2003,20061,Wheat,Non-Irrigated,4216.635511760195,13847.431020620481,5077.447865038193,16674.338788785426
2004,20061,Wheat,Non-Irrigated,3073.3691050628536,10092.94414102641,3665.177597941477,12036.443231639809
2005,20061,Wheat,Non-Irrigated,2165.4810762149646,7111.4398542899435,2555.536673794057,8392.382436739683
2006,20061,Wheat,Non-Irrigated,3214.5961317725246,10556.73369674097,3752.6038525712734,12323.55105184406
2007,20061,Wheat,Non-Irrigated,1392.0949775667627,4571.639906329248,1607.2980658862623,5278.366848370485
2008,20061,Wheat,Non-Irrigated,2737.114279563635,8988.683294086977,3133.8949736527125,10291.711093475507
2009,20061,Wheat,Non-Irrigated,3328.922772442259,10932.182384700378,3779.5042386112113,12411.891919599217
2010,20061,Wheat,Non-Irrigated,2434.484936614339,7994.848531841489,2737.114279563635,8988.683294086977
2011,20061,Wheat,Non-Irrigated,3147.345166672681,10335.881527353084,3503.7752817018522,11506.398025108881
2012,20061,Wheat,Non-Irrigated,2864.891113253338,9408.302415923961,3160.79535969265,10380.051961230662
2013,20061,Wheat,Non-Irrigated,3994.7073269307107,13118.618861640452,4364.587634979851,14333.30579327383
2014,20061,Wheat,Non-Irrigated,3140.620070162697,10313.796310414296,3396.1737375421026,11153.034554088264
2015,20061,Wheat,Non-Irrigated,2757.289569093588,9054.938944903342,2959.042464393119,9717.495453067002
2016,20061,Wheat,Non-Irrigated,3436.5243166020086,11285.545855720995,3651.727404921508,11992.27279776223
2017,20061,Wheat,Non-Irrigated,3712.2532735113678,12191.03975021133,3907.2810723009143,12831.511041436203
2018,20061,Wheat,Non-Irrigated,2320.158295944605,7619.399843882083,2421.03474359437,7950.678097963911
2019,20061,Wheat,Non-Irrigated,3194.420842242572,10490.478045924605,3302.022386402322,10843.841516945224
2020,20061,Wheat,Non-Irrigated,3389.4486410321183,11130.949337149475,3476.874895661915,11418.057157353729
2021,20061,Wheat,Non-Irrigated,3611.3768258616024,11859.761496129502,3671.9026944514617,12058.5284485786
1990,20085,Wheat,Irrigated,2723.6640865436666,8944.512860209401,3880.380686260977,12743.170173681048
1991,20085,Wheat,Irrigated,2286.532813394683,7508.973759188139,3214.5961317725246,10556.73369674097
1992,20085,Wheat,Irrigated,2373.959068024479,7796.081579392389,3295.2972898923367,10821.756300006433
1993,20085,Wheat,Irrigated,1123.0911171673883,3688.231228777703,1540.0471007864187,5057.5146789825985
1994,20085,Wheat,Irrigated,3046.4687190229156,10004.603273271254,4129.209257130397,13560.323200416224
1995,20085,Wheat,Irrigated,1580.397679846325,5190.025980615331,2111.6803041350895,6934.758118779633
1996,20085,Wheat,Irrigated,1923.3776018555275,6316.372044493552,2542.0864807740886,8348.212002862107
1997,20085,Wheat,Irrigated,3382.7235445221336,11108.864120210686,4418.388407059726,14509.987528784139
1998,20085,Wheat,Irrigated,3234.7714213024783,10622.989347557339,4176.284932700289,13714.919718987747
1999,20085,Wheat,Irrigated,2851.440920233369,9364.131982046383,3638.2772119015394,11948.102363884655
2000,20085,Wheat,Irrigated,3006.11813996301,9872.091971638523,3792.95443163118,12456.062353476795
2001,20085,Wheat,Irrigated,3133.8949736527125,10291.711093475507,3914.0061688108985,12853.59625837499
2002,20085,Wheat,Irrigated,3503.7752817018522,11506.398025108881,4324.237055919944,14200.794491641096
2003,20085,Wheat,Irrigated,4411.663310549741,14487.90231184535,5386.8023044974725,17690.2587679697
