Year,Month,precip_mm_prism,precip_mm_gridmet,etr_mm_gridmet,tmmx_C_gridmet,tmmn_C_gridmet,srad_wpm2_gridmet,wind_mps_gridmet,rhmax_pct_gridmet,rhmin_pct_gridmet,vpd_kpa_gridmet
1986,12,32.713669766134984,33.84957260765374,32.03518950941692,5.604004775975268,-3.7322533129841413,85.61389338346999,3.3757243815803206,98.14023618392558,57.85614273560188,0.1613200751916956
1987,1,22.067594802636894,23.141899978129498,46.84303373020475,3.822136885078543,-6.438346005933459,88.18483554010247,3.9756533353766943,92.56590717437899,51.20760781286539,0.21784380518063326
1987,2,28.136582249115083,15.501392599879992,65.21350786672876,9.986976528328569,-1.2346975497009154,104.25229150730281,3.9641234012317494,88.91205089369673,43.53534150083391,0.35802130041797886
1987,3,143.26415861939356,140.62332758895462,110.73640818881346,14.43548575750292,1.828117326861914,158.21427827420163,4.633571430965379,85.38831082966436,42.21159916342209,0.523098173094238
1987,4,57.02261731656458,57.439663532034544,182.73272615962648,21.517497760328858,6.902709595549994,219.89054641594976,4.063951902606636,69.63885435969593,31.527635537351767,1.0876843598098016
1987,5,168.65688089525588,167.0057912070122,193.69640241525627,26.72506775108198,15.032893518251695,249.4756939198074,4.271799067622695,87.74447700667743,45.406489669774075,1.0020941501423641
1987,6,89.62757100794323,90.27398611750912,198.67785946534818,30.564441257624786,18.274209131559296,280.43813016482994,3.1265424801567554,93.24848784242472,43.036513645371535,1.2453294935154071
1987,7,58.40689935517581,61.80848092531776,239.453689777831,32.352325099797135,20.297126082988072,289.23532719475423,4.406944894267978,91.20281350713154,46.49227473305611,1.330306186643861
1987,8,129.52416242577925,138.90714536901268,202.2919390361888,30.68690930216954,18.527268943336342,232.11933305814335,3.8573759693721494,92.05203808017365,45.056086905288055,1.269634974344585
1987,9,71.85636661917675,76.44547865995871,147.71370383217604,26.591347031488812,13.194072184313432,210.72329018449702,3.280590294384434,93.11300978893776,42.33851937781297,0.9263705645403613
1987,10,47.64309125274941,39.13131749142483,137.89982234230533,18.53653686935144,4.343550035241908,161.33224928600188,4.0561357505405935,80.40487868387824,31.797099468880923,0.7847233045261988
1987,11,62.10329466071918,60.883925864206,82.20290601346484,12.676678682941633,2.717053387337976,98.16200329682478,4.43398356839738,85.25635580670773,45.54951879749009,0.4644875119096312
1987,12,40.14933032146583,42.691779416487954,48.06493037523196,6.02134562551877,-2.9201123448286426,83.96895851534093,4.333887587108258,89.84666848785761,53.47876646546851,0.2365347696169834
1988,1,17.646935179691766,14.668063163305012,55.93759703947762,2.747656394096513,-8.837101238694578,89.06487388031881,4.456074457747539,84.3560824144952,39.562386392139864,0.25142371972385186
1988,2,11.299761490733626,12.150437293250686,64.8327776852989,4.890333482507533,-8.240975164764022,119.99403562111557,4.244307043379515,87.53545927719965,42.46766300748211,0.321659805827961
1988,3,17.37889399484397,10.18165652494105,148.32104698984458,14.053119879428314,-0.9421916839444993,180.75180489860136,5.106054599128324,76.42875640508899,27.43921796145769,0.6777634281935218
1988,4,72.76474779605375,75.81962326555991,169.27531429426665,19.589318204368368,5.079534207065856,233.1414963977936,4.342641164239302,74.9583523478516,32.05567769377067,0.8750211576386205
1988,5,79.86483746613898,79.64399417043738,235.85449060661998,26.987065662300427,13.645124201911319,264.62891651687494,4.800326235177746,78.76558328921236,34.24177224157633,1.279614708375368
1988,6,56.71559363205411,29.45315599127423,293.01102362354527,32.70004364579768,17.905053299233266,295.1108193100001,4.525147390606834,82.11977615485102,28.185273746213866,1.9968806728343738
1988,7,59.55519075383875,65.47548387369257,219.24872080149981,31.808948016367736,19.402413194215743,264.8829905620916,3.6361499333261036,95.3948977697157,42.962465405263146,1.35529124847351
1988,8,50.809088441352806,52.34603044614322,246.0002514610403,33.69120396940546,19.519542592452332,244.2235522213915,4.011462745939902,90.39180064724026,30.769421497042625,1.7369814518129243
1988,9,80.09580995024537,82.7297140676748,200.28097744936886,28.379269856908092,14.207141195622125,208.39000616990293,4.449100923377386,87.95832339024665,35.39473715359204,1.300499364959852
1988,10,8.65935758490571,9.60470266195413,129.4392691011875,18.336280007064868,4.728604753825579,156.00681465753615,3.7691858829977543,82.93493566143171,31.31816983182756,0.7616772807468652
1988,11,31.772030870568962,33.20732150685426,96.10531339124725,13.751826495062865,0.6949391305547366,105.98491367642433,4.9664566585225565,87.35779840427547,35.94559018808915,0.5244406939407223
1988,12,12.522135480212283,14.462580531760171,79.27722584869568,8.851547827889528,-5.010676036918322,87.41881208757526,4.559639157171394,88.47925724589201,32.974062586715206,0.39306751265493656
1989,1,27.000169634451478,27.965967355123258,78.82182048298858,9.362798058443913,-3.4700354230343367,94.66329453003547,4.162285554469335,85.45256450324999,38.054817775449706,0.39736479701722455
1989,2,15.99918665400757,16.522253951902734,41.84392419113176,-0.5627881209323392,-11.235906905227305,111.82062627654051,4.170138346204066,83.67179186790428,42.19567687435054,0.18403293576851662
1989,3,56.88405123374445,56.88253255688521,149.43487594200025,14.771794743401227,-0.8286724946148856,178.03924274927047,5.126336939218273,75.7947494609762,28.459861490014834,0.7302164899257544
1989,4,17.69073306325773,18.323536258498695,203.2215895095925,21.74847856749976,7.035839622458984,223.37634496061636,4.524871073927083,69.00548605573117,25.862107397532984,1.151806383671688
1989,5,67.45113991465867,71.60272867160946,214.5529528779887,24.92447565345702,11.146375062373219,243.60217153925518,4.502538371850025,82.43800901441912,32.155218922066645,1.1518972814585668
1989,6,111.57723749284264,116.13315899353506,191.7682920032971,27.56989407467,15.639274836471092,261.5925342373261,3.6218399601481215,93.00067922196541,40.273241258592265,1.0726452085863278
1989,7,84.49506823940611,78.86544341773649,210.8941034297718,31.8732569934144,19.504102524858727,252.09176860892953,3.5544497174718126,96.85675876739657,40.76655387556774,1.3578754564963946
1989,8,150.08225245539478,154.1450201005598,189.49159434895088,30.464155426797358,17.973666438445296,235.40009369616968,3.628818828380128,95.70033717678128,42.39599927480868,1.1182228493147717
1989,9,165.83272930431465,163.74284747861088,138.1907852424739,23.812820197840388,10.933087605931528,195.48896672472384,3.835079897314461,90.12428188484796,49.98018873320864,0.7841535677998304
1989,10,82.99765604299485,81.52769221835354,148.67724565852552,21.56816661506642,7.09281413961223,153.846551261503,4.328827574120404,82.67659850868367,37.98627500871784,0.9181299625721588
1989,11,0.0016375014152296963,0.0013242352370669026,103.03132107426705,13.304964031457521,-1.2407119570855722,113.54135322892445,4.653574695273555,78.47533300956225,34.864412574703735,0.5711175461643663
1989,12,7.938278868779126,8.792677122766614,50.08208080503028,0.540052489205137,-11.841215399344874,84.59759564584664,4.068878267908981,83.66054709243132,40.91207036280512,0.24967169084446425
1990,1,40.45121919312433,39.75957717222568,83.7256928427525,9.809456445394863,-3.122626684487949,96.92807227483688,4.654053367008447,84.88870419378425,39.60260467464968,0.4079835877249655
1990,2,40.350506066050826,41.883483550852105,73.90192500430256,8.533336949469088,-3.6864191270799074,114.20649907721636,4.364979643443784,88.10115914561898,38.88536327162641,0.38447250920845727
1990,3,98.69653399507654,97.87141447068267,113.1837817351593,13.635879176945572,2.1849027328105466,155.60815883848758,4.736083457683029,84.12177219358705,38.94727500413763,0.5129192559202445
1990,4,32.609261764651826,35.61695511995942,148.44944625097824,17.85934542934169,4.96331274537576,211.53624412703877,4.768574071774796,80.45408676044535,37.65049323585343,0.6934597470607564
1990,5,160.66157995931658,163.02596910893413,162.66860578765755,21.611731101127763,10.850641358039454,242.89938845964144,4.524937493202055,89.30938076771933,45.497338444547346,0.7121949695917648
1990,6,141.9386872333711,147.49408094730686,229.08252491918824,30.483380703339108,18.855780739486743,285.6902672444387,4.885093288518124,90.41879215208314,46.01118457980743,1.239593992245338
1990,7,91.50431611628596,92.68671791386141,240.3559415336403,31.271668967750404,19.459627426173217,268.9291523873907,4.468429937933589,87.84044068257684,41.711495282075056,1.399884539450602
1990,8,123.90333821374122,124.66036995109579,198.531071473937,30.885600813404125,18.91722788304143,244.51306995050902,3.7133867024973313,91.91232699286475,46.83701269461775,1.1897548082305047
1990,9,16.599648173274385,19.486889817184984,189.5997947841933,29.45341781950723,14.985723429224768,211.39796578984638,3.6722385863228553,88.56125004657405,30.41064883484607,1.4424724999004834
1990,10,47.73916838078435,48.627683223977456,163.96140936494476,21.39508189929881,6.506782410800178,161.46885184534082,4.844877830042204,84.35499072275918,31.0832341597816,0.9291406695496975
1990,11,69.33848892478511,69.69290208497397,104.34632367021318,16.3440148493492,2.6863770200269648,102.69792293014655,4.574996454518722,85.9295867546815,36.446104181556635,0.61480746934627
1990,12,19.512008714038814,19.818940782401253,54.96555597331331,3.5451992041345215,-7.667467428017605,76.68311356131183,4.424015613068618,83.05201162174218,40.481120921709085,0.2696533686847349
1991,1,18.89919515650907,20.569861869385832,34.91006437893863,0.8178640896313334,-9.55150304990512,86.47346061719409,3.6843461922007106,95.93526982376588,58.747987119986675,0.154473446454055
1991,2,0.29534688508752627,0.5024412475136842,96.04024069164495,12.643938133407024,-2.345829677742586,125.29157870776737,4.2781837491120696,78.36513675606069,32.42370118178163,0.5481330340015145
1991,3,59.3465820049823,60.51386932244691,158.1857485747056,16.204707817605154,1.7714109835697291,171.7467057869768,5.306455621027826,81.06349539153692,30.40751659367579,0.7483525102797889
1991,4,115.47807458640371,112.8277925866802,150.12417629024432,20.043146832676825,8.23285920270179,210.5943283544222,4.76953058500113,87.41221793626653,40.25630364570811,0.7155692571331237
1991,5,136.39516442701725,138.1460007164018,177.7659989695927,25.813306111790904,15.065886571154046,247.74732906862616,4.290792403092473,94.23688704569464,47.560275388206236,0.8437947407741772
1991,6,72.50835254430035,72.69504023600891,219.77236142307268,30.313823598311707,19.162896882904743,282.521312076768,4.370336376997511,95.09949146032736,46.122708659952046,1.1786812999698806
1991,7,33.43609567683378,35.921506952676566,272.5466472893501,33.93430342006847,20.029736750121888,274.3310685310557,3.8775977646118474,90.34583642068641,31.044351416936813,1.8944109563682774
1991,8,45.28311471164778,43.204211804883876,220.5605054095664,32.662386961449684,18.111136986151937,231.33016175242741,3.477302313253007,93.17674647133427,32.505695388047734,1.632037308626191
1991,9,52.037455483306225,54.96159168796435,198.02621269226074,27.495485683396154,13.45037136238705,204.37582469509184,4.401235314686021,85.1862492617628,31.4081025758843,1.2939420251983011
1991,10,46.70200173435819,29.56106560992652,175.2927303226762,21.917345193023447,6.939683494117593,165.27794976580202,4.796584299402736,78.32517915954075,29.77797543298937,1.061554034685003
1991,11,81.06895858435323,79.04530219660843,63.82748079631622,8.031777310813682,-2.4594138648819333,91.88154052039624,4.834166924024713,88.40874714714681,49.61371522166878,0.31149136134333794
1991,12,52.55572168285531,50.285438681332295,50.39329184598052,7.150335297094049,-2.150960377376334,79.26940296552635,3.773672669774163,90.7141101316095,45.2733055809497,0.259820556095338
1992,1,32.50524826285038,32.839258139642055,58.307034073476046,7.895436994221342,-3.361560897441153,86.06495695451862,4.3207358656605015,91.97204888329337,44.61359721371939,0.27635627615612635
1992,2,38.634378515559135,38.34783648552521,69.0814891811366,10.580331523824524,-0.8584860841902044,114.25084194807339,4.092352492612289,91.93104520414973,45.2427885399701,0.35735416397276454
1992,3,112.95999473265974,113.27910001229175,123.05831464014408,14.746576236512592,2.3415226233548525,168.2258431240037,4.795625847065429,84.71653867853432,36.49484179916511,0.573850372840743
1992,4,62.732670055754014,66.74813095622179,146.1245985288443,18.844809515761707,5.887687716556463,205.35300868840082,4.376772521921193,85.87200278656881,43.00589530262939,0.717678395079521
1992,5,34.74835108534528,32.910242258999844,192.38799202763812,23.714870016731684,10.715512043790534,246.05338318231335,4.2164906627211165,82.58758953409694,37.7888385618316,0.9852799308842792
1992,6,99.2107795723173,101.21509029986385,174.3262918484955,26.50775331236663,15.034383321572339,261.5690977151237,3.671542393015368,94.00673158333635,45.422516991678016,0.9188529782210796
1992,7,253.18241328742252,259.3869947649124,187.64383710375523,29.867771831853418,18.454092731443687,256.8620170091497,3.7414397652595484,98.3144149587287,50.95675695847098,0.944417936805931
1992,8,50.12172693877891,50.27411601253947,166.89077363448442,27.723935358520325,15.983342878010404,236.795427280574,3.4021567289181944,93.03945459040985,51.16068776019709,0.8862872790124324
1992,9,111.4052809218341,110.59133980595342,170.62323133066974,26.22457205915534,13.239952352436983,216.23090267342218,4.534450472104811,90.72422228937005,42.652433331056955,0.9591164791463398
1992,10,47.829443042594384,45.2351871854288,122.23930810057695,20.51480881689373,6.732735125331033,154.35273269215884,3.8376999769805855,89.78526438026364,38.704314876768684,0.770509832373759
1992,11,131.44787679203736,131.94057522023107,44.416167031540134,6.929782752926417,0.36919012729074524,81.34553848189407,4.416968095965973,91.64774021451026,59.07013763504929,0.20428224975905973
1992,12,65.48949487260778,64.7598222453166,43.49901394882753,5.060120344242421,-4.356887771066061,85.39690978129035,4.11913083214784,93.5864541631123,50.82805812378959,0.19964976424059216
1993,1,38.462305594323716,39.66149323834436,29.106129188486335,0.642482784586474,-8.029289623858734,84.63520109874604,3.834669664175474,96.24842085042249,61.10091129322277,0.12300596184538548
1993,2,27.57555121336542,28.28795301833804,41.01713814818839,3.186016212707851,-6.790081653305468,105.3458749857962,3.922475722949782,91.40872962398433,48.3637880161279,0.20187648271428796
1993,3,71.43944542503553,64.6331377397048,86.12620017615981,10.172462445366868,-0.5659205727794092,160.9929360555356,4.173386544642521,86.81418439791135,46.96604931977708,0.3579765688659369
1993,4,111.37333858368453,110.70629713813732,119.73810985649214,15.864619026377092,4.3458431250329594,190.8097318034952,4.67663563725116,87.77875130896223,44.51989430882677,0.5331541462400913
1993,5,200.45451469460593,203.37946587851238,152.06172157871782,22.683760073373957,12.076636400914335,220.88672006230732,4.015244567977236,92.5058979079454,50.72428015311693,0.7085381997073883
1993,6,114.79271599592187,90.94854639636425,199.39807803393617,28.31807158857737,17.12377530334372,278.7845260594386,4.247545916957758,90.76677328177287,48.06574545180013,1.042181725998552
1993,7,378.15326068874253,376.7248898590295,177.6865510041959,30.277632606853746,20.31860775617888,238.77273376876548,4.012429533479185,97.74057688077826,57.64994857041872,0.8666939775618092
1993,8,94.83779155656711,97.04448082975252,192.32997638248472,31.171527619386023,19.606141212296148,247.10631543267235,3.4936839348148134,90.640779762203735,49.683776405167215,1.1440516846980051
1993,9,162.26719274256237,167.27615249194645,135.3817356694207,23.73287834694979,10.9480465199051,196.1129649839353,3.874369065033847,91.06994188254036,52.974010551156724,0.7448494235339495
1993,10,35.91697331494197,37.589338075124594,117.87195831054781,18.390594477275595,6.3762311192427505,148.9149253935275,4.0303397532458245,82.97735668394658,44.72327305695661,0.6599445682251434
1993,11,31.568399995841077,33.483407434032095,76.07395773909948,9.915426676912636,-1.575039796362817,101.71332542972661,4.493231186979336,80.5612366533199,43.07609039937063,0.3902909484319703
1993,12,24.073885665768096,24.239015657498705,56.283116119280834,6.775416351369845,-3.8017339130677996,78.68851021289021,4.5746899338636995,91.24526298870325,48.06444569180828,0.264936857302414
1994,1,9.859699504348503,11.068095400929451,42.98879023728041,1.570514538718338,-8.52237234903626,84.41209613613495,4.313932876964846,87.62958543336813,49.0031795340887,0.19011135898140993
1994,2,13.189416017463738,11.391271429133255,71.67716746200598,5.451087341823246,-7.484022277523231,124.1732818577784,4.72168357496921,81.63829773232266,34.103236606913114,0.35173129434830824
1994,3,13.366020332505009,12.863577702319843,149.37727447826586,16.368072221572668,0.6895446983196106,179.227862597718,4.187483930065097,75.13652421330521,30.93444685107741,0.7660847063510856
1994,4,121.08896351154637,119.61140280306138,176.39061868391792,19.576984676985095,5.882578235130912,204.13388734402585,5.4099919526613185,77.6081976737783,36.784008167646384,0.8630717715867253
1994,5,52.76875346145552,55.00121682754154,191.33700230561863,25.26735531065559,11.527182485442161,267.7334187139347,3.5309463745425966,83.76918072885445,40.55192888205208,1.0303627173172885
1994,6,99.61761553804529,100.68944440897661,211.65928828615765,30.28150283273117,18.488853976939644,290.9933073355818,4.274615283559185,92.18162103045047,46.81380077317031,1.150783825935843
1994,7,101.83872289157722,104.63609970729127,204.15445565996444,30.42312884017149,18.11292041180309,280.799680249888,3.3979907275050327,95.8770661442517,44.5286498785421,1.1389421608556582
1994,8,114.59349081229576,113.31120135136338,207.6560354846927,31.046357739916562,17.853345045633322,240.48432663761545,3.922711049123317,96.09569806875709,40.140260262191795,1.2687661297003696
1994,9,36.778397934532364,40.52029596605852,163.95462467477455,26.458609230080125,13.21990181471005,204.8641197243187,4.164188474668017,91.155942630607,42.35937188327011,1.0194271876779817
1994,10,52.1121580490473,49.646019260934594,113.24807466543947,20.427573625072483,8.116643916575565,151.02292618904306,3.9597615144305043,90.96117352233166,39.32886662732489,0.6731856278384114
1994,11,62.60451908836875,63.319632211433095,69.29657496152599,12.435750997971144,2.275572052773921,96.45745731887689,4.809972150329796,91.26834027964188,48.87249742671973,0.3524113953565868
1994,12,39.93851986107821,34.705073401884725,41.70785815761272,6.920234687895259,-2.873708952056193,81.98681384596415,3.522190026046856,95.69421900062497,53.58380220551515,0.21372513824831976
1995,1,28.21879312019309,27.874515299250263,40.17977462844644,3.3945275652469133,-7.39820638466844,88.56106100355795,3.9883228815828167,96.48817531334811,54.959148516341365,0.18270172035513196
1995,2,11.550329872723841,12.160221957185417,80.63036010689518,9.164695515881926,-3.5826815934848395,110.72463978965206,4.185493318266651,84.1417774438456,33.43112301142984,0.44600587927470925
1995,3,76.29710359367536,76.53627887893387,123.69854114751189,13.352491917216177,1.2252352889834754,166.12696590069777,4.889597900802329,80.5180149882479,37.84481938894442,0.6256552448662699
1995,4,76.67903720585194,72.55145814992224,144.30417596288717,17.84246169503586,4.80921863472283,208.38567576159113,4.895491297289252,86.1748657097905,39.564309633200324,0.663115637700433
