Year,FIPS,LandCover,area_ha,area_prc
2006,20117,Soybeans,44007.1744,18.917465179105847
2006,20117,Water,1455.4176,0.6256437079736208
2006,20117,Wetlands,1223.0400000000002,0.5257510151038831
2006,20117,Wheat,23840.4992,10.248370171853177
2006,20127,Corn,3798.0096,2.0975968824420868
2006,20127,Developed,8594.5216,4.746655120155878
2006,20127,Double Crop,551.936,0.30482788482355494
2006,20127,Fallow/Barren,2222.1696,1.2272786317384716
2006,20127,Forest,8000.2496,4.418445550985062
2006,20127,Grass/Pasture/Shrubland,130505.5808,72.07672656419139
2006,20127,Other Crops,1443.1871999999998,0.7970556397488634
2006,20127,Sorghum,4274.6816,2.3608573284260665
2006,20127,Soybeans,10035.8272,5.542671573933752
2006,20127,Water,2175.4432,1.2014721801255683
2006,20127,Wetlands,737.9008,0.40753409828967313
2006,20127,Wheat,8725.2928,4.818878545139641
2006,20131,Corn,24209.92,12.862872119391444
2006,20131,Developed,10841.152,5.75996747626117
2006,20131,Double Crop,192.2368,0.10213653638843206
2006,20131,Fallow/Barren,6743.6544,3.5829430318056175
2006,20131,Forest,17270.2656,9.175793141023396
2006,20131,Grass/Pasture/Shrubland,81508.71680000001,43.3060580462097
2006,20131,Other Crops,2791.04,1.4828958790490137
2006,20131,Sorghum,1364.7872,0.7251194231035177
2006,20131,Soybeans,33067.2384,17.568817198926315
2006,20131,Water,840.1344,0.44636832134520316
2006,20131,Wetlands,859.5776,0.45669860724419625
2006,20131,Wheat,8526.784,4.5303302192519865
2006,20139,Corn,7869.1648,4.252121146393415
2006,20139,Developed,12311.308799999999,6.65244378771421
2006,20139,Double Crop,1373.8816,0.7423800558860858
2006,20139,Fallow/Barren,6518.176,3.5221112671975106
2006,20139,Forest,19799.7632,10.69884720120516
2006,20139,Grass/Pasture/Shrubland,103912.6144,56.14941817805937
2006,20139,Other Crops,178.4384,0.09641959639333095
2006,20139,Sorghum,868.0448,0.4690499873756415
2006,20139,Soybeans,24137.4784,13.042741502281704
2006,20139,Water,5819.4752,3.144566696434169
2006,20139,Wetlands,699.6415999999999,0.3780529341889654
2006,20139,Wheat,1576.4672,0.85184764687043
2006,20149,Corn,9992.864,4.506766160147543
2006,20149,Developed,11957.8816,5.392986049037689
2006,20149,Double Crop,142.3744,0.06421063350720178
2006,20149,Fallow/Barren,4678.912,2.1101820527036357
2006,20149,Forest,24208.352000000003,10.917929192926083
2006,20149,Grass/Pasture/Shrubland,143857.1008,64.87932926760276
2006,20149,Other Crops,2189.5552,0.9874859981217682
2006,20149,Sorghum,1170.9824,0.5281112456297169
2006,20149,Soybeans,14931.4368,6.7340548307894235
2006,20149,Water,4570.72,2.0613876285627004
2006,20149,Wetlands,1543.5392,0.6961337844106765
2006,20149,Wheat,2486.5344,1.1214231565607993
2006,20161,Corn,2938.1184,1.8431701976553632
2006,20161,Developed,13343.366399999999,8.370695777568368
2006,20161,Double Crop,272.5184,0.17095900328343586
2006,20161,Fallow/Barren,5314.579199999999,3.3339956601201233
2006,20161,Forest,19739.238400000002,12.383018990417247
2006,20161,Grass/Pasture/Shrubland,90991.9808,57.08201113889386
2006,20161,Other Crops,1115.1616,0.6995744714337144
2006,20161,Sorghum,3162.656,1.9840293994401041
2006,20161,Soybeans,8814.9824,5.529904054423589
2006,20161,Water,4566.016,2.864399410594736
2006,20161,Wetlands,1664.2751999999998,1.0440499774743313
2006,20161,Wheat,7482.8096,4.6941919186951235
2006,20177,Corn,9329.6,6.406143006645164
2006,20177,Developed,25744.992000000002,17.677724710270073
2006,20177,Double Crop,240.2176,0.16494472413748554
2006,20177,Fallow/Barren,2772.2239999999997,1.9035396362602768
2006,20177,Forest,18908.512,12.983475381030926
2006,20177,Grass/Pasture/Shrubland,69291.17439999999,47.57858560975715
2006,20177,Other Crops,224.8512,0.15439342977359938
2006,20177,Sorghum,418.9696,0.2876842708194265
2006,20177,Soybeans,14364.1344,9.86309157231513
2006,20177,Water,2588.4544,1.7773547689697202
2006,20177,Wetlands,646.3295999999999,0.4438003608973337
2006,20177,Wheat,1105.7536,0.7592625291237258
2006,20197,Corn,4997.8432,2.4182620742397507
2006,20197,Developed,9965.2672,4.821805479896879
2006,20197,Double Crop,193.1776,0.09347113244222166
2006,20197,Fallow/Barren,4359.6672,2.109473511707411
2006,20197,Forest,11851.257599999999,5.7343629320194776
2006,20197,Grass/Pasture/Shrubland,159488.49279999998,77.17028285639283
2006,20197,Other Crops,1158.752,0.5606750558019626
2006,20197,Sorghum,616.224,0.2981668429366324
2006,20197,Soybeans,10259.1104,4.963984783627986
2006,20197,Water,1398.9696,0.6769070159492707
2006,20197,Wetlands,653.856,0.31637550510070156
2006,20197,Wheat,1728.2496,0.8362328098848759
2006,20209,Corn,460.992,1.17827170785274
2006,20209,Developed,18666.7264,47.71118716886156
2006,20209,Double Crop,33.2416,0.08496381022611593
2006,20209,Fallow/Barren,407.9936,1.0428105387186495
2006,20209,Forest,7644.3135999999995,19.5384701704887
2006,20209,Grass/Pasture/Shrubland,8619.923200000001,22.032077846087258
2006,20209,Other Crops,12.8576,0.032863360559158054
2006,20209,Sorghum,26.656,0.06813135725679109
2006,20209,Soybeans,1791.9104,4.580030298415344
2006,20209,Water,1162.2016,2.9705271763960917
2006,20209,Wetlands,247.1168,0.631617759039428
2006,20209,Wheat,50.4896,0.12904880609815725
2007,20005,Corn,20283.9616,18.282262691815223
2007,20005,Developed,8962.3744,8.077933016950686
2007,20005,Double Crop,745.1136,0.6715829402104633
2007,20005,Fallow/Barren,41.0816,0.03702751059241191
2007,20005,Forest,21373.094399999998,19.26391570164306
2007,20005,Grass/Pasture/Shrubland,36771.79519999999,33.14301381324002
2007,20005,Other Crops,50.4896,0.04550709317082685
2007,20005,Sorghum,332.416,0.2996119177706612
2007,20005,Soybeans,18457.8688,16.636375713344886
2007,20005,Water,986.272,0.8889429069704996
2007,20005,Wetlands,323.9488,0.2919802934500878
2007,20005,Wheat,2620.4416,2.361846400841175
2007,20013,Corn,42719.8464,28.67976327573829
2007,20013,Developed,10691.5648,7.177730571409924
2007,20013,Double Crop,561.6576,0.37706612657716165
2007,20013,Fallow/Barren,14.7392,0.009895090982203572
2007,20013,Forest,13096.8768,8.792525206165273
2007,20013,Grass/Pasture/Shrubland,39917.2032,26.798222252164816
2007,20013,Other Crops,246.8032,0.16569014048923855
2007,20013,Sorghum,652.9152,0.4383314771265498
2007,20013,Soybeans,37215.2256,24.98426259466128
2007,20013,Water,786.5088,0.5280188975184374
2007,20013,Wetlands,310.7776,0.20863904602901576
2007,20013,Wheat,2740.5504,1.839855321137809
2007,20045,Corn,9291.0272,7.472432683286084
2007,20045,Developed,18162.144,14.607146820552657
2007,20045,Double Crop,737.5872,0.5932143541731824
2007,20045,Fallow/Barren,139.552,0.1122365593567458
2007,20045,Forest,25315.987200000003,20.360720735262962
2007,20045,Grass/Pasture/Shrubland,51057.5296,41.06369992231717
2007,20045,Other Crops,143.0016,0.11501094621724961
2007,20045,Sorghum,303.8784,0.24439826071165544
2007,20045,Soybeans,10571.456,8.502234642507641
2007,20045,Water,5182.8672,4.1683901494133435
2007,20045,Wetlands,589.2544,0.47391571917151765
2007,20045,Wheat,2843.0976,2.286599207029792
2007,20061,Corn,1846.4768,1.7301363422661025
2007,20061,Developed,8316.358400000001,7.79237188528444
2007,20061,Double Crop,557.2672,0.5221556182416549
2007,20061,Fallow/Barren,51.744,0.048483779971791256
2007,20061,Forest,13087.1552,12.262576398683592
2007,20061,Grass/Pasture/Shrubland,69909.9072,65.50511283497885
2007,20061,Other Crops,566.6752,0.5309708509637988
2007,20061,Sorghum,849.5424,0.7960155148095911
2007,20061,Soybeans,2330.3616,2.1835331452750353
2007,20061,Water,5218.6176,4.889809590973202
2007,20061,Wetlands,281.9264,0.2641631405735778
2007,20061,Wheat,3708.32,3.4746708979783736
2007,20085,Corn,8740.6592,5.13942004506581
2007,20085,Developed,10280.748800000001,6.044977301140659
2007,20085,Double Crop,214.5024,0.12612526229997895
2007,20085,Fallow/Barren,5.3312,0.003134692191666144
2007,20085,Forest,26394.7712,15.519861040939078
2007,20085,Grass/Pasture/Shrubland,108501.5232,63.797808665764364
2007,20085,Other Crops,438.0992,0.25759794069162373
2007,20085,Sorghum,426.496,0.25077537533329153
2007,20085,Soybeans,10628.8448,6.249654261890625
2007,20085,Water,1438.4832,0.8458137107748589
2007,20085,Wetlands,228.6144,0.1344229769249776
2007,20085,Wheat,2772.8512,1.6304087269830614
2007,20087,Corn,13636.2688,9.488262685420768
2007,20087,Developed,11619.820800000001,8.085196451093433
2007,20087,Double Crop,1107.3216,0.7704862944649801
2007,20087,Fallow/Barren,117.2864,0.08160914022370505
2007,20087,Forest,36055.2192,25.08760981229898
2007,20087,Grass/Pasture/Shrubland,58510.5472,40.712268865021976
2007,20087,Other Crops,92.19839999999999,0.06415263964109434
2007,20087,Sorghum,310.464,0.21602419470980752
2007,20087,Soybeans,12773.2416,8.887759065378958
2007,20087,Water,6537.6192,4.548945845571068
2007,20087,Wetlands,834.4896,0.5806468506290886
2007,20087,Wheat,2122.7584,1.4770381555461487
2007,20091,Corn,4150.8096,3.3905599188478854
2007,20091,Developed,55381.4464,45.23794885982304
2007,20091,Double Crop,892.8192,0.729293146642485
2007,20091,Fallow/Barren,799.6800000000001,0.6532130396692437
2007,20091,Forest,14408.352,11.769362002981726
2007,20091,Grass/Pasture/Shrubland,32259.0912,26.35061402025729
2007,20091,Other Crops,104.42880000000001,0.085301938121513
2007,20091,Sorghum,280.0448,0.22875264487240574
2007,20091,Soybeans,9449.0816,7.71841650912705
2007,20091,Water,2097.984,1.713723621720486
2007,20091,Wetlands,206.3488,0.16855458043229896
2007,20091,Wheat,2392.4544,1.9542597175045726
2007,20103,Corn,7395.6288,6.260967910647867
2007,20103,Developed,15610.0672,13.215121048565443
2007,20103,Double Crop,285.6896,0.24185819304584685
2007,20103,Fallow/Barren,124.81280000000001,0.10566362330652805
2007,20103,Forest,33982.9504,28.76917808037338
2007,20103,Grass/Pasture/Shrubland,47323.1808,40.06270790910805
2007,20103,Other Crops,80.28160000000001,0.06796454162429946
2007,20103,Sorghum,185.6512,0.15716800250619245
2007,20103,Soybeans,9476.992,8.023001749555974
2007,20103,Water,1858.3936,1.5732729440062443
2007,20103,Wetlands,665.1456,0.5630968468169496
2007,20103,Wheat,1133.9776,0.9599991504432297
2007,20117,Corn,19341.28,8.314280476033842
2007,20117,Developed,13982.7968,6.010816990115881
2007,20117,Double Crop,1207.0464,0.5188758095217553
2007,20117,Fallow/Barren,43.904,0.018873113362703493
2007,20117,Forest,21353.024,9.179073491903434
2007,20117,Grass/Pasture/Shrubland,111551.9104,47.95307604786221
2007,20117,Other Crops,603.0528,0.25923569283199155
2007,20117,Sorghum,6768.7424,2.9096948487185155
2007,20117,Soybeans,34011.1744,14.620461690276034
2007,20117,Water,1604.3776,0.6896774854542219
2007,20117,Wetlands,427.7504,0.18387804733376834
2007,20117,Wheat,21732.1664,9.342056306585638
2007,20127,Corn,3624.9024,2.001991773111063
2007,20127,Developed,8815.6096,4.868759471747132
2007,20127,Double Crop,445.9392,0.24628707512448586
2007,20127,Fallow/Barren,94.7072,0.05230569387313272
2007,20127,Forest,7982.688,4.408746481922495
2007,20127,Grass/Pasture/Shrubland,138145.81759999998,76.29634119939381
2007,20127,Other Crops,502.3872,0.27746265425416755
2007,20127,Sorghum,2052.512,1.133578696687595
2007,20127,Soybeans,7262.976,4.011257848019052
2007,20127,Water,2032.128,1.122320848668543
2007,20127,Wetlands,393.568,0.2173630655986144
2007,20127,Wheat,9711.5648,5.363585191599913
2007,20131,Corn,24600.0384,13.07014430742931
2007,20131,Developed,11725.504,6.229828867150858
2007,20131,Double Crop,1442.56,0.7664405666994902
2007,20131,Fallow/Barren,7.84,0.00416543786249723
2007,20131,Forest,19032.6976,10.112183572512775
2007,20131,Grass/Pasture/Shrubland,93993.13279999999,49.93910129845029
2007,20131,Other Crops,1234.6432,0.6559731545860638
2007,20131,Sorghum,1832.6784,0.9737127547373525
2007,20131,Soybeans,25630.8416,13.617816077590444
2007,20131,Water,818.1824,0.434705095330211
2007,20131,Wetlands,125.44,0.06664700579995568
2007,20131,Wheat,7771.9488,4.129281861850755
2007,20139,Corn,10839.8976,5.857363390038449
2007,20139,Developed,13522.1184,7.306707516492156
2007,20139,Double Crop,1772.1536,0.9575872394001989
2007,20139,Fallow/Barren,91.8848,0.04965016123593315
2007,20139,Forest,21774.1888,11.765732577114495
2007,20139,Grass/Pasture/Shrubland,105273.952,56.885020054937144
2007,20139,Other Crops,142.68800000000002,0.07710178621962316
2007,20139,Sorghum,876.1984,0.4734558037310486
2007,20139,Soybeans,19470.1696,10.52075054776159
2007,20139,Water,5862.752,3.1679514140128684
2007,20139,Wetlands,599.2896000000001,0.3238275021224173
2007,20139,Wheat,4839.1616,2.6148520069340773
2007,20149,Corn,11807.9808,5.325381020807638
2007,20149,Developed,12548.390399999998,5.6593046016677775
2007,20149,Double Crop,238.0224,0.10734773311005757
2007,20149,Fallow/Barren,140.1792,0.06322060171303787
2007,20149,Forest,24831.1616,11.198815356241724
2007,20149,Grass/Pasture/Shrubland,150949.79200000002,68.07812199454634
2007,20149,Other Crops,842.9567999999999,0.38017220895893905
2007,20149,Sorghum,1053.696,0.4752152611986738
2007,20149,Soybeans,10968.4736,4.946764576096672
2007,20149,Water,4824.736,2.175948450458809
2007,20149,Wetlands,642.2528,0.2896550163496679
2007,20149,Wheat,2882.6112,1.3000531788506577
2007,20161,Corn,3322.592,2.08436207110242
2007,20161,Developed,14364.134399999999,9.01105429964844
2007,20161,Double Crop,391.6864,0.24571668020829848
2007,20161,Fallow/Barren,139.8656,0.08774190502233876
2007,20161,Forest,20440.1344,12.822712169172688
2007,20161,Grass/Pasture/Shrubland,98249.312,61.63475366361799
2007,20161,Other Crops,399.84,0.2508316791557891
2007,20161,Sorghum,2773.4784,1.7398865650618027
2007,20161,Soybeans,7111.5072,4.461262735855552
2007,20161,Water,5076.5568,3.184677036999148
2007,20161,Wetlands,885.6064,0.5555675779889792
2007,20161,Wheat,6250.9888,3.921433616166544
2007,20177,Corn,11877.6,8.155719878207917
2007,20177,Developed,28831.7568,19.797242882182953
2007,20177,Double Crop,189.728,0.13027618551328818
2007,20177,Fallow/Barren,224.8512,0.15439342977359938
2007,20177,Forest,21945.100799999997,15.068540346857647
2007,20177,Grass/Pasture/Shrubland,64518.182400000005,44.30122438081129
2007,20177,Other Crops,264.0512,0.18130999702841097
2007,20177,Sorghum,551.6224,0.37876993440970885
2007,20177,Soybeans,11525.4272,7.913901437990689
2007,20177,Water,2901.1136,1.9920413093940974
2007,20177,Wetlands,581.1007999999999,0.39901119298532717
2007,20177,Wheat,2224.6784,1.527569024845068
2007,20197,Corn,7043.456,3.408054601708276
2007,20197,Developed,10215.8336,4.9430448221393055
2007,20197,Double Crop,242.0992,0.11714239325551154
2007,20197,Fallow/Barren,76.832,0.03717601858497451
2007,20197,Forest,12344.2368,5.972896406368783
2007,20197,Grass/Pasture/Shrubland,164556.896,79.62268617219021
2007,20197,Other Crops,559.1487999999999,0.2705503719877941
2007,20197,Sorghum,465.696,0.22533219428035575
2007,20197,Soybeans,7348.9024,3.5558482429399705
2007,20197,Water,1319.0016,0.6382136088506237
2007,20197,Wetlands,290.7072,0.14066191521743418
2007,20197,Wheat,2208.0576,1.0683932524767574
2007,20209,Corn,997.8752,2.5503538595942836
2007,20209,Developed,20346.6816,52.00173122700714
2007,20209,Double Crop,65.5424,0.16751224282061764
2007,20209,Fallow/Barren,453.15200000000004,1.158158808018146
2007,20209,Forest,7859.1296,20.086240752763153
2007,20209,Grass/Pasture/Shrubland,6282.976,16.05793198522045
2007,20209,Other Crops,5.0176,0.012823903756602306
2007,20209,Sorghum,20.384,0.05209710901119687
2007,20209,Soybeans,1498.6944,3.830339753300152
2007,20209,Water,1238.4064,3.165099745926407
2007,20209,Wetlands,189.1008,0.4833008728269494
2007,20209,Wheat,169.9712,0.43440973975490316
2008,20005,Corn,19588.5,17.653256464141545
2008,20005,Developed,6472.530000000001,5.833077165778394
2008,20005,Double Crop,834.12,0.7517132134604357
2008,20005,Fallow/Barren,35.730000000000004,0.03220005888474244
2008,20005,Forest,16064.460000000001,14.477373578270072
2008,20005,Grass/Pasture/Shrubland,38899.259999999995,35.05621221866516
2008,20005,Other Crops,2921.8500000000004,2.6331861755495303
2008,20005,Sorghum,64.26,0.05791144091613629
2008,20005,Soybeans,22936.32,20.67032898402731
2008,20005,Water,1097.19,0.9887932439896604
2008,20005,Wetlands,329.49,0.29693807450136545
2008,20005,Wheat,1718.82,1.5490093818156452
2008,20013,Corn,40991.13,27.518929735817498
2008,20013,Developed,7632.63,5.124079494014748
2008,20013,Double Crop,688.5,0.4622166581675194
2008,20013,Fallow/Barren,20.88,0.014017550940505162
2008,20013,Forest,10416.6,6.993066145922707
2008,20013,Grass/Pasture/Shrubland,38291.4,25.7064966514971
2008,20013,Other Crops,1729.08,1.1607982270214878
2008,20013,Sorghum,66.96,0.044952835774723456
2008,20013,Soybeans,45820.62,30.761153016069432
2008,20013,Water,776.16,0.5210662039263643
2008,20013,Wetlands,183.78,0.12337861646772216
2008,20013,Wheat,2338.38,1.5698448643801945
2008,20045,Corn,8353.89,6.71864719375365
2008,20045,Developed,14895.72,11.979938373253674
2008,20045,Double Crop,907.29,0.7296913668268016
2008,20045,Fallow/Barren,85.59,0.06883607676344493
2008,20045,Forest,22395.960000000003,18.012034370265713
2008,20045,Grass/Pasture/Shrubland,51311.52,41.26748135961023
2008,20045,Other Crops,6250.679999999999,5.027132705967168
2008,20045,Sorghum,87.93,0.07071803049199338
2008,20045,Soybeans,12723.75,10.233123398982153
2008,20045,Water,5003.73,4.024268517157989
2008,20045,Wetlands,490.68,0.3946312203094656
2008,20045,Wheat,1832.13,1.4734973866177166
2008,20061,Corn,2758.59,2.5848677586006246
2008,20061,Developed,7594.2,7.115955155483366
