Year,Crop,Crop_area_m2,Crop_area_ha,Yield_kgHa,Irrigation_m,Irrigation_m3,fert_kgcrop,NetReturn_ha,Crop_prc,NitrateFluxPredicted_kg
2006,Corn,3325872256,332587.2256,10158.052399431923,0.1583718269340178,526724465.3318833,83146806.4,258.81374217209253,6.581828630027533,3044866.1096066306
2006,Sorghum,208136320,20813.632,5536.786755615654,0,0,2331126.784,110.7357351123132,1.6011298850105555,3044866.1096066306
2006,Soybeans,5946025344,594602.5344,3401.4006757932616,0.1594370953203813,948017009.548731,33297741.926400002,123.83327614675247,11.074590387130538,3044866.1096066306
2006,Wheat,674324672,67432.4672,3504.3998864506575,0,0,6001489.5808,105.13199659351976,2.488247811265155,3044866.1096066306
2007,Corn,4030406016,403040.6016,11596.845927786691,0.093198913571615,375629461.94370115,100760150.4,320.8776928978324,7.718320995948307,6356130.001465434
2007,Sorghum,168597632,16859.7632,6794.5264758867315,0,0,1888293.4784,135.89052951773476,1.1174863652588911,6356130.001465434
2007,Soybeans,4714624768,471462.4768,3544.626614275019,0.09395439379760913,442959712.0606336,26401898.7008,149.98455651244424,8.862567093621859,6356130.001465434
2007,Wheat,779556288,77955.6288,1761.2413062162682,0,0,6938050.9632,52.83723918648804,2.828243876048348,6356130.001465434
2008,Corn,4145004000,414500.39999999997,11852.150582636777,0.09284233924629944,384831867.5452681,103625100,328.64023909767644,8.157152108509413,7753287.616072016
2008,Sorghum,207751500,20775.15,7627.5176306748945,0,0,2326816.8,152.5503526134981,1.5894365610480627,7753287.616072016
2008,Soybeans,6142541400,614254.14,3467.752896683544,0.09255328899116264,568512409.3343807,34398231.84,146.54719102673997,11.338940186900928,7753287.616072016
2008,Wheat,739071000,73907.1,2460.356061209516,0,0,6577731.899999999,73.81068183628547,2.600249233031913,7753287.616072016
2009,Corn,4993597800,499359.77999999997,12604.279382740733,0.09063898253440524,452614623.7780444,124839945,351.8430765472444,9.340787865173304,8175526.248430241
2009,Sorghum,155340900,15534.09,7905.939227421877,0,0,1739818.08,158.1187845484377,1.4441761639329405,8175526.248430241
2009,Soybeans,6311665800,631166.58,4196.170975034995,0.09154188735935981,577781799.7135236,35345328.48,183.26140141753532,11.56173203882664,8175526.248430241
2009,Wheat,565717500,56571.75,3347.8111089083554,0,0,5034885.75,100.43433326725065,2.2202767145380258,8175526.248430241
2010,Corn,4823146800,482314.68,9181.003519769429,0.10555428312079351,509103802.86034924,120578670,244.81936348805272,9.258501379628344,12043955.345028868
2010,Sorghum,75765600,7576.56,5872.2583732540425,0,0,848574.7200000001,117.44516746508089,1.0844997067770665,12043955.345028868
2010,Soybeans,6524582400,652458.24,3115.1158336318385,0.10592496510473458,691116163.0429654,36537661.44,125.03755180121887,11.84421559245367,12043955.345028868
2010,Wheat,399233700,39923.37,2745.973763514322,0,0,3553179.93,82.37921290542965,2.587027146130801,12043955.345028868
2011,Corn,5434657200,543465.72,9084.956240415739,0.149394874513876,811909930.4199327,135866430,229.2241736034481,10.007738045241544,6974581.759093472
2011,Sorghum,94446900,9444.689999999999,6313.45891011113,0,0,1057805.28,126.2691782022227,1.2783013014879334,6974581.759093472
2011,Soybeans,6648786000,664878.6,3318.4169584372285,0.15104458815491223,1004263143.1001463,37233201.6,122.11791735693689,12.06717151234888,6974581.759093472
2011,Wheat,498982500,49898.25,2986.6496488204266,0,0,4440944.25,89.59948946461277,2.263860793309795,6974581.759093472
2012,Corn,5266193400,526619.34,8136.342098948749,0.21956136235743656,1156252597.3417408,131654835,180.41746788480583,9.621022009354459,-195869.57738988986
2012,Sorghum,68786100,6878.610000000001,3928.36612186568,0,0,770404.32,78.56732243731365,1.0172083185324237,-195869.57738988986
2012,Soybeans,6651072000,665107.2,2775.9515476379484,0.21984421103119492,1462199676.3516717,37246003.2,75.04275618285084,12.041591226255939,-195869.57738988986
2012,Wheat,440095500,44009.55,3333.1359298445423,0,0,3916849.95,99.99407789533628,2.0271112922956904,-195869.57738988986
2013,Corn,5754389400,575438.9400000001,11538.197778186868,0.1381593837096204,795022893.1291722,143859735,306.07971206981614,10.594124371351537,3348238.9854862085
