Year,Crop,waterUse_m3,n_waterUse_NA,irrArea_ha,n_irrArea_NA
1990,Alfalfa,408812.8854183679,0,318.0829147692,0
1990,Corn,9605875.492903287,0,5444.235944516599,0
1990,Multi-Crop,10117844.464395752,0,6436.525139191,0
1990,Other Crop,1362170.9976588306,0,583.5566960524,0
1990,Sorghum,411551.21509772335,0,353.2905656406,0
1990,Soybeans,2791357.063551617,0,1725.984263983,0
1990,Unknown,180310473.69124055,0,580.723896557,0
1990,Wheat,128282.11110493998,0,56.655989907999995,0
1991,Alfalfa,569436.8903038034,0,237.9551576136,0
1991,Corn,14290553.168180063,0,5335.780192407,0
1991,Multi-Crop,19366207.58150427,0,8565.171617163,0
1991,Other Crop,1394919.9404457167,0,566.55989908,0
1991,Sorghum,1296327.7371705452,0,507.47579531879995,0
1991,Soybeans,5373157.897722289,0,2208.3695494854,0
1991,Unknown,185643555.7640609,0,40.46856422,0
1991,Wheat,34068.76835306195,0,67.9871878896,0
1992,Alfalfa,74971.02608613705,0,135.16500449479997,0
1992,Corn,5076542.5202472415,0,5440.189088094599,0
1992,Golf Course/Turf/Sod,724337.5394630184,0,405.4950134844,0
1992,Multi-Crop,4865863.822394129,0,5256.259463714699,0
1992,Other Crop,922817.1019427866,0,509.0945378876,0
1992,Sorghum,314019.8062028425,0,273.36515130609996,0
1992,Soybeans,1859917.9235643733,0,1591.6286307726,0
1992,Unknown,172372376.65606686,0,0,0
1992,Wheat,130786.07923516142,0,87.41209871519999,0
1993,Corn,440661.38646384433,0,1146.8791099948,0
1993,Golf Course/Turf/Sod,499880.84948449983,0,498.1680255482,0
1993,Multi-Crop,569967.2874939488,0,1781.4261969643999,0
1993,Other Crop,280974.827774945,0,245.6441848154,0
1993,Sorghum,49.339273501899996,0,0.8093712844,0
1993,Soybeans,151903.28829397462,0,506.46408121329995,0
1993,Unknown,171569083.94418243,0,0,0
1993,Wheat,4107.494519033175,0,40.46856422,0
1994,Alfalfa,99727.00656571538,0,109.26512339399999,0
1994,Corn,8963095.772538908,0,5848.7192438955,0
1994,Golf Course/Turf/Sod,2324792.558499275,0,404.68564219999996,0
1994,Multi-Crop,11046421.926519886,0,7117.6110750135995,0
1994,Other Crop,811532.3705592512,0,452.03386233739997,0
1994,Sorghum,490321.3652435067,0,222.17241756779998,0
1994,Soybeans,6875699.128494025,0,3851.3932568173996,0
1994,Unknown,175972231.72485736,0,999.1688505917999,0
1995,Alfalfa,147635.44113606025,0,126.26192036639999,0
1995,Corn,9401388.87387466,0,5419.7524631635,0
1995,Golf Course/Turf/Sod,680376.2467728255,0,346.8155953654,0
1995,Multi-Crop,10642456.624723079,0,6994.181954142599,0
1995,Other Crop,512635.051684741,0,441.5120356402,0
1995,Sorghum,271736.0488117142,0,262.6409817878,0
1995,Soybeans,6308877.219685823,0,3855.2377704182995,0
1995,Unknown,181000261.40443385,0,0,0
1995,Wheat,27481.9753405583,0,12.140569266,0
1996,Alfalfa,161203.74134908276,0,132.3322049994,0
1996,Corn,12063403.031941047,0,6535.0660930667,0
