FIPS,area_m2
20005,21082607252
20013,28301633776
20045,23624355548
20061,20277012840
20085,32313247096
20087,27305185804
20091,23260046316
20103,22439889452
20117,44202631412
20127,34402601000
20131,35761429644
20139,35170451488
20149,42127700356
20161,30289187648
20177,27671286656
20197,39266164744
20209,7430424736
