Year,Crop,FIPS,irrigation_mm_mean,irrigation_mm_median,irrigation_mm_stdev,irrigation_mm_p5,irrigation_mm_p25,irrigation_mm_p75,irrigation_mm_p95,n_pdiv
1990,Corn,20005,264.9818021080034,264.9818021080034,317.92037891625415,62.65851187983147,152.57997420346345,377.3836300125434,467.3050923361754,2
1990,Corn,20045,143.28127333301717,143.28127333301717,30.20955488469396,124.05603032898232,132.60058277522003,153.96196389081433,162.50651633705203,2
1990,Corn,20061,263.8763561953143,263.8763561953143,208.74256048118346,131.03340416067527,190.0747161760704,337.6779962145582,396.71930822995336,2
1990,Corn,20087,164.03557025523213,105.922139693477,155.44568236923112,60.15349682164828,81.97588752968971,151.84202921320622,435.735154547936,12
1990,Corn,20091,452.11960030627654,452.11960030627654,NA,452.11960030627654,452.11960030627654,452.11960030627654,452.11960030627654,1
1990,Corn,20103,55.487405492133945,55.487405492133945,NA,55.487405492133945,55.487405492133945,55.487405492133945,55.487405492133945,1
1990,Corn,20117,208.1410024613844,91.19226938200052,241.53975985527472,47.18973905141431,70.20871293239252,246.1194324195361,572.1683608445292,6
1990,Corn,20149,153.1918274993754,136.84340449021647,79.76897351102438,55.833553307336075,92.52200598074923,209.23349642368382,299.9455039952135,48
1990,Corn,20161,146.26052576416134,141.62450207040354,77.42744256203218,72.63921864086083,88.22319343536643,199.66183439919848,226.37226605872274,4
1990,Corn,20177,200.48187759161542,198.59178586907203,94.9309573057668,70.71353748610528,125.1964893207661,259.406551442366,354.6963842788623,50
1990,Corn,20197,214.51339799121996,153.48190431520823,161.94550685659195,88.57436557551657,130.6784021215716,254.87563674762973,654.4370315692006,22
1990,Grain Sorghum,20061,97.81618938823124,97.81618938823124,NA,97.81618938823124,97.81618938823124,97.81618938823124,97.81618938823124,1
1990,Grain Sorghum,20149,115.15483910711995,80.21312908804614,77.41151342999562,70.15450707122197,73.23852616299452,122.12944203217157,209.0735651697212,4
1990,Grain Sorghum,20161,86.99492309264029,86.99492309264029,NA,86.99492309264029,86.99492309264029,86.99492309264029,86.99492309264029,1
1990,Grain Sorghum,20197,192.10211467171442,192.10211467171442,98.20581047282747,129.60431958818296,157.38111740308582,226.82311194034298,254.59990975524585,2
1990,Soybeans,20005,251.98723956979742,251.98723956979742,320.09383222952977,48.28077212285686,138.81697987705266,365.1574992625422,455.693707016738,2
1990,Soybeans,20061,136.420104398594,106.80055558358518,72.25303017155731,90.12547032509808,97.059664194964,146.16099578721517,224.1821068131022,4
1990,Soybeans,20087,163.31723743852058,163.31723743852058,NA,163.31723743852058,163.31723743852058,163.31723743852058,163.31723743852058,1
1990,Soybeans,20117,112.24250077266494,112.24250077266494,0,112.24250077266494,112.24250077266494,112.24250077266494,112.24250077266494,2
1990,Soybeans,20149,127.65011562388848,111.89239181771859,70.33078766013939,40.13009294427556,81.76312855265746,177.4848830955134,220.2746973370575,16
1990,Soybeans,20161,155.15620512360948,155.15620512360948,20.432432540489188,142.15308467864455,147.93224932085118,162.38016092636775,168.1593255685744,2
1990,Soybeans,20177,198.53828099459383,188.79068046910947,88.05762424719585,65.05061249238143,177.4833510333757,210.83309088695,312.4001676006586,20
1990,Soybeans,20197,27.35577581628426,27.35577581628426,NA,27.35577581628426,27.35577581628426,27.35577581628426,27.35577581628426,1
1990,Wheat,20045,224.78980127587346,224.78980127587346,5.388148909279559,221.36080430725843,222.8848029599762,226.69479959177067,228.21879824448845,2
1991,Corn,20005,181.163284242974,168.371371152261,104.78323159774594,47.412191851759175,96.22962921446593,288.45615878510097,297.62803039015085,9
1991,Corn,20045,289.4002321573949,245.46538299774477,141.24804187539664,154.41154349336608,177.08864344580672,411.4034363011663,453.7218308898338,5
1991,Corn,20061,275.5394297028828,285.0966051048487,58.90505054239419,208.15750945781593,259.9701506096713,300.6658841980602,329.54130438519735,4
1991,Corn,20085,269.4023218364321,269.4023218364321,NA,269.4023218364321,269.4023218364321,269.4023218364321,269.4023218364321,1
1991,Corn,20087,299.8567220255515,305.1807302067366,111.40993286343826,169.8022970301164,199.348721948731,376.6372170360419,468.41505359268274,12
1991,Corn,20117,155.78560323168352,98.22171316766132,111.02819609372158,38.572405900287166,64.13857187009425,221.6910040153473,335.28366203597193,13
1991,Corn,20149,259.8695452706528,259.5558783769445,107.81819998996681,93.47293336579267,175.08195385290261,340.66732105724304,441.3144498585074,54
1991,Corn,20161,249.61138438220834,290.13287171483734,112.57314923594208,99.12087237276481,175.04757382163115,307.0876335209498,379.84752019799174,7
1991,Corn,20177,276.720275859213,280.8958116756787,103.73910543356713,124.02880898719353,217.98846882701366,324.2131287658699,436.6848663882386,42
1991,Corn,20197,328.25827775510874,304.8398357712603,176.15753461439158,89.77568260476923,252.33607692374747,478.9209559230376,596.3270250593407,13
1991,Grain Sorghum,20005,91.70965343788447,91.70965343788447,NA,91.70965343788447,91.70965343788447,91.70965343788447,91.70965343788447,1
1991,Grain Sorghum,20045,172.5420474651987,172.5420474651987,NA,172.5420474651987,172.5420474651987,172.5420474651987,172.5420474651987,1
1991,Grain Sorghum,20061,276.2247558050987,276.2247558050987,NA,276.2247558050987,276.2247558050987,276.2247558050987,276.2247558050987,1
1991,Grain Sorghum,20149,213.3226185562273,213.3226185562273,128.2366611482557,131.71330713103953,167.98411220890074,258.66112490355385,294.93192998141507,2
1991,Grain Sorghum,20177,258.1362013557942,244.81514357258516,58.301255440723324,180.55958666305372,237.20494744319225,298.1549627336153,327.1837147551251,7
