"V1","V2","V3"
0.000817078963964979,0.96240430899368,0.00882194428680039
0.000562461189099139,0.000512023987218002,0.0186232726545881
0.522898477522698,0.398453658455057,0.0751469680326198
0.0223834016015947,0.427258767910863,0.0277874507455821
0.0144883656981667,0.872291652409465,0.00255087001894352
0.217823301033405,0.0652648174797144,0.66600810673653
0.252557421966856,0.232233368368273,0.484621740650602
0.262575539392581,0.356812689274081,0.173394754767227
0.14143336341417,0.192102035641332,0.546387073409494
0.469173726003031,0.354160247898452,0.0994527874999141
0.000214963506267648,0.517975313794442,0.0358075958465858
0.532940120366851,0.332446370362056,0.0894858690612158
0.0171749289561278,0.0295385957918893,0.491224810783904
0.000894019070145247,0.674103959811579,0.0186232726545881
0.000773749005839281,0.386427833801145,0.539602136594506
0.000773749005839281,0.0316001078660432,0.0451570686815795
0.374617473417954,0.354904144878654,0.113279518389743
0.128293383828988,0.0972892293927057,0.685139141445492
0.00911402428153285,0.559927026159528,0.145458061932845
0.00272571832457189,0.252793070184851,0.0269230771093426
0.0144883656981667,0.96240430899368,0.00255087001894352
0.0406593256664915,0.0295385957918893,0.491224810783904
0.082012999690361,0.275686941670087,0.537387151843588
0.00610099651438418,0.0599414201118572,0.207186435397519
3.69578775022417e-06,0.609173277674823,0.0186232726545881
0.000522382365675672,0.241441696720321,0.0326734840089023
0.26184599483314,0.232233368368273,0.484621740650602
0.452764528999083,0.3953692013059,0.0451570686815795
0.404620412395272,0.366830516307117,0.0751469680326198
0.00509163766769193,0.535571840282051,0.196427466698862
0.000895332332603698,0.00821629394071306,0.52654401733889
0.522898477522698,0.398453658455057,0.00706469855852076
0.21827043825825,0.116959696265863,0.663359808697779
0.422222941820233,0.238790677334451,0.00524399578623397
0.0142874178076149,0.356812689274081,0.175214016282003
0.0927361061611373,0.0295385957918893,0.620810537737107
0.000522382365675672,0.109565102039282,0.0326734840089023
0.00911402428153285,0.374550593075251,0.145458061932845
0.0980187240170414,0.883070489910529,0.00889672630067921
0.0927361061611373,0.571420143085134,0.0495377215453051
