FIPS,County,Crop,Domain,period,n_years,years_active,baseline_area_ha,baseline_withdrawal_m3,baseline_depth_m,basin_area_share,crop_area_share,crop_domain_county_share
20005,Atchison,Corn,Non-alluvial,historical_2006_2023,18,12,38.07420783333333,38538.08421110905,0.10121834807386224,0.0017467640769999598,0.004179582609382404,0.05797374321756842
20005,Atchison,Golf Course/Turf/Sod,Non-alluvial,historical_2006_2023,18,10,0.6744766666666667,1741.265194004554,0.25816537177039295,3.0943562037200355e-5,0.002515934250251594,0.0079155672823219
20005,Atchison,Soybeans,Non-alluvial,historical_2006_2023,18,9,32.99315027777778,35984.0915396982,0.10906534003797434,0.0015136559096530506,0.005409250832582305,0.07713737548950038
20045,Douglas,Corn,Alluvial,historical_2006_2023,18,18,466.32192605555554,653727.5569402992,0.14018803757951903,0.021393863066486368,0.05119032340862423,0.05516759869405342
20045,Douglas,Golf Course/Turf/Sod,Alluvial,historical_2006_2023,18,15,66.03126566666667,151265.30407688755,0.22908133374346026,0.0030293747234419145,0.24630996309963102,0.36107696090484387
20045,Douglas,Golf Course/Turf/Sod,Non-alluvial,historical_2006_2023,18,17,0.8768196666666667,1016.9372482891611,0.11598020516067664,4.0226630648360455e-5,0.0032707145253270714,0.01029023746701847
20045,Douglas,Multi-Crop,Alluvial,historical_2006_2023,18,18,298.7706807777778,401275.62612326513,0.1343089037648006,0.013706966530411849,0.052445365300182525,0.060990049933911
20045,Douglas,Multi-Crop,Non-alluvial,historical_2006_2023,18,1,0.13489533333333334,47.96873812684722,0.035559968563415006,6.18871240744007e-6,2.3679147550688178e-5,1.6901646502063408e-4
20045,Douglas,Other Crop,Alluvial,historical_2006_2023,18,18,42.964163666666664,79331.38438186745,0.18464547569772885,0.0019711049017696624,0.08819864309779848,0.10061866526260366
20045,Douglas,Other Crop,Non-alluvial,historical_2006_2023,18,5,0.7644068888888889,39.060258189004166,0.005109877835583165,3.5069370308827065e-5,0.0015692066275903448,0.012712656571321741
20045,Douglas,Sorghum,Alluvial,historical_2006_2023,18,2,1.2365405555555555,1623.399151750015,0.131285556665034,5.672986373486731e-5,0.047660311958405546,0.0507380073800738
20045,Douglas,Soybeans,Alluvial,historical_2006_2023,18,18,331.1792846111111,355200.96788474085,0.10725337736683542,0.015193804686299325,0.05429708305918476,0.05839180243390018
20045,Douglas,Unknown,Alluvial,historical_2006_2023,18,1,12.18554511111111,8326.68767113315,0.06833250047665615,5.590470208054197e-4,0.25080981027302174,0.28347280334728037
20061,Geary,Corn,Alluvial,historical_2006_2023,18,17,118.977684,213476.64582128322,0.1794257869578998,0.005458444343362142,0.013060732901595325,0.014075497543038386
20061,Geary,Corn,Non-alluvial,historical_2006_2023,18,18,216.61942277777777,377695.5649954821,0.17435904876496078,0.009938040674280847,0.023779320012636232,0.3298358523184362
20061,Geary,Golf Course/Turf/Sod,Non-alluvial,historical_2006_2023,18,18,43.39133222222222,138487.11750758297,0.3191584826166247,0.001990702491059889,0.16185843676618583,0.5092348284960422
20061,Geary,Multi-Crop,Alluvial,historical_2006_2023,18,15,80.84726977777778,143330.5895230195,0.177285627476336,0.003709101636192416,0.01419170243204578,0.01650389190776913
20061,Geary,Multi-Crop,Non-alluvial,historical_2006_2023,18,18,563.525255,834751.2956157078,0.14813023696971805,0.025853346082080893,0.09891963889299986,0.7060662826236989
20061,Geary,Other Crop,Alluvial,historical_2006_2023,18,8,78.19432822222223,155692.13333830802,0.19910924088489262,0.0035873902921794276,0.16052060737527116,0.18312491773068318
20061,Geary,Other Crop,Non-alluvial,historical_2006_2023,18,7,2.0459125555555553,2132.553043582122,0.1042348089507198,9.386213817950772e-5,0.004199935385609452,0.034025051411478775
20061,Geary,Sorghum,Non-alluvial,historical_2006_2023,18,1,1.5737788888888888,1791.9750028815067,0.11386447076734314,7.220164475346749e-5,0.060658578856152515,1
20061,Geary,Soybeans,Alluvial,historical_2006_2023,18,14,58.43216188888889,86647.98748158671,0.14828817671738956,0.0026807439244894574,0.009579995171299087,0.0103024537202204
20061,Geary,Soybeans,Non-alluvial,historical_2006_2023,18,18,163.3357661111111,168734.8332349978,0.1033055020663471,0.007493499273342018,0.026779016898610182,0.38187600199742433
20061,Geary,Unknown,Non-alluvial,historical_2006_2023,18,1,5.485743555555556,18461.796769648445,0.3365413746136875,2.5167430456922955e-4,0.11291068949560389,0.9799196787148594
20085,Jackson,Corn,Non-alluvial,historical_2006_2023,18,7,14.366353,18909.9618372907,0.1316267380962357,6.590978713923675e-4,0.0015770612857368505,0.02187494651079198
20085,Jackson,Multi-Crop,Non-alluvial,historical_2006_2023,18,8,17.986044444444445,28811.394654359494,0.1601874983871665,8.251616543253428e-4,0.00315721967342509,0.022535528669417878
20085,Jackson,Soybeans,Non-alluvial,historical_2006_2023,18,3,6.834696888888889,8421.93987969932,0.12322331211777363,3.135614286436302e-4,0.0011205534944497585,0.015979394990669925
20087,Jefferson,Alfalfa,Alluvial,historical_2006_2023,18,2,2.02343,4171.909681660656,0.20618008439435292,9.283068611160105e-5,0.03779924401511969,0.038860103626943004
20087,Jefferson,Corn,Alluvial,historical_2006_2023,18,18,881.2487301111112,1128017.7699018137,0.12800220089504005,0.040429826705738074,0.09673876559785184,0.10425496545625013
20087,Jefferson,Golf Course/Turf/Sod,Alluvial,historical_2006_2023,18,15,26.979066666666665,55098.948415559295,0.20422851945295598,0.001237742481488014,0.10063737001006373,0.1475288910745021
20087,Jefferson,Golf Course/Turf/Sod,Non-alluvial,historical_2006_2023,18,13,1.169092888888889,1073.8144663538515,0.09185022649264504,5.363550753114728e-5,0.004360952700436096,0.013720316622691294
20087,Jefferson,Multi-Crop,Alluvial,historical_2006_2023,18,18,861.2842207777778,988544.5521918802,0.1147756487747077,0.039513897269436944,0.15118741058655222,0.17581968717873403
20087,Jefferson,Other Crop,Alluvial,historical_2006_2023,18,16,47.62929394444444,56722.34756730931,0.11909130467789664,0.002185131205860298,0.09777541883971015,0.1115440305383704
20087,Jefferson,Other Crop,Non-alluvial,historical_2006_2023,18,5,0.3372383333333333,487.22532583126247,0.1444750722776461,1.5471781018600174e-5,6.922970415839756e-4,0.005608524957936062
20087,Jefferson,Soybeans,Alluvial,historical_2006_2023,18,18,470.9533325,452730.32097655913,0.09613061204457218,0.021606342192475144,0.07721313922692867,0.08303603282197645
20087,Jefferson,Unknown,Alluvial,historical_2006_2023,18,0,0,296.0356410114,NA,0,0,0
20087,Jefferson,Wheat,Alluvial,historical_2006_2023,18,1,0.8993022222222221,25.35490443847639,0.002819397507527904,4.125808271626713e-5,0.11299435028248588,0.11299435028248588
20091,Johnson,Corn,Alluvial,historical_2006_2023,18,12,53.238691555555555,63774.43733964338,0.11978964072228107,0.002442478496803014,0.005844258410993524,0.006298332989779837
20091,Johnson,Golf Course/Turf/Sod,Alluvial,historical_2006_2023,18,1,0.3372383333333333,12.334818375474999,0.0036575967665226864,1.5471781018600174e-5,0.0012579671251257967,0.001844111138431276
20091,Johnson,Soybeans,Alluvial,historical_2006_2023,18,6,23.741578666666665,33859.07644067887,0.14261510119467008,0.0010892133837094523,0.0038924489807202135,0.0041859911999048635
20103,Leavenworth,Corn,Alluvial,historical_2006_2023,18,14,42.44706488888889,32361.08127574619,0.07623867836434824,0.0019473815042078087,0.004659611435792134,0.00502164387022987
20103,Leavenworth,Golf Course/Turf/Sod,Alluvial,historical_2006_2023,18,18,11.870789333333333,13333.938663888475,0.1123256279719041,5.446066918547262e-4,0.04428044280442804,0.06491271207278092
20103,Leavenworth,Golf Course/Turf/Sod,Non-alluvial,historical_2006_2023,18,12,2.2032904444444443,1162.899265732282,0.052780116605348634,1.0108230265485447e-4,0.008218718550821872,0.025857519788918204
20103,Leavenworth,Multi-Crop,Alluvial,historical_2006_2023,18,4,15.423033111111112,14185.04113179625,0.09197309653428039,7.075761185839814e-4,0.002707315869962015,0.003148406520781319
20103,Leavenworth,Other Crop,Alluvial,historical_2006_2023,18,10,11.600998666666666,6764.962611260511,0.05831362286678289,5.32229267039846e-4,0.02381501823048876,0.027168619191786227
20103,Leavenworth,Other Crop,Non-alluvial,historical_2006_2023,18,17,1.0117150000000001,1215.6648776718139,0.12015882710761566,4.641534305580053e-5,0.002076891124751927,0.016825574873808192
