period,Domain,baseline_area_ha,baseline_withdrawal_m3,baseline_depth_m,domain_area_share
historical_2006_2023,Alluvial,19760.435176555555,24688027.96514783,0.12493666128587358,0.9065669458807415
historical_2006_2023,Non-alluvial,2036.5598124444443,2730273.6724208896,0.13406302411240226,0.09343305411925855
recent_2019_2023,Alluvial,20860.2278362,22934744.54643944,0.10994484205316017,0.905821881699645
recent_2019_2023,Non-alluvial,2168.8336798,2722489.305597665,0.125527804688496,0.09417811830035497
