FIPS,County,alluvial_area_ha,current_cultivated_area_ha,expansion_eligible_area_ha,baseline_alluvial_groundwater_area_ha,expansion_headroom_ha,expansion_allocation_share
20045,Douglas,9890.880336414259,5734.721490498764,7022.677062462354,1218.6894064444443,5803.98765601791,0.14931602806492622
20061,Geary,1676.351717770806,501.49967289924706,680.1951934238427,336.4514438888889,343.74374953495385,0.008843308152023015
20087,Jefferson,10171.204792505052,7248.500255552277,8231.989156248845,2291.017376222222,5940.971780026623,0.15284014398611126
20091,Johnson,1545.5775001516165,733.7918870988539,948.9578280404718,77.31750855555555,871.6403194849163,0.02242421557733399
20103,Leavenworth,3848.6618644900614,1907.9966650821352,2454.6006278037803,111.44602788888889,2343.1545999148916,0.06028106170049947
20149,Pottawatomie,16103.963630033502,11276.812747317028,12781.101720816201,6158.556513111111,6622.54520770509,0.17037461219781141
20161,Riley,10690.173007613528,4627.363867766941,6772.763512758148,1401.7648563333335,5370.998656424815,0.1381767559908356
20177,Shawnee,19894.016351353373,11666.28070869572,13715.522381372757,5859.471076555556,7856.0513048172015,0.20210835146992698
20197,Wabaunsee,6292.902467733037,4180.4605699052745,5056.252576521618,2214.284414111111,2841.968162410507,0.07311376643920356
20209,Wyandotte,5626.189119141601,407.1805764049735,966.8683336441877,91.43655344444446,875.4317801997432,0.02252175642132858
