period,Crop,baseline_area_ha,baseline_withdrawal_m3,baseline_depth_m,groundwater_crop_area_mix,groundwater_crop_withdrawal_mix
historical_2006_2023,Alfalfa,53.530964777777776,57220.53717614099,0.10689240781233755,0.002455887373685801,0.0020869468113859056
historical_2006_2023,Corn,9109.571790222222,12048560.819096914,0.13226264742794236,0.4179278746826996,0.4394349795389188
historical_2006_2023,Golf Course/Turf/Sod,268.08199244444444,711271.5404649527,0.26531865642275543,0.012299034457719233,0.02594148791077432
historical_2006_2023,Multi-Crop,5696.798545833333,6941673.960378315,0.12185219302612499,0.26135706085670346,0.25317665740706535
historical_2006_2023,Other Crop,487.1295312222222,665801.9735945142,0.1366786308200198,0.022348471955334,0.0242831223609499
historical_2006_2023,Sorghum,25.94486911111111,38107.050835654954,0.14687702093411328,0.0011902956863643068,0.0013898399448432812
historical_2006_2023,Soybeans,6099.393668166666,6904130.1995818075,0.11319371359181389,0.27982727303670835,0.2518073617704215
historical_2006_2023,Unknown,48.584802555555555,47752.19353758888,0.09828627683108394,0.002228967918746332,0.0017416174848758153
historical_2006_2023,Wheat,7.958824666666666,3783.362902833193,0.047536703738163266,3.651340320389641e-4,1.3798677076515953e-4
recent_2019_2023,Alfalfa,23.6336624,14054.292057016215,0.05946726249680293,0.0010262538220925737,5.4777113300935e-4
recent_2019_2023,Corn,9632.0933604,10814596.416043857,0.11227669844340826,0.4182581801567497,0.42150281976656695
recent_2019_2023,Golf Course/Turf/Sod,421.1971888,1104513.9105408834,0.26223202336360973,0.018289811267704636,0.043048830474497486
recent_2019_2023,Multi-Crop,5925.3314748,6390124.201361401,0.10784416413728296,0.25729800021087407,0.24905740962617623
recent_2019_2023,Other Crop,381.1737434,490829.5597605763,0.12876793542557954,0.016551857449126628,0.019130260206191553
recent_2019_2023,Sorghum,7.6080968,4546.614053200085,0.059760202488486805,3.3036938108459564e-4,1.7720593262001618e-4
recent_2019_2023,Soybeans,6623.9409166,6832137.483919198,0.10314309215526735,0.28763399290057284,0.26628503771371076
recent_2019_2023,Unknown,0,0,NA,0,0
recent_2019_2023,Wheat,14.0830728,6431.374300972665,0.04566740790385366,6.115348117948898e-4,2.5066514722755405e-4
