Year,FIPS,County,Crop,Domain,groundwater_irrigated_area_ha,groundwater_withdrawal_m3,n_pdiv
2007,20061,Geary,Multi-Crop,Non-alluvial,456.081122,529373.4002202605,7
2007,20061,Geary,Soybeans,Alluvial,31.160822,65374.537390017496,1
2007,20061,Geary,Soybeans,Non-alluvial,152.971308,97161.36434361657,4
2007,20085,Jackson,Corn,Non-alluvial,36.42174,62710.2166209149,1
2007,20087,Jefferson,Corn,Alluvial,888.690456,1482238.1197257042,25
2007,20087,Jefferson,Multi-Crop,Alluvial,663.280354,953197.7596015815,15
2007,20087,Jefferson,Other Crop,Alluvial,154.994738,179150.90208539888,7
2007,20087,Jefferson,Other Crop,Non-alluvial,0.404686,2491.6333118459497,1
2007,20087,Jefferson,Soybeans,Alluvial,239.97879799999998,291064.70920608356,8
2007,20091,Johnson,Corn,Alluvial,106.837104,160093.60769529,2
2007,20103,Leavenworth,Corn,Alluvial,17.806184,8856.39959359105,1
2007,20103,Leavenworth,Golf Course/Turf/Sod,Alluvial,7.689034,12347.153193850474,1
2007,20103,Leavenworth,Golf Course/Turf/Sod,Non-alluvial,6.07029,2380.6199464666747,1
2007,20103,Leavenworth,Other Crop,Alluvial,12.14058,11422.041815689849,1
2007,20103,Leavenworth,Other Crop,Non-alluvial,1.214058,3157.7135041216,2
2007,20103,Leavenworth,Soybeans,Alluvial,64.74976,24903.998300084026,1
2007,20149,Pottawatomie,Alfalfa,Alluvial,26.30459,24484.61447531787,1
2007,20149,Pottawatomie,Corn,Alluvial,2380.767738,2431131.027714245,60
2007,20149,Pottawatomie,Corn,Non-alluvial,248.88189,258599.46724183336,6
2007,20149,Pottawatomie,Golf Course/Turf/Sod,Alluvial,13.354638,34056.433534686475,2
2007,20149,Pottawatomie,Golf Course/Turf/Sod,Non-alluvial,17.806184,45429.13607687442,1
2007,20149,Pottawatomie,Multi-Crop,Alluvial,2146.85923,2351053.3868206614,40
2007,20149,Pottawatomie,Other Crop,Alluvial,4.04686,2072.2494870798,1
2007,20149,Pottawatomie,Other Crop,Non-alluvial,29.137392000000002,23867.873556544124,5
2007,20149,Pottawatomie,Soybeans,Alluvial,1451.203996,1586183.6341758322,34
2007,20149,Pottawatomie,Soybeans,Non-alluvial,204.771116,84579.84960063208,2
2007,20149,Pottawatomie,Wheat,Alluvial,28.32802,20019.410223395924,1
2007,20161,Riley,Corn,Alluvial,355.718994,336074.46145819186,9
2007,20161,Riley,Corn,Non-alluvial,16.592126,16491.652168010074,1
2007,20161,Riley,Golf Course/Turf/Sod,Alluvial,26.709276,101330.53295452712,1
2007,20161,Riley,Multi-Crop,Alluvial,756.358134,1089152.127736067,23
2007,20161,Riley,Multi-Crop,Non-alluvial,32.37488,43726.93114105888,1
2007,20161,Riley,Other Crop,Alluvial,118.57299799999998,51744.563085117625,3
2007,20161,Riley,Other Crop,Non-alluvial,16.592126,26815.895148282645,3
