Crop,years,mean_basin_area_ha,mean_alluvial_area_ha,mean_alluvial_area_fraction,mean_basin_water_m3,mean_alluvial_water_m3,mean_alluvial_water_fraction,mean_basin_depth_m,mean_alluvial_depth_m
Corn,18,10473.16324872545,8708.688883662095,0.832518996318022,13631853.308899071,11524428.346150855,0.8387536965298074,0.12765533138256097,0.1295181499781917
Multi-Crop,18,7076.681618812205,5116.395609263244,0.7273160111920667,10348606.987634888,7920497.305154947,0.7033861097299154,0.14323509564775058,0.14908002396780426
Soybeans,18,6939.110982999883,5861.871527267,0.8447716696889631,7773794.513341609,6691447.09374268,0.8575577580848177,0.10930318063526795,0.11144360659899161
Golf Course/Turf/Sod,18,940.6130864190277,191.8884420098333,0.19125106642823417,2290727.216484651,518462.5680994654,0.21156068979746323,0.24552012953512062,0.2726202585461211
Other Crop,18,605.3197905884889,437.76869344985,0.7134480540770995,861626.8090528052,646190.9829128841,0.7305787841374363,0.14390152327554595,0.1496383726280747
Alfalfa,16,67.734259363225,62.48346315568,0.8664667141820751,70797.23191833569,68376.00986138308,0.8824926127932786,0.11386945662264009,0.12162828283546535
Sorghum,16,46.159456063437496,31.26871062065333,0.7887880917586945,55623.092538056044,45000.70671863292,0.824003416410443,0.10903081704299768,0.1168785478077184
Wheat,7,32.663912548999996,23.8764528898,1,11945.390538192145,11350.088708499577,1,0.052075541414448014,0.057726058980063805
Pasture,1,0.8093712844,NA,NA,2466.963675095,NA,NA,0.30480000003012214,NA
