Year,Crop,basin_water_m3,basin_irrigated_area_ha,alluvial_water_m3,alluvial_irrigated_area_ha,alluvial_water_fraction,alluvial_area_fraction,basin_depth_m,alluvial_depth_m
1990,Alfalfa,408812.8854183679,318.0829147692,38188.5976904706,42.8966780732,0.09341339045952388,0.13486005089058525,0.1285240000127015,0.08902460378238283
1990,Corn,9605875.492903288,5444.235944516599,8185151.112416076,4835.99342429,0.8520983973260087,0.8882777075745187,0.17644120480447337,0.169254802359823
1990,Multi-Crop,10117844.464395752,6436.525139191,8720839.939644579,5576.568149516,0.8619266653418947,0.8663942156554543,0.15719420410230006,0.15638363426799465
1990,Other Crop,1362170.9976588306,583.5566960524,603308.3015628577,267.092523852,0.4429020310957775,0.4576976421636616,0.23342564773458033,0.22587989093141367
1990,Sorghum,411551.21509772335,353.2905656406,248558.9250841967,259.4034966502,0.603956241570508,0.734249713631157,0.11649085911804152,0.0958194196662557
1990,Soybeans,2791357.063551617,1725.984263983,2404364.4718394643,1498.5509330665998,0.8613604125515358,0.8682297772567409,0.1617255221730753,0.16044596274877548
1990,Unknown,180310473.69124055,580.723896557,154816710.72016993,445.15420642,0.8586118573748215,0.7665505226480837,31.04926020097788,34.778220330709715
1990,Wheat,128282.11110493998,56.655989907999995,128282.11110493998,56.655989907999995,1,1,0.22642285716523355,0.22642285716523355
1991,Alfalfa,569436.8903038034,237.9551576136,60576.29304195773,44.110734999799995,0.10637929167117947,0.18537414965986393,0.2393042857379352,0.13732777983008534
1991,Corn,14290553.168180063,5335.780192407,12460140.130169826,4612.8092926167,0.8719144726961366,0.8645051194539249,0.26782499752362393,0.2701204263985859
1991,Multi-Crop,19366207.58150427,8565.171617163,17096452.982596364,7468.473526801,0.8827981890953374,0.8719584219229861,0.2261041394978942,0.22891495726998115
1991,Other Crop,1394919.9404457167,566.55989908,283429.45663166454,156.61334353139998,0.2031868986983588,0.27642857142857136,0.2462087314529032,0.18097401552176093
1991,Sorghum,1296327.7371705452,507.4757953187999,1174348.7182554728,459.7228895392,0.9059041819306342,0.9059011164274324,0.25544622012093854,0.255447084532287
1991,Soybeans,5373157.897722289,2208.3695494854,4586393.842460992,1773.7371697626,0.8535751097888244,0.8031885651456844,0.2433088202549413,0.2585723477326036
1991,Unknown,185643555.7640609,40.46856422,157233595.0326605,40.46856422,0.8469650044437452,1,458.73521668533493,388.5326748383971
1991,Wheat,34068.76835306195,67.9871878896,34068.76835306195,67.9871878896,1,1,0.05011057143352365,0.05011057143352365
1992,Alfalfa,74971.02608613705,135.16500449479997,2195.5976708345497,2.8327994954,0.029285949325435996,0.020958083832335335,0.055466299406679125,0.07750628572194533
1992,Corn,5076542.5202472415,5440.189088094599,4648585.9967101365,4900.3384413998,0.9156992142131684,0.9007661980212751,0.09331555278761967,0.09486254984833763
1992,Golf Course/Turf/Sod,724337.5394630184,405.4950134844,91215.98188663764,31.5654800916,0.12593021473698554,0.07784431137724551,0.1786304431314258,0.2889738461824043
1992,Multi-Crop,4865863.822394129,5256.259463714699,4404603.289243241,4763.5546943362,0.9052048002190213,0.9062632328598376,0.09257274790151492,0.09246463139134842
1992,Other Crop,922817.1019427866,509.0945378876,631308.339275186,436.2511222916,0.6841099259496886,0.8569157392686805,0.1812663529590903,0.14471214101615662
1992,Sorghum,314019.8062028425,273.36515130609996,241232.04296916455,238.1575004347,0.7682064576950272,0.8712065136935605,0.11487192303133752,0.10129097027339164
1992,Soybeans,1859917.9235643733,1591.6286307726,1645403.0971964877,1341.9375895352,0.8846643587600972,0.8431222984998729,0.11685627461109077,0.12261398071175557
1992,Unknown,172372376.65606686,0,145384743.83154246,0,0.8434341200831001,NA,Inf,Inf
1992,Wheat,130786.07923516142,87.41209871519999,130786.07923516142,87.41209871519999,1,1,0.1496201111258975,0.1496201111258975
1993,Corn,440661.38646384433,1146.8791099948,374682.4429734286,955.4628012342,0.8502729181245626,0.8330980945659845,0.03842265349709285,0.03921475985139767
1993,Golf Course/Turf/Sod,499880.84948449983,498.1680255482,60502.28413170487,31.5654800916,0.12103341064995311,0.06336311941510968,0.10034382454281666,0.19167230771124985
1993,Multi-Crop,569967.2874939488,1781.4261969644,545655.3604758875,1646.2611924696,0.9573450484764542,0.9241253975465697,0.03199499864014512,0.033145126846933416
1993,Other Crop,280974.827774945,245.6441848154,105030.97846716964,208.413105733,0.3738092102374995,0.8484349258649094,0.11438285338856923,0.05039557282051438
1993,Sorghum,49.3392735019,0.8093712844,49.3392735019,0.8093712844,1,1,0.006096000000602443,0.006096000000602443
1993,Soybeans,151903.28829397462,506.4640812132999,135411.63612596455,465.9955169933,0.8914332115306537,0.9200958849380745,0.02999290451754658,0.029058570563010692
1993,Unknown,171569083.94418243,0,141429645.9935383,0,0.8243306004918137,NA,Inf,Inf
1993,Wheat,4107.494519033175,40.46856422,4107.494519033175,40.46856422,1,1,0.010149840001003066,0.010149840001003066
1994,Alfalfa,99727.00656571538,109.265123394,51263.5051684741,40.46856422,0.5140383426097711,0.37037037037037035,0.09127066667568658,0.12667488001251875
