Crop,county_years,counties,years,mean_depth_mm,median_depth_mm,total_pdiv_records
Corn,276,17,18,132.0614698237373,117.02296824463349,5174
Soybeans,263,17,18,112.97476856684226,101.97343926273425,3365
Sorghum,19,9,12,110.65564614766272,110.4738843181821,21
Wheat,9,6,7,68.54379776206376,58.41071199871078,9
