Year,Crop,Domain,FIPS,County,groundwater_irrigated_area_ha,groundwater_withdrawal_m3,n_pdiv
2013,Corn,Alluvial,20177,Shawnee,3894.293378,5476178.300794256,113
2013,Corn,Alluvial,20197,Wabaunsee,957.08239,1645020.7178268477,26
2013,Corn,Alluvial,20209,Wyandotte,26.30459,78942.83760304,1
2013,Corn,Non-alluvial,20005,Atchison,113.31208,104290.88936464113,4
2013,Corn,Non-alluvial,20061,Geary,277.20991,340033.9381567193,6
2013,Corn,Non-alluvial,20085,Jackson,0,0,0
2013,Corn,Non-alluvial,20131,Nemaha,84.98406,64141.05555247,2
2013,Corn,Non-alluvial,20139,Osage,47.348262,36696.08466703812,1
2013,Corn,Non-alluvial,20149,Pottawatomie,205.985174,230574.75989275417,4
2013,Corn,Non-alluvial,20161,Riley,48.56232,44319.00242308167,2
2013,Corn,Non-alluvial,20177,Shawnee,18.21087,27494.31015893377,1
2013,Corn,Non-alluvial,20197,Wabaunsee,0,0,0
2013,Soybeans,Alluvial,20045,Douglas,242.002228,362483.3076000838,6
2013,Soybeans,Alluvial,20061,Geary,66.77319,88452.98257053123,2
2013,Soybeans,Alluvial,20087,Jefferson,429.371846,561875.6466396372,12
2013,Soybeans,Alluvial,20091,Johnson,0,0,0
2013,Soybeans,Alluvial,20103,Leavenworth,0,0,0
2013,Soybeans,Alluvial,20149,Pottawatomie,1652.7376239999999,1972793.846518345,41
2013,Soybeans,Alluvial,20161,Riley,333.46126399999997,700568.344453478,7
2013,Soybeans,Alluvial,20177,Shawnee,1189.77684,1542728.0690390337,40
2013,Soybeans,Alluvial,20197,Wabaunsee,851.257001,1477094.5004631311,22
2013,Soybeans,Alluvial,20209,Wyandotte,82.555944,90969.28551912811,3
2013,Soybeans,Non-alluvial,20005,Atchison,0,0,0
2013,Soybeans,Non-alluvial,20061,Geary,140.426042,194359.73314235956,5
2013,Soybeans,Non-alluvial,20085,Jackson,0,0,0
2013,Soybeans,Non-alluvial,20131,Nemaha,0,0,0
2013,Soybeans,Non-alluvial,20139,Osage,0,0,0
2013,Soybeans,Non-alluvial,20149,Pottawatomie,225.005416,271452.3479890783,3
2013,Soybeans,Non-alluvial,20161,Riley,0,0,0
2013,Soybeans,Non-alluvial,20177,Shawnee,0,0,0
2013,Soybeans,Non-alluvial,20197,Wabaunsee,0,0,0
2014,Corn,Alluvial,20045,Douglas,312.822278,523600.70522053825,8
2014,Corn,Alluvial,20061,Geary,116.549568,255762.45901547413,2
2014,Corn,Alluvial,20087,Jefferson,910.948186,1239772.5949189921,24
2014,Corn,Alluvial,20091,Johnson,0,0,0
2014,Corn,Alluvial,20103,Leavenworth,0,0,0
2014,Corn,Alluvial,20149,Pottawatomie,2437.019092,4271226.89814923,61
2014,Corn,Alluvial,20161,Riley,579.510352,939197.7407454174,16
2014,Corn,Alluvial,20177,Shawnee,3294.953412,4723236.317518511,93
2014,Corn,Alluvial,20197,Wabaunsee,1079.095219,2198052.299691269,28
2014,Corn,Alluvial,20209,Wyandotte,0,0,0
2014,Corn,Non-alluvial,20005,Atchison,56.656040000000004,17922.491099565173,2
2014,Corn,Non-alluvial,20061,Geary,264.664644,575776.9869487975,9
2014,Corn,Non-alluvial,20085,Jackson,0,0,0
2014,Corn,Non-alluvial,20131,Nemaha,100.362128,122114.70191720249,3
2014,Corn,Non-alluvial,20139,Osage,47.348262,54174.5223050862,1
2014,Corn,Non-alluvial,20149,Pottawatomie,336.294066,425575.9035906384,5
2014,Corn,Non-alluvial,20161,Riley,101.98087199999999,111605.43666129779,2
2014,Corn,Non-alluvial,20177,Shawnee,0,0,0
2014,Corn,Non-alluvial,20197,Wabaunsee,27.113962,63474.975360194345,1
2014,Soybeans,Alluvial,20045,Douglas,631.512503,650365.6336652949,13
2014,Soybeans,Alluvial,20061,Geary,31.160822,51806.237176995,1
2014,Soybeans,Alluvial,20087,Jefferson,559.276052,662873.1394980265,18
2014,Soybeans,Alluvial,20091,Johnson,53.418552,135115.60048495315,2
2014,Soybeans,Alluvial,20103,Leavenworth,82.555944,35425.5983743642,2
2014,Soybeans,Alluvial,20149,Pottawatomie,2143.621742,3154420.107615348,52
2014,Soybeans,Alluvial,20161,Riley,368.26426,645456.3759518558,8
2014,Soybeans,Alluvial,20177,Shawnee,2057.018938,2322448.943007935,66
2014,Soybeans,Alluvial,20197,Wabaunsee,879.787364,1261222.8440739433,25
2014,Soybeans,Alluvial,20209,Wyandotte,0,0,0
2014,Soybeans,Non-alluvial,20005,Atchison,0,0,0
2014,Soybeans,Non-alluvial,20061,Geary,130.30889200000001,113936.71733426256,2
2014,Soybeans,Non-alluvial,20085,Jackson,0,0,0
2014,Soybeans,Non-alluvial,20131,Nemaha,0,0,0
2014,Soybeans,Non-alluvial,20139,Osage,0,0,0
2014,Soybeans,Non-alluvial,20149,Pottawatomie,92.67309399999999,146994.0305805356,2
2014,Soybeans,Non-alluvial,20161,Riley,32.37488,132266.2574402184,1
2014,Soybeans,Non-alluvial,20177,Shawnee,18.21087,40063.49008354279,1
2014,Soybeans,Non-alluvial,20197,Wabaunsee,0,0,0
2015,Corn,Alluvial,20045,Douglas,468.62638799999996,311145.7935213569,11
2015,Corn,Alluvial,20061,Geary,147.71039,171676.00214986104,3
2015,Corn,Alluvial,20087,Jefferson,893.142002,439440.2394446723,27
2015,Corn,Alluvial,20091,Johnson,106.837104,68680.2687146448,2
2015,Corn,Alluvial,20103,Leavenworth,17.806184,7154.1946577755,1
2015,Corn,Alluvial,20149,Pottawatomie,1785.474632,1140909.02563956,44
2015,Corn,Alluvial,20161,Riley,177.252468,185996.72628378752,5
2015,Corn,Alluvial,20177,Shawnee,2134.313964,650525.986304176,58
2015,Corn,Alluvial,20197,Wabaunsee,955.868332,576899.4554209657,19
2015,Corn,Alluvial,20209,Wyandotte,0,0,0
2015,Corn,Non-alluvial,20005,Atchison,0,0,0
2015,Corn,Non-alluvial,20061,Geary,148.519762,182962.36096342068,5
2015,Corn,Non-alluvial,20085,Jackson,0,0,0
2015,Corn,Non-alluvial,20131,Nemaha,139.211984,151718.2660183425,3
2015,Corn,Non-alluvial,20139,Osage,47.752947999999996,42357.766301381154,1
2015,Corn,Non-alluvial,20149,Pottawatomie,92.67309399999999,76562.21765657331,2
2015,Corn,Non-alluvial,20161,Riley,152.566622,148424.86951209066,3
2015,Corn,Non-alluvial,20177,Shawnee,0,0,0
2015,Corn,Non-alluvial,20197,Wabaunsee,0,0,0
2015,Soybeans,Alluvial,20045,Douglas,200.31957,149572.00762100983,5
2015,Soybeans,Alluvial,20061,Geary,57.465412,35770.973288877496,1
2015,Soybeans,Alluvial,20087,Jefferson,558.46668,238345.6954693034,14
2015,Soybeans,Alluvial,20091,Johnson,0,0,0
2015,Soybeans,Alluvial,20103,Leavenworth,0,0,0
2015,Soybeans,Alluvial,20149,Pottawatomie,2133.909278,1619845.3535225033,53
2015,Soybeans,Alluvial,20161,Riley,629.2867299999999,374361.7376956662,16
2015,Soybeans,Alluvial,20177,Shawnee,1083.749108,576628.0894167053,32
2015,Soybeans,Alluvial,20197,Wabaunsee,791.363473,615532.1065729534,21
2015,Soybeans,Alluvial,20209,Wyandotte,0,0,0
2015,Soybeans,Non-alluvial,20005,Atchison,0,0,0
2015,Soybeans,Non-alluvial,20061,Geary,181.704014,188611.70777938823,5
2015,Soybeans,Non-alluvial,20085,Jackson,0,0,0
2015,Soybeans,Non-alluvial,20131,Nemaha,1.214058,1233.4818375475,1
2015,Soybeans,Non-alluvial,20139,Osage,0,0,0
2015,Soybeans,Non-alluvial,20149,Pottawatomie,224.60073,39483.75361989548,3
2015,Soybeans,Non-alluvial,20161,Riley,0,0,0
2015,Soybeans,Non-alluvial,20177,Shawnee,0,0,0
2015,Soybeans,Non-alluvial,20197,Wabaunsee,27.113962,47464.381108827794,1
2016,Corn,Alluvial,20045,Douglas,726.816056,1255129.4437964587,14
2016,Corn,Alluvial,20061,Geary,88.626234,82643.28311568248,2
2016,Corn,Alluvial,20087,Jefferson,1024.664952,1239217.5280920959,31
2016,Corn,Alluvial,20091,Johnson,0,0,0
2016,Corn,Alluvial,20103,Leavenworth,51.799808,63437.97090506792,2
2016,Corn,Alluvial,20149,Pottawatomie,2554.378032,2664727.8181089903,64
2016,Corn,Alluvial,20161,Riley,270.330248,318633.0282752702,6
2016,Corn,Alluvial,20177,Shawnee,3631.247478,3750228.8396059168,113
2016,Corn,Alluvial,20197,Wabaunsee,1289.936625,1482608.1642769685,27
2016,Corn,Alluvial,20209,Wyandotte,0,0,0
2016,Corn,Non-alluvial,20005,Atchison,60.7029,79325.21697267971,3
