Year,FIPS,County,Crop,Domain,Source,pdiv_id,waterUse_m3,irrArea_ha
1991,20005,Atchison,Soybeans,Non-alluvial,Groundwater,2174,41000.9362800789,15.782753999999999
1994,20005,Atchison,Corn,Non-alluvial,Groundwater,2174,42246.752936001874,14.16401
1995,20005,Atchison,Soybeans,Non-alluvial,Groundwater,2174,15258.170330462573,14.16401
1997,20005,Atchison,Soybeans,Non-alluvial,Groundwater,2174,13494.291302769649,16.18744
2000,20005,Atchison,Corn,Non-alluvial,Groundwater,2174,2133.923578957175,16.18744
2003,20005,Atchison,Soybeans,Non-alluvial,Groundwater,2174,13395.61275576585,15.782753999999999
1990,20005,Atchison,Multi-Crop,Non-alluvial,Groundwater,3772,20438.794048162075,15.378067999999999
1991,20005,Atchison,Soybeans,Non-alluvial,Groundwater,3772,29430.876643883348,10.521836
1994,20005,Atchison,Corn,Non-alluvial,Groundwater,3772,31342.773492081975,16.996812
1995,20005,Atchison,Soybeans,Non-alluvial,Groundwater,3772,21807.9588878398,19.424928
1997,20005,Atchison,Soybeans,Non-alluvial,Groundwater,3772,21252.892060943424,16.18744
1998,20005,Atchison,Alfalfa,Non-alluvial,Groundwater,3772,17712.7991871821,NA
2000,20005,Atchison,Corn,Non-alluvial,Groundwater,3772,2948.021591738525,12.545266
2002,20005,Atchison,Soybeans,Non-alluvial,Groundwater,3772,31885.505500602874,15.782753999999999
2003,20005,Atchison,Soybeans,Non-alluvial,Groundwater,3772,41333.97637621672,16.18744
2005,20005,Atchison,Corn,Non-alluvial,Groundwater,3772,15356.848877466373,28.32802
2006,20005,Atchison,Soybeans,Non-alluvial,Groundwater,3772,21252.892060943424,28.32802
2007,20005,Atchison,Corn,Non-alluvial,Groundwater,3772,22733.070266000424,15.782753999999999
2011,20005,Atchison,Corn,Non-alluvial,Groundwater,3772,7080.18574752265,15.782753999999999
2012,20005,Atchison,Soybeans,Non-alluvial,Groundwater,3772,34340.1343573224,14.16401
2013,20005,Atchison,Corn,Non-alluvial,Groundwater,3772,24533.953748819775,14.16401
2016,20005,Atchison,Soybeans,Non-alluvial,Groundwater,3772,14098.697403167924,44.51546
2017,20005,Atchison,Corn,Non-alluvial,Groundwater,3772,283.700822635925,2.02343
2018,20005,Atchison,Soybeans,Non-alluvial,Groundwater,3772,5131.2844441976,6.474976
2020,20005,Atchison,Soybeans,Non-alluvial,Groundwater,3772,5266.967446327824,55.441981999999996
2021,20005,Atchison,Soybeans,Non-alluvial,Groundwater,3772,6019.391367231799,15.378067999999999
2022,20005,Atchison,Soybeans,Non-alluvial,Groundwater,3772,10706.622349912299,10.926522
2023,20005,Atchison,Soybeans,Non-alluvial,Groundwater,3772,7277.54284153025,6.879662
1991,20005,Atchison,Soybeans,Non-alluvial,Surface water,7999,13629.974304899875,10.926522
1997,20005,Atchison,Soybeans,Non-alluvial,Surface water,17553,43023.8464936568,28.32802
1998,20005,Atchison,Alfalfa,Non-alluvial,Surface water,17553,11397.3721789389,28.32802
1999,20005,Atchison,Soybeans,Non-alluvial,Surface water,17553,40803.57918607129,28.32802
2000,20005,Atchison,Corn,Non-alluvial,Surface water,17553,64276.73855460022,28.32802
2001,20005,Atchison,Soybeans,Non-alluvial,Surface water,17553,6537.4537390017495,28.32802
2002,20005,Atchison,Corn,Non-alluvial,Surface water,17553,31194.755671576273,28.32802
2005,20005,Atchison,Corn,Non-alluvial,Surface water,17553,33711.05862017317,32.37488
2006,20005,Atchison,Soybeans,Non-alluvial,Surface water,17553,81668.83246401996,32.37488
2007,20005,Atchison,Corn,Non-alluvial,Surface water,17553,68803.61689839954,30.35145
2012,20005,Atchison,Soybeans,Non-alluvial,Surface water,17553,50757.77761507962,28.32802
2013,20005,Atchison,Corn,Non-alluvial,Surface water,17553,30417.66211392135,28.32802
2016,20005,Atchison,Soybeans,Non-alluvial,Surface water,17553,11977.108642586225,28.32802
2017,20005,Atchison,Corn,Non-alluvial,Surface water,17553,45934.8636302689,23.471788
2018,20005,Atchison,Soybeans,Non-alluvial,Surface water,17553,31786.826953599073,28.32802
2021,20005,Atchison,Corn,Non-alluvial,Surface water,17553,23608.84237065915,33.993624
2022,20005,Atchison,Soybeans,Non-alluvial,Surface water,17553,45466.14053200085,10.926522
2023,20005,Atchison,Corn,Non-alluvial,Surface water,17553,31416.782402334822,28.32802
1990,20005,Atchison,Multi-Crop,Non-alluvial,Groundwater,20421,34068.76835306195,25.495217999999998
1991,20005,Atchison,Corn,Non-alluvial,Groundwater,20421,67705.81806298227,22.662416
1994,20005,Atchison,Soybeans,Non-alluvial,Groundwater,20421,41790.3646561093,22.662416
1995,20005,Atchison,Soybeans,Non-alluvial,Groundwater,20421,21807.9588878398,19.424928
1997,20005,Atchison,Soybeans,Non-alluvial,Groundwater,20421,32711.9383317597,23.471788
1998,20005,Atchison,Alfalfa,Non-alluvial,Groundwater,20421,27259.94860979975,NA
1999,20005,Atchison,Soybeans,Non-alluvial,Groundwater,20421,49055.57267926408,56.251354
2000,20005,Atchison,Corn,Non-alluvial,Groundwater,20421,6808.819743262199,29.137392
2002,20005,Atchison,Soybeans,Non-alluvial,Groundwater,20421,49055.57267926408,24.685845999999998
2003,20005,Atchison,Soybeans,Non-alluvial,Groundwater,20421,63598.323543949096,24.28116
2007,20005,Atchison,Corn,Non-alluvial,Groundwater,20421,33612.38007316937,24.685845999999998
2011,20005,Atchison,Corn,Non-alluvial,Groundwater,20421,7080.18574752265,24.28116
2012,20005,Atchison,Soybeans,Non-alluvial,Groundwater,20421,68680.2687146448,28.32802
2013,20005,Atchison,Corn,Non-alluvial,Groundwater,20421,49055.57267926408,28.32802
2016,20005,Atchison,Soybeans,Non-alluvial,Groundwater,20421,2565.6422220988,8.09372
2017,20005,Atchison,Corn,Non-alluvial,Groundwater,20421,2392.95476484215,19.020242
2018,20005,Atchison,Soybeans,Non-alluvial,Groundwater,20421,32181.541141614274,40.4686
2020,20005,Atchison,Soybeans,Non-alluvial,Groundwater,20421,98.67854700379999,1.214058
2021,20005,Atchison,Soybeans,Non-alluvial,Groundwater,20421,912.77655978515,2.428116
2022,20005,Atchison,Soybeans,Non-alluvial,Groundwater,20421,17737.46882393305,17.806184
2023,20005,Atchison,Soybeans,Non-alluvial,Groundwater,20421,37053.7943999269,36.017054
1996,20005,Atchison,Unknown,Non-alluvial,Groundwater,30538,53372.75911068032,19.424928
1997,20005,Atchison,Soybeans,Non-alluvial,Groundwater,30538,7931.288215430424,16.18744
1998,20005,Atchison,Alfalfa,Non-alluvial,Groundwater,30538,4378.860523293624,16.18744
1999,20005,Atchison,Soybeans,Non-alluvial,Groundwater,30538,25927.78822524845,16.18744
2000,20005,Atchison,Corn,Non-alluvial,Groundwater,30538,3873.13296989915,16.18744
2002,20005,Atchison,Soybeans,Non-alluvial,Groundwater,30538,9177.1048713534,32.37488
2006,20005,Atchison,Corn,Non-alluvial,Groundwater,30538,7030.84647402075,14.568696
2007,20005,Atchison,Soybeans,Non-alluvial,Groundwater,30538,36437.05348115315,18.21087
2008,20005,Atchison,Corn,Non-alluvial,Groundwater,30538,10287.23852514615,14.973381999999999
2012,20005,Atchison,Corn,Non-alluvial,Groundwater,30538,77980.72176975294,26.30459
2017,20005,Atchison,Corn,Non-alluvial,Groundwater,30538,41938.382476615,58.67947
1990,20005,Atchison,Multi-Crop,Non-alluvial,Groundwater,34034,20438.794048162075,15.378067999999999
1991,20005,Atchison,Corn,Non-alluvial,Groundwater,34034,67705.81806298227,23.471788
1994,20005,Atchison,Corn,Non-alluvial,Groundwater,34034,31342.773492081975,16.996812
1995,20005,Atchison,Corn,Non-alluvial,Groundwater,34034,19624.696035380723,17.806184
1997,20005,Atchison,Soybeans,Non-alluvial,Groundwater,34034,21252.892060943424,16.592126
1998,20005,Atchison,Alfalfa,Non-alluvial,Groundwater,34034,17712.7991871821,NA
1999,20005,Atchison,Soybeans,Non-alluvial,Groundwater,34034,23029.105907011824,18.21087
2000,20005,Atchison,Corn,Non-alluvial,Groundwater,34034,3404.4098716310996,14.568696
2002,20005,Atchison,Soybeans,Non-alluvial,Groundwater,34034,31885.505500602874,15.782753999999999
2003,20005,Atchison,Soybeans,Non-alluvial,Groundwater,34034,41333.97637621672,15.782753999999999
2005,20005,Atchison,Corn,Non-alluvial,Groundwater,34034,15356.848877466373,27.923334
2006,20005,Atchison,Soybeans,Non-alluvial,Groundwater,34034,21252.892060943424,27.923334
2007,20005,Atchison,Corn,Non-alluvial,Groundwater,34034,21844.963342966224,15.782753999999999
2011,20005,Atchison,Corn,Non-alluvial,Groundwater,34034,7080.18574752265,15.782753999999999
2012,20005,Atchison,Soybeans,Non-alluvial,Groundwater,34034,34340.1343573224,14.16401
2013,20005,Atchison,Corn,Non-alluvial,Groundwater,34034,24533.953748819775,14.16401
2016,20005,Atchison,Soybeans,Non-alluvial,Groundwater,34034,1073.129198666325,3.237488
2017,20005,Atchison,Corn,Non-alluvial,Groundwater,34034,912.77655978515,7.284348
2018,20005,Atchison,Soybeans,Non-alluvial,Groundwater,34034,7931.288215430424,10.11715
2021,20005,Atchison,Soybeans,Non-alluvial,Groundwater,34034,14986.804326202124,38.849856
2022,20005,Atchison,Soybeans,Non-alluvial,Groundwater,34034,10213.229614893298,10.11715
1990,20005,Atchison,Corn,Non-alluvial,Surface water,35715,109015.12480244804,22.25773
1991,20005,Atchison,Corn,Non-alluvial,Surface water,35715,65867.9301250365,22.25773
1994,20005,Atchison,Soybeans,Non-alluvial,Surface water,35715,65411.541845143925,22.25773
1997,20005,Atchison,Alfalfa,Non-alluvial,Surface water,35715,58874.08810614217,22.25773
2007,20005,Atchison,Corn,Non-alluvial,Surface water,35715,26556.863962397674,18.21087
2012,20005,Atchison,Soybeans,Non-alluvial,Surface water,35715,10472.260800778275,20.2343
2013,20005,Atchison,Corn,Non-alluvial,Surface water,35715,27889.024346948972,20.2343
2017,20005,Atchison,Corn,Non-alluvial,Surface water,35715,54285.53567046547,27.518648
2021,20005,Atchison,Soybeans,Non-alluvial,Surface water,35715,35610.62064999632,22.25773
2022,20005,Atchison,Soybeans,Non-alluvial,Surface water,35715,31145.416398074372,7.6890339999999995
1991,20005,Atchison,Multi-Crop,Non-alluvial,Surface water,41598,50794.78207020605,44.51546
1991,20005,Atchison,Soybeans,Non-alluvial,Groundwater,47976,43159.52949578703,16.592126
1994,20005,Atchison,Corn,Non-alluvial,Groundwater,47976,42246.752936001874,14.16401
1995,20005,Atchison,Soybeans,Non-alluvial,Groundwater,47976,15258.170330462573,14.16401
1996,20005,Atchison,Unknown,Non-alluvial,Groundwater,47976,24003.55655867435,8.903092
1998,20005,Atchison,Alfalfa,Non-alluvial,Groundwater,47976,8831.7299568401,16.18744
1999,20005,Atchison,Soybeans,Non-alluvial,Groundwater,47976,4748.905074557875,16.18744
2003,20005,Atchison,Soybeans,Non-alluvial,Groundwater,47976,14283.71967880005,16.592126
2005,20005,Atchison,Soybeans,Non-alluvial,Groundwater,47976,6414.105555247,32.37488
2006,20005,Atchison,Corn,Non-alluvial,Groundwater,47976,7018.511655645275,14.568696
2007,20005,Atchison,Soybeans,Non-alluvial,Groundwater,47976,21265.226879318896,10.926522
2008,20005,Atchison,Corn,Non-alluvial,Groundwater,47976,10139.220704640451,14.16401
2012,20005,Atchison,Corn,Non-alluvial,Groundwater,47976,17712.7991871821,6.07029
1990,20005,Atchison,Soybeans,Non-alluvial,Surface water,49797,170343.84176530974,35.612368
1991,20005,Atchison,Corn,Non-alluvial,Surface water,49797,90845.93733537338,36.42174
1994,20005,Atchison,Corn,Non-alluvial,Surface water,49797,109298.82562508396,36.42174
1991,20005,Atchison,Corn,Non-alluvial,Surface water,53873,49684.6484164133,36.42174
2008,20005,Atchison,Golf Course/Turf/Sod,Non-alluvial,Groundwater,74031,2183.262852459075,0.404686
2009,20005,Atchison,Golf Course/Turf/Sod,Non-alluvial,Groundwater,74031,1874.8923930721999,0.809372
2010,20005,Atchison,Golf Course/Turf/Sod,Non-alluvial,Groundwater,74031,715.4194657775499,0.404686
2011,20005,Atchison,Golf Course/Turf/Sod,Non-alluvial,Groundwater,74031,715.4194657775499,0.404686
2012,20005,Atchison,Golf Course/Turf/Sod,Non-alluvial,Groundwater,74031,2923.351954987575,0.404686
2013,20005,Atchison,Golf Course/Turf/Sod,Non-alluvial,Groundwater,74031,5661.681634343025,0.404686
2014,20005,Atchison,Golf Course/Turf/Sod,Non-alluvial,Groundwater,74031,419.38382476615,0.404686
2016,20005,Atchison,Golf Course/Turf/Sod,Non-alluvial,Groundwater,74031,542.7320085209,0.809372
2017,20005,Atchison,Golf Course/Turf/Sod,Non-alluvial,Groundwater,74031,209.691912383075,0.809372
2018,20005,Atchison,Golf Course/Turf/Sod,Non-alluvial,Groundwater,74031,49.339273501899996,0.404686
2008,20005,Atchison,Golf Course/Turf/Sod,Non-alluvial,Groundwater,74673,2232.602125960975,0.809372
2009,20005,Atchison,Golf Course/Turf/Sod,Non-alluvial,Groundwater,74673,1874.8923930721999,0.404686
2010,20005,Atchison,Golf Course/Turf/Sod,Non-alluvial,Groundwater,74673,863.4372862832499,0.809372
2011,20005,Atchison,Golf Course/Turf/Sod,Non-alluvial,Groundwater,74673,752.4239209039749,0.809372
2012,20005,Atchison,Golf Course/Turf/Sod,Non-alluvial,Groundwater,74673,2948.021591738525,0.809372
2013,20005,Atchison,Golf Course/Turf/Sod,Non-alluvial,Groundwater,74673,6031.726185607275,0.809372
2014,20005,Atchison,Golf Course/Turf/Sod,Non-alluvial,Groundwater,74673,493.392735019,0.404686
2016,20005,Atchison,Golf Course/Turf/Sod,Non-alluvial,Groundwater,74673,579.736463647325,0.809372
2017,20005,Atchison,Golf Course/Turf/Sod,Non-alluvial,Groundwater,74673,222.02673075854997,0.809372
2018,20005,Atchison,Golf Course/Turf/Sod,Non-alluvial,Groundwater,74673,49.339273501899996,0.404686
2014,20005,Atchison,Corn,Non-alluvial,Groundwater,80972,5587.672724090175,17.401498
2016,20005,Atchison,Corn,Non-alluvial,Groundwater,80972,16960.375266278123,19.829614
2018,20005,Atchison,Corn,Non-alluvial,Groundwater,80972,16479.3173496346,28.32802
2020,20005,Atchison,Corn,Non-alluvial,Groundwater,80972,3059.0349571178,20.638986
2021,20005,Atchison,Soybeans,Non-alluvial,Groundwater,80972,8819.395138464624,20.638986
2022,20005,Atchison,Soybeans,Non-alluvial,Groundwater,80972,17984.16519144255,5.260918
2023,20005,Atchison,Soybeans,Non-alluvial,Groundwater,80972,10262.5688883952,5.260918
2016,20005,Atchison,Corn,Non-alluvial,Groundwater,81553,9325.122691859098,10.926522
2017,20005,Atchison,Corn,Non-alluvial,Groundwater,81553,1356.83002130225,2.02343
2013,20005,Atchison,Corn,Non-alluvial,Groundwater,81554,6167.409187737499,56.65604
2014,20005,Atchison,Corn,Non-alluvial,Groundwater,81554,12334.818375474999,39.254542
2016,20005,Atchison,Corn,Non-alluvial,Groundwater,81554,53039.7190145425,29.946763999999998
2018,20005,Atchison,Corn,Non-alluvial,Groundwater,81554,19735.70940076,16.592126
2020,20005,Atchison,Corn,Non-alluvial,Groundwater,81554,6167.409187737499,20.436643
2021,20005,Atchison,Soybeans,Non-alluvial,Groundwater,81554,17268.745725664998,20.436643
2022,20005,Atchison,Soybeans,Non-alluvial,Groundwater,81554,54273.20085209,7.6890339999999995
2023,20005,Atchison,Soybeans,Non-alluvial,Groundwater,81554,30837.045938687497,7.6890339999999995
2015,20005,Atchison,Soybeans,Non-alluvial,Surface water,82147,35770.973288877496,15.782753999999999
2016,20005,Atchison,Corn,Non-alluvial,Surface water,82147,38237.9369639725,11.735894
2018,20005,Atchison,Corn,Non-alluvial,Surface water,82147,20969.1912383075,12.545266
2020,20005,Atchison,Corn,Non-alluvial,Surface water,82147,29603.56410114,9.712464
2022,20005,Atchison,Corn,Non-alluvial,Surface water,82147,33304.009613782495,11.735894
2023,20005,Atchison,Multi-Crop,Non-alluvial,Surface water,82147,33920.750532556245,14.568696
2014,20005,Atchison,Corn,Non-alluvial,Surface water,82153,33304.009613782495,31.565507999999998
2015,20005,Atchison,Soybeans,Non-alluvial,Surface water,82153,33304.009613782495,15.782753999999999
2016,20005,Atchison,Corn,Non-alluvial,Surface water,82153,24669.636750949998,19.424928
2017,20005,Atchison,Soybeans,Non-alluvial,Surface water,82153,17268.745725664998,31.565507999999998
2018,20005,Atchison,Corn,Non-alluvial,Surface water,82153,30837.045938687497,19.020242
2019,20005,Atchison,Soybeans,Non-alluvial,Surface water,82153,23436.154913402497,31.565507999999998
2020,20005,Atchison,Corn,Non-alluvial,Surface water,82153,56740.164527185,18.615555999999998
2021,20005,Atchison,Soybeans,Non-alluvial,Surface water,82153,29603.56410114,31.565507999999998
2022,20005,Atchison,Corn,Non-alluvial,Surface water,82153,57973.6463647325,20.638986
2023,20005,Atchison,Multi-Crop,Non-alluvial,Surface water,82153,41630.012017228124,17.806184
2015,20005,Atchison,Other Crop,Non-alluvial,Surface water,82782,32070.527776234998,70.82005
2016,20005,Atchison,Multi-Crop,Non-alluvial,Surface water,82782,94978.10149115749,70.82005
2017,20005,Atchison,Multi-Crop,Non-alluvial,Surface water,82782,114713.8108919175,70.82005
2018,20005,Atchison,Multi-Crop,Non-alluvial,Surface water,82782,43171.8643141625,70.82005
2019,20005,Atchison,Multi-Crop,Non-alluvial,Surface water,82782,53039.7190145425,70.82005
2020,20005,Atchison,Multi-Crop,Non-alluvial,Surface water,82782,60440.610039827494,70.82005
2021,20005,Atchison,Multi-Crop,Non-alluvial,Surface water,82782,85110.2467907775,70.82005
2022,20005,Atchison,Multi-Crop,Non-alluvial,Surface water,82782,80176.3194405875,70.82005
2023,20005,Atchison,Multi-Crop,Non-alluvial,Surface water,82782,102378.9925164425,70.82005
2015,20005,Atchison,Corn,Non-alluvial,Surface water,83078,71541.94657775499,76.485654
2016,20005,Atchison,Multi-Crop,Non-alluvial,Surface water,83078,120881.22007965499,133.951066
2017,20005,Atchison,Multi-Crop,Non-alluvial,Surface water,83078,151718.2660183425,133.951066
2018,20005,Atchison,Multi-Crop,Non-alluvial,Surface water,83078,67841.50106511249,133.951066
2019,20005,Atchison,Corn,Non-alluvial,Surface water,83078,113480.32905437,133.951066
2020,20005,Atchison,Multi-Crop,Non-alluvial,Surface water,83078,182555.31195703,133.951066
2021,20005,Atchison,Multi-Crop,Non-alluvial,Surface water,83078,129515.59294248749,133.951066
2022,20005,Atchison,Multi-Crop,Non-alluvial,Surface water,83078,107312.9198666325,133.951066
2023,20005,Atchison,Multi-Crop,Non-alluvial,Surface water,83078,84394.82732499995,126.666718
2018,20005,Atchison,Corn,Non-alluvial,Surface water,86482,60440.610039827494,154.99473799999998
2019,20005,Atchison,Corn,Non-alluvial,Surface water,86482,127048.62926739249,154.99473799999998
2020,20005,Atchison,Corn,Non-alluvial,Surface water,86482,124581.66559229749,154.99473799999998
2021,20005,Atchison,Multi-Crop,Non-alluvial,Surface water,86482,102378.9925164425,154.99473799999998
2022,20005,Atchison,Multi-Crop,Non-alluvial,Surface water,86482,112246.8472168225,154.99473799999998
2023,20005,Atchison,Multi-Crop,Non-alluvial,Surface water,86482,97445.06516625249,154.99473799999998
2018,20005,Atchison,Soybeans,Non-alluvial,Surface water,86600,2590.31185884975,7.6890339999999995
2019,20005,Atchison,Corn,Non-alluvial,Surface water,86600,7302.2124782812,7.6890339999999995
2020,20005,Atchison,Corn,Non-alluvial,Surface water,86600,5168.288899324025,7.6890339999999995
2021,20005,Atchison,Soybeans,Non-alluvial,Surface water,86600,6574.458194128175,7.6890339999999995
2022,20005,Atchison,Multi-Crop,Non-alluvial,Surface water,86600,5612.342360841125,7.6890339999999995
2023,20005,Atchison,Soybeans,Non-alluvial,Surface water,86600,3083.7045938687497,7.6890339999999995
2020,20005,Atchison,Corn,Non-alluvial,Surface water,87057,83876.76495323,69.201306
2021,20005,Atchison,Multi-Crop,Non-alluvial,Surface water,87057,168987.0117440075,122.619858
2022,20005,Atchison,Multi-Crop,Non-alluvial,Surface water,87057,178854.8664443875,122.619858
2023,20005,Atchison,Multi-Crop,Non-alluvial,Surface water,87057,93744.61965360999,124.643288
2022,20005,Atchison,Corn,Non-alluvial,Groundwater,88880,170220.493581555,76.89034
2023,20005,Atchison,Soybeans,Non-alluvial,Groundwater,88880,97445.06516625249,76.89034
1993,20013,Brown,Other Crop,Non-alluvial,Surface water,36386,41938.382476615,14.16401
1994,20013,Brown,Golf Course/Turf/Sod,Non-alluvial,Surface water,36386,37818.55313920635,14.16401
1995,20013,Brown,Golf Course/Turf/Sod,Non-alluvial,Surface water,36386,15924.250522738224,14.16401
1996,20013,Brown,Golf Course/Turf/Sod,Non-alluvial,Surface water,36386,7240.538386403825,14.16401
1997,20013,Brown,Golf Course/Turf/Sod,Non-alluvial,Surface water,36386,27790.345799945175,14.16401
1998,20013,Brown,Golf Course/Turf/Sod,Non-alluvial,Surface water,36386,27790.345799945175,14.16401
1999,20013,Brown,Golf Course/Turf/Sod,Non-alluvial,Surface water,36386,27420.301248680924,14.16401
2000,20013,Brown,Golf Course/Turf/Sod,Non-alluvial,Surface water,36386,71159.56720811527,14.16401
2001,20013,Brown,Golf Course/Turf/Sod,Non-alluvial,Surface water,36386,29591.22928276452,14.16401
2002,20013,Brown,Golf Course/Turf/Sod,Non-alluvial,Surface water,36386,52348.969185515896,14.16401
2003,20013,Brown,Golf Course/Turf/Sod,Non-alluvial,Surface water,36386,51941.92017912522,14.16401
2004,20013,Brown,Golf Course/Turf/Sod,Non-alluvial,Surface water,36386,26741.886238029798,8.09372
2005,20013,Brown,Golf Course/Turf/Sod,Non-alluvial,Surface water,36386,14641.429411688823,8.09372
2006,20013,Brown,Golf Course/Turf/Sod,Non-alluvial,Surface water,36386,4736.570256182399,6.474976
2007,20013,Brown,Golf Course/Turf/Sod,Non-alluvial,Surface water,36386,47760.4167498392,8.09372
2008,20013,Brown,Golf Course/Turf/Sod,Non-alluvial,Surface water,36386,14814.116868945473,8.09372
2009,20013,Brown,Golf Course/Turf/Sod,Non-alluvial,Surface water,36386,12273.144283597623,8.09372
2010,20013,Brown,Golf Course/Turf/Sod,Non-alluvial,Surface water,36386,9621.1583328705,8.09372
2011,20013,Brown,Golf Course/Turf/Sod,Non-alluvial,Surface water,36386,13642.30912327535,8.09372
2012,20013,Brown,Golf Course/Turf/Sod,Non-alluvial,Surface water,36386,18995.6202982315,8.09372
2013,20013,Brown,Golf Course/Turf/Sod,Non-alluvial,Surface water,36386,24188.578834306474,8.09372
2014,20013,Brown,Golf Course/Turf/Sod,Non-alluvial,Surface water,36386,10842.305352042524,8.09372
2015,20013,Brown,Golf Course/Turf/Sod,Non-alluvial,Surface water,36386,14148.036676669824,8.09372
2016,20013,Brown,Golf Course/Turf/Sod,Non-alluvial,Surface water,36386,15529.536334723023,8.09372
2017,20013,Brown,Golf Course/Turf/Sod,Non-alluvial,Surface water,36386,15911.91570436275,8.09372
2018,20013,Brown,Golf Course/Turf/Sod,Non-alluvial,Surface water,36386,15221.16587533615,8.09372
2019,20013,Brown,Golf Course/Turf/Sod,Non-alluvial,Surface water,36386,19427.338941373124,24.28116
2020,20013,Brown,Golf Course/Turf/Sod,Non-alluvial,Surface water,36386,18970.95066148055,24.28116
2021,20013,Brown,Golf Course/Turf/Sod,Non-alluvial,Surface water,36386,11360.367723812475,24.28116
2022,20013,Brown,Golf Course/Turf/Sod,Non-alluvial,Surface water,36386,11064.332082801075,24.28116
2023,20013,Brown,Golf Course/Turf/Sod,Non-alluvial,Surface water,36386,18119.848193572772,24.28116
2009,20013,Brown,Soybeans,Non-alluvial,Surface water,74394,5340.976356580675,52.60918
2010,20013,Brown,Corn,Non-alluvial,Surface water,74394,42246.752936001874,31.565507999999998
2011,20013,Brown,Corn,Non-alluvial,Surface water,74394,41630.012017228124,34.39831
2012,20013,Brown,Corn,Non-alluvial,Surface water,74394,32280.219688618075,26.30459
2013,20013,Brown,Corn,Non-alluvial,Surface water,74394,31971.8492292312,40.873286
2014,20013,Brown,Soybeans,Non-alluvial,Surface water,74394,31762.157316848123,51.799808
2015,20013,Brown,Sorghum,Non-alluvial,Surface water,74394,24052.895832176247,21.853044
2016,20013,Brown,Soybeans,Non-alluvial,Surface water,74394,43270.542861166294,40.873286
2017,20013,Brown,Corn,Non-alluvial,Surface water,74394,30627.35402630442,25.495217999999998
2018,20013,Brown,Corn,Non-alluvial,Surface water,74394,35980.66520126058,51.799808
2020,20013,Brown,Soybeans,Non-alluvial,Surface water,74394,27654.66279781495,52.60918
2021,20013,Brown,Corn,Non-alluvial,Surface water,74394,29085.501729370048,52.60918
2022,20013,Brown,Multi-Crop,Non-alluvial,Surface water,74394,65275.858843013695,68.79662
2023,20013,Brown,Multi-Crop,Non-alluvial,Surface water,74394,61575.4133303712,79.318456
2010,20013,Brown,Corn,Non-alluvial,Surface water,75549,28579.774175975577,21.043672
2011,20013,Brown,Corn,Non-alluvial,Surface water,75549,21992.981163471923,18.21087
2012,20013,Brown,Corn,Non-alluvial,Surface water,75549,32070.527776234998,26.30459
2013,20013,Brown,Corn,Non-alluvial,Surface water,75549,8733.0514098363,33.993624
2015,20013,Brown,Sorghum,Non-alluvial,Surface water,75549,33205.3310667787,29.946763999999998
2016,20013,Brown,Soybeans,Non-alluvial,Surface water,75549,11409.706997314375,10.926522
2017,20013,Brown,Corn,Non-alluvial,Surface water,75549,31453.786857461248,26.30459
2019,20013,Brown,Corn,Non-alluvial,Surface water,75549,35154.232370103746,51.799808
2022,20013,Brown,Multi-Crop,Non-alluvial,Surface water,75549,32070.527776234998,34.39831
2013,20013,Brown,Soybeans,Non-alluvial,Surface water,79439,71541.94657775499,117.35894
2014,20013,Brown,Corn,Non-alluvial,Surface water,79439,87577.2104658725,117.35894
2015,20013,Brown,Soybeans,Non-alluvial,Surface water,79439,37004.455126425,117.35894
2016,20013,Brown,Corn,Non-alluvial,Surface water,79439,86343.728628325,117.35894
2017,20013,Brown,Soybeans,Non-alluvial,Surface water,79439,70308.46474020749,117.35894
2018,20013,Brown,Corn,Non-alluvial,Surface water,79439,65374.537390017496,117.35894
2020,20013,Brown,Corn,Non-alluvial,Surface water,79439,56740.164527185,117.35894
2021,20013,Brown,Multi-Crop,Non-alluvial,Surface water,79439,51806.237176995,117.35894
2022,20013,Brown,Corn,Non-alluvial,Surface water,79439,66608.01922756499,117.35894
2023,20013,Brown,Soybeans,Non-alluvial,Surface water,79439,54273.20085209,117.35894
2013,20013,Brown,Multi-Crop,Non-alluvial,Surface water,80827,75970.14637455053,102.790244
2014,20013,Brown,Multi-Crop,Non-alluvial,Surface water,80827,79929.623073078,102.790244
2015,20013,Brown,Multi-Crop,Non-alluvial,Surface water,80827,101182.51513402142,102.790244
2016,20013,Brown,Multi-Crop,Non-alluvial,Surface water,80827,196283.96480893367,103.599616
2017,20013,Brown,Multi-Crop,Non-alluvial,Surface water,80827,135645.99767509857,103.599616
2018,20013,Brown,Soybeans,Non-alluvial,Surface water,80827,7943.6230338059,50.58575
2019,20013,Brown,Multi-Crop,Non-alluvial,Surface water,80827,33057.313246273,103.599616
2020,20013,Brown,Multi-Crop,Non-alluvial,Surface water,80827,25718.096312865375,55.846668
2021,20013,Brown,Multi-Crop,Non-alluvial,Surface water,80827,68310.22416338055,109.669906
2022,20013,Brown,Multi-Crop,Non-alluvial,Surface water,80827,106215.12103121523,99.552756
2023,20013,Brown,Multi-Crop,Non-alluvial,Surface water,80827,78128.73959025864,100.766814
2013,20013,Brown,Soybeans,Non-alluvial,Surface water,81075,35770.973288877496,53.823237999999996
2014,20013,Brown,Corn,Non-alluvial,Surface water,81075,49339.273501899996,53.823237999999996
2015,20013,Brown,Soybeans,Non-alluvial,Surface water,81075,49339.273501899996,53.823237999999996
