Year,irrigated_all_reported_ha,alluvial_expansion_eligible_ha,current_fraction_basin_cultivated,cap_fraction_basin_cultivated,current_fraction_basin_area,cap_fraction_basin_area
2006,19900.618798006097,58359.7056,0.03461171460524752,0.1015008374953571,0.009132704429486133,0.026782179350625407
2007,19417.0194555771,54535.6672,0.03514481370333227,0.09870958147391748,0.008811354553180762,0.02474803615420226
2008,18222.1850969816,57753.72,0.026444524896082504,0.08381375110904572,0.008109543058183987,0.02570253109699134
2009,13478.6623419343,58237.74,0.01907890954107569,0.0824349290121939,0.005985854334191429,0.025863295596325935
2010,18883.239093515298,57019.32,0.029845363042702317,0.09012025412697444,0.008669686962019368,0.026178753165126824
2011,20436.4225882789,57817.439999999995,0.029733345863504214,0.08411970994612229,0.009300304912846781,0.026311837062354917
2012,20700.2776269933,57641.22,0.030695059582231156,0.08547231656377954,0.00939189537439717,0.026152321106392904
2013,21699.446477585097,58404.42,0.02178778920861136,0.05864219592539674,0.009776585525463087,0.026313842050528294
2014,21984.547512515,56780.1,0.02897964378692847,0.07484652896537775,0.009903197311375468,0.0255772620900899
2015,17485.4548853565,57351.87,0.023251413077151447,0.07626407370355934,0.008075302555891463,0.02648679748011671
2016,21187.923825844297,57369.24,0.02685862134718717,0.0727234393893949,0.009648306324464898,0.026124126444450634
2017,22596.6345463425,57123.450000000004,0.02832198818175836,0.07159693061740163,0.010298875749641934,0.026035174075783214
2018,22582.875234507697,57147.48,0.027599671024607912,0.06984281813129116,0.010284755701549384,0.026026263912624952
2019,19494.921441700597,56773.89,0.022813872689979996,0.06643947257999012,0.00916359838435196,0.026686597749736446
2020,22304.0468270319,56728.35,0.02543836008487879,0.06470019568700262,0.010366532146522157,0.02636634815442674
2021,22831.554561639598,56728.35,0.026039996720802903,0.06470019568700262,0.01061170854570915,0.02636634815442674
2022,22140.351484762,57285,0.025501089002181492,0.06598042874321018,0.010123790818239704,0.026193864059565794
2023,22676.155275034802,57189.69,0.026537009377970256,0.06692683664607173,0.01035426809681107,0.026113658839047014
