combo_name,climate_pathway,period,landuse_name,irrigation_name,fertilizer_name,Year,Crop,basin_irrigated_area_m2,historical_alluvial_capture,estimated_alluvial_irrigated_area_m2,basin_irrigated_fraction_of_model_cultivated,estimated_alluvial_fraction_of_cdl_cultivated,alluvial_expansion_eligible_m2
fixed_current_current_ensemble_rcp45,rcp45,early,fixed,current,current,2025,Corn,104706944.4462758,0.831524218313117,87066360.13264444,0.013697374809299495,0.17868684794937487,572359251.5555556
fixed_current_current_ensemble_rcp45,rcp45,early,fixed,current,current,2025,Sorghum,1309669.088228941,0.6350684931506849,831729.5743875849,1.713260612511684e-4,0.0017069639269078594,572359251.5555556
fixed_current_current_ensemble_rcp45,rcp45,early,fixed,current,current,2025,Soybeans,70415137.830993,0.8447582898771889,59483771.4155762,0.009211447628619066,0.12207892465238403,572359251.5555556
fixed_current_current_ensemble_rcp45,rcp45,early,fixed,current,current,2025,Wheat,223607.60445093104,0.6265486725663716,140101.04774447714,2.925151893765273e-5,2.875302766502034e-4,572359251.5555556
fixed_current_current_ensemble_rcp45,rcp45,early,fixed,current,current,2026,Corn,104706944.4462758,0.831524218313117,87066360.13264444,0.013697374809299495,0.17868684794937487,572359251.5555556
fixed_current_current_ensemble_rcp45,rcp45,early,fixed,current,current,2026,Sorghum,1309669.088228941,0.6350684931506849,831729.5743875849,1.713260612511684e-4,0.0017069639269078594,572359251.5555556
fixed_current_current_ensemble_rcp45,rcp45,early,fixed,current,current,2026,Soybeans,70415137.830993,0.8447582898771889,59483771.4155762,0.009211447628619066,0.12207892465238403,572359251.5555556
fixed_current_current_ensemble_rcp45,rcp45,early,fixed,current,current,2026,Wheat,223607.60445093104,0.6265486725663716,140101.04774447714,2.925151893765273e-5,2.875302766502034e-4,572359251.5555556
fixed_current_current_ensemble_rcp45,rcp45,early,fixed,current,current,2027,Corn,104706944.4462758,0.831524218313117,87066360.13264444,0.013697374809299495,0.17868684794937487,572359251.5555556
fixed_current_current_ensemble_rcp45,rcp45,early,fixed,current,current,2027,Sorghum,1309669.088228941,0.6350684931506849,831729.5743875849,1.713260612511684e-4,0.0017069639269078594,572359251.5555556
fixed_current_current_ensemble_rcp45,rcp45,early,fixed,current,current,2027,Soybeans,70415137.830993,0.8447582898771889,59483771.4155762,0.009211447628619066,0.12207892465238403,572359251.5555556
fixed_current_current_ensemble_rcp45,rcp45,early,fixed,current,current,2027,Wheat,223607.60445093104,0.6265486725663716,140101.04774447714,2.925151893765273e-5,2.875302766502034e-4,572359251.5555556
fixed_current_current_ensemble_rcp45,rcp45,early,fixed,current,current,2028,Corn,104706944.4462758,0.831524218313117,87066360.13264444,0.013697374809299495,0.17868684794937487,572359251.5555556
fixed_current_current_ensemble_rcp45,rcp45,early,fixed,current,current,2028,Sorghum,1309669.088228941,0.6350684931506849,831729.5743875849,1.713260612511684e-4,0.0017069639269078594,572359251.5555556
fixed_current_current_ensemble_rcp45,rcp45,early,fixed,current,current,2028,Soybeans,70415137.830993,0.8447582898771889,59483771.4155762,0.009211447628619066,0.12207892465238403,572359251.5555556
fixed_current_current_ensemble_rcp45,rcp45,early,fixed,current,current,2028,Wheat,223607.60445093104,0.6265486725663716,140101.04774447714,2.925151893765273e-5,2.875302766502034e-4,572359251.5555556
fixed_current_current_ensemble_rcp45,rcp45,early,fixed,current,current,2029,Corn,104706944.4462758,0.831524218313117,87066360.13264444,0.013697374809299495,0.17868684794937487,572359251.5555556
fixed_current_current_ensemble_rcp45,rcp45,early,fixed,current,current,2029,Sorghum,1309669.088228941,0.6350684931506849,831729.5743875849,1.713260612511684e-4,0.0017069639269078594,572359251.5555556
fixed_current_current_ensemble_rcp45,rcp45,early,fixed,current,current,2029,Soybeans,70415137.830993,0.8447582898771889,59483771.4155762,0.009211447628619066,0.12207892465238403,572359251.5555556
fixed_current_current_ensemble_rcp45,rcp45,early,fixed,current,current,2029,Wheat,223607.60445093104,0.6265486725663716,140101.04774447714,2.925151893765273e-5,2.875302766502034e-4,572359251.5555556
fixed_current_current_ensemble_rcp45,rcp45,early,fixed,current,current,2030,Corn,104706944.4462758,0.831524218313117,87066360.13264444,0.013697374809299495,0.17868684794937487,572359251.5555556
fixed_current_current_ensemble_rcp45,rcp45,early,fixed,current,current,2030,Sorghum,1309669.088228941,0.6350684931506849,831729.5743875849,1.713260612511684e-4,0.0017069639269078594,572359251.5555556
fixed_current_current_ensemble_rcp45,rcp45,early,fixed,current,current,2030,Soybeans,70415137.830993,0.8447582898771889,59483771.4155762,0.009211447628619066,0.12207892465238403,572359251.5555556
fixed_current_current_ensemble_rcp45,rcp45,early,fixed,current,current,2030,Wheat,223607.60445093104,0.6265486725663716,140101.04774447714,2.925151893765273e-5,2.875302766502034e-4,572359251.5555556
fixed_current_current_ensemble_rcp45,rcp45,early,fixed,current,current,2031,Corn,104706944.4462758,0.831524218313117,87066360.13264444,0.013697374809299495,0.17868684794937487,572359251.5555556
fixed_current_current_ensemble_rcp45,rcp45,early,fixed,current,current,2031,Sorghum,1309669.088228941,0.6350684931506849,831729.5743875849,1.713260612511684e-4,0.0017069639269078594,572359251.5555556
fixed_current_current_ensemble_rcp45,rcp45,early,fixed,current,current,2031,Soybeans,70415137.830993,0.8447582898771889,59483771.4155762,0.009211447628619066,0.12207892465238403,572359251.5555556
fixed_current_current_ensemble_rcp45,rcp45,early,fixed,current,current,2031,Wheat,223607.60445093104,0.6265486725663716,140101.04774447714,2.925151893765273e-5,2.875302766502034e-4,572359251.5555556
fixed_current_current_ensemble_rcp45,rcp45,early,fixed,current,current,2032,Corn,104706944.4462758,0.831524218313117,87066360.13264444,0.013697374809299495,0.17868684794937487,572359251.5555556
fixed_current_current_ensemble_rcp45,rcp45,early,fixed,current,current,2032,Sorghum,1309669.088228941,0.6350684931506849,831729.5743875849,1.713260612511684e-4,0.0017069639269078594,572359251.5555556
fixed_current_current_ensemble_rcp45,rcp45,early,fixed,current,current,2032,Soybeans,70415137.830993,0.8447582898771889,59483771.4155762,0.009211447628619066,0.12207892465238403,572359251.5555556
fixed_current_current_ensemble_rcp45,rcp45,early,fixed,current,current,2032,Wheat,223607.60445093104,0.6265486725663716,140101.04774447714,2.925151893765273e-5,2.875302766502034e-4,572359251.5555556
fixed_current_current_ensemble_rcp45,rcp45,early,fixed,current,current,2033,Corn,104706944.4462758,0.831524218313117,87066360.13264444,0.013697374809299495,0.17868684794937487,572359251.5555556
fixed_current_current_ensemble_rcp45,rcp45,early,fixed,current,current,2033,Sorghum,1309669.088228941,0.6350684931506849,831729.5743875849,1.713260612511684e-4,0.0017069639269078594,572359251.5555556
