Year,Crop,total_crop_area_ha,binary_flagged_area_ha,observed_irrigated_area_ha,observed_irrigated_fraction,binary_flagged_fraction,binary_to_observed_area_ratio
2006,Corn,82126.87726570944,40871.52956138091,9046.5451885599,0.11015328342865312,0.49766326106795805,4.5179158131068995
2006,Soybeans,139285.2191925954,80914.68444308569,6090.114229467799,0.043724052449863673,0.5809280045085159,13.286234279739714
2007,Corn,101380.74083103435,67575.71208673198,11030.1118638032,0.10879888796814452,0.66655374120176,6.126475680495208
2007,Soybeans,109907.57899185322,45135.100570895374,5112.596060733699,0.04651722936334231,0.41066413240019567,8.828215653011734
2008,Corn,101002.2258024997,60640.48882841116,8738.3770720246,0.08651667824738506,0.600387648357254,6.939559637744189
2008,Soybeans,140183.00255348865,76461.83263876622,6000.2740168994,0.042803149508870854,0.5454429655948567,12.743056804308639
2009,Corn,122590.5903390687,71638.79709961786,7132.584443774999,0.05818215267621481,0.5843743545199905,10.043876474836692
2009,Soybeans,141181.46552425917,58985.4615128961,3633.8747241349,0.025739035295043688,0.41779890365821887,16.23211199911095
2010,Corn,111399.39471602085,70836.7620465432,9435.8527763563,0.08470290884802525,0.6358810317337913,7.507192378418727
2010,Soybeans,140735.86024545663,68366.33959352662,6890.177744097199,0.04895822381076208,0.4857776793653676,9.922289690145645
2011,Corn,129295.53734468059,77534.89397045283,10528.7063531174,0.08143132059577281,0.5996718491819063,7.364142504315912
2011,Soybeans,145298.0523023954,83478.4560368951,7220.1988853113,0.04969233083926389,0.5745325192877266,11.56179453819795
2012,Corn,121807.47122119844,69698.74819649784,10586.3740571309,0.0869107120523534,0.5722042129084771,6.583816878220857
2012,Soybeans,147673.42368048892,93451.1773854888,6347.494297906999,0.042983321844292356,0.6328232599772512,14.722530340248287
2013,Corn,137804.875863328,117203.03244538239,12053.1571672848,0.08746538968068786,0.8504998949501752,9.723845032362137
2013,Soybeans,153324.59068756827,84090.91855148098,6675.087325267899,0.043535660492124324,0.5484503051622962,12.597725610744135
2014,Corn,122651.5688083479,104932.12629151282,11426.5014503381,0.09316229349004782,0.8555302415697347,9.183224344526554
2014,Soybeans,154539.42818451315,99940.9754260814,7632.1688690709,0.049386547877985104,0.6467021173829914,13.094701799784428
2015,Corn,128482.91422967592,93688.14305863701,7938.3135573952,0.061784974328996614,0.7291875625669588,11.802020968466117
2015,Soybeans,148278.74483956269,85924.75070365517,7127.5258732474995,0.04806842599699282,0.5794812385053946,12.055340412886563
2016,Corn,144265.08239868458,122329.18949662287,12366.9908828109,0.085724075966172,0.8479473165832281,9.891588880092923
2016,Soybeans,157069.97456689575,85690.2820908744,6791.434447400399,0.043238273044399984,0.5455548224742286,12.61740546191602
2017,Corn,136057.47729379215,115427.83753400245,10042.6788968352,0.07381203221304629,0.8483755529639607,11.493729782635768
2017,Soybeans,178517.59555681914,139283.77318894488,9704.9687284193,0.05436421378043025,0.780224340096566,14.35180030833863
2018,Corn,138302.869406619,111132.2406084822,11483.1574402461,0.0830290614324487,0.8035425518305519,9.677846984748864
2018,Soybeans,177847.93895032984,146594.5169727435,8103.6276422339,0.04556492299017936,0.8242688548315709,18.089986786748792
2019,Corn,147208.18763584297,119565.64277962878,10635.341019837098,0.07224693945792152,0.8122214171633232,11.242295151289861
2019,Soybeans,174488.10872665624,110204.24156156965,5807.036622748899,0.03328041472353794,0.6315859709053855,18.977707343853783
2020,Corn,149539.6377918715,127588.82115106146,12100.100701779998,0.08091567480336455,0.8532107141294466,10.544442917924838
2020,Soybeans,185130.7307584567,130057.04795288152,6993.5749256793,0.0377764129003733,0.7025146361171621,18.59664754220801
2021,Corn,148887.9913706884,119344.32310457635,10951.400506395301,0.07355462590081865,0.8015711811669433,10.897631132646708
2021,Soybeans,182067.64593122707,153419.4943992211,8605.640181383,0.047266169326062646,0.8426510576029125,17.827784007414223
2022,Corn,140353.74266191322,113501.18438763596,11176.8104091007,0.07963314833736651,0.8086794283857452,10.155060364557835
2022,Soybeans,189505.26291250394,116788.77031442025,7842.2007173727,0.04138249564601013,0.6162824637136465,14.892346488365185
2023,Corn,155380.23312761288,131746.25882231642,11843.9346902674,0.0762254918264928,0.8478958756234712,11.123521217199652
2023,Soybeans,167233.12575156667,127872.96182191426,8326.0024026228,0.049786801300308776,0.7646389508492238,15.358266264928364
