Crop,old_n,old_RMSE,old_MAE,old_R2,new_n,new_RMSE,new_MAE,new_R2
Corn,267,1418.9309091657217,1067.1328285422717,0.7653806325138507,534,2061.0332801638783,1710.1736249701275,0.4872192984060163
Sorghum,41,589.0579280196873,468.9585066736866,0.8427039750650097,41,589.0579280196873,468.9585066736866,0.8427039750650097
Soybeans,287,432.66354773928975,343.04746923342674,0.6558665692734639,574,515.4823378969651,426.1251108469032,0.5025885991875371
Wheat,141,535.3675947842753,438.200645120865,0.5341651161636397,141,535.3675947842753,438.200645120865,0.5341651161636397
