Year,area_capture,withdrawal_capture
2006,0.7979085030950585,0.8359244472782714
2007,0.7974222820531999,0.849740298271043
2008,0.7980574953032507,0.8799246337560701
2009,0.7900492201862065,0.8676085458445086
2010,0.8015924825204858,0.8717840195622883
2011,0.7992197638717438,0.863713659318727
2012,0.7997732869483641,0.8751067241567534
2013,0.7895352946373354,0.8781316474947519
2014,0.7894985430790807,0.8735532919628777
2015,0.75623523234444745,0.8564935549696511
2016,0.7699258845328077,0.8657400837571381
2017,0.7814632098247087,0.8665013665951508
2018,0.7778575411207136,0.8633770188819903
2019,0.7702627076637726,0.843853059195357
2020,0.7747002516059206,0.835421359417332
2021,0.7622045542053106,0.8410328610466704
2022,0.7547820568535342,0.8493225435769671
2023,0.7477680656569028,0.8250168110816123
