Domain,Crop,mean_pct_all_years,ratio_of_totals_pct,min_pct,max_pct,years_reported,years_landcover
Alluvial corridor,Corn,37.139191205544925,37.08678319336529,24.65947083929113,42.04101856848221,18,18
Alluvial corridor,Sorghum,11.613821394562441,6.593215725219817,0,55.00777528345181,15,18
Alluvial corridor,Soybeans,25.227243108363233,25.366665079666145,14.679802588285266,31.286310728147356,18,18
Alluvial corridor,Wheat,1.6414267604307065,1.0401403176721233,0,14.43719360208562,6,18
Whole basin,Corn,8.249509289372435,8.138032337983569,5.810646170236842,10.984213957960892,18,18
Whole basin,Sorghum,1.0721125219810212,0.94313262256823,0,3.5505565821659113,16,18
Whole basin,Soybeans,4.374398805713914,4.3728690793516725,2.5676410007014976,5.4241944603282475,18,18
Whole basin,Wheat,0.10777638492366501,0.09161225556775647,0,0.6397647325372117,7,18
