Domain,Year,Crop,crop_area_ha,irrigated_ha,records,reported,irrigated_pct
Alluvial corridor,2022,Corn,23558.04,9225.0115567701,1,TRUE,39.15865478100088
Alluvial corridor,2022,Sorghum,557.82,4.4515420642,1,TRUE,0.7980248223799791
Alluvial corridor,2022,Soybeans,24583.68,6668.6123549927,1,TRUE,27.126176207112607
Alluvial corridor,2022,Wheat,363.24,21.0436533944,1,TRUE,5.793319401607752
Alluvial corridor,2023,Corn,22816.44,9592.2637770666,1,TRUE,42.04101856848221
Alluvial corridor,2023,Sorghum,351.63,4.8562277063999995,1,TRUE,1.3810618281716576
Alluvial corridor,2023,Soybeans,25227.18,6992.5632115738,1,TRUE,27.718370470158774
Alluvial corridor,2023,Wheat,297.99,0,NA,FALSE,0
Whole basin,2006,Corn,82359.5136,9046.5451885599,1,TRUE,10.984213957960892
Whole basin,2006,Sorghum,6652.7104,0,NA,FALSE,0
Whole basin,2006,Soybeans,139746.432,6090.114229467799,1,TRUE,4.357974756355711
Whole basin,2006,Wheat,20486.2336,0,NA,FALSE,0
Whole basin,2007,Corn,101678.8416,11030.1118638032,1,TRUE,10.847991273538662
Whole basin,2007,Sorghum,5716.928,95.101125917,1,TRUE,1.6635005009158768
Whole basin,2007,Soybeans,110301.5872,5112.596060733699,1,TRUE,4.635106520691752
Whole basin,2007,Wheat,28430.976,28.327994954,1,TRUE,0.09963778575170969
Whole basin,2008,Corn,101180.79,8738.3770720246,1,TRUE,8.636399332348166
Whole basin,2008,Sorghum,5606.1,76.89027201799999,1,TRUE,1.3715465656695383
Whole basin,2008,Soybeans,140474.52,6000.2740168994,1,TRUE,4.271432297401266
Whole basin,2008,Wheat,24566.22,0,NA,FALSE,0
Whole basin,2009,Corn,122750.28,7132.584443774999,1,TRUE,5.810646170236842
Whole basin,2009,Sorghum,5809.23,2.0234282109999997,1,TRUE,0.03483126354095121
Whole basin,2009,Soybeans,141525.81,3633.8747241349,1,TRUE,2.5676410007014976
Whole basin,2009,Wheat,16236.09,0,NA,FALSE,0
Whole basin,2010,Corn,111602.79,9435.8527763563,1,TRUE,8.454853840442789
Whole basin,2010,Sorghum,2268.63,50.585705274999995,1,TRUE,2.2297908991329565
Whole basin,2010,Soybeans,140983.02,6890.177744097199,1,TRUE,4.887239430746482
Whole basin,2010,Wheat,8955.9,0,NA,FALSE,0
Whole basin,2011,Corn,129478.86,10528.7063531174,1,TRUE,8.131602605334493
Whole basin,2011,Sorghum,2910.33,48.96696270619999,1,TRUE,1.6825226935158555
Whole basin,2011,Soybeans,145607.4,7220.1988853113,1,TRUE,4.95867578523571
Whole basin,2011,Wheat,15287.31,28.327994954,1,TRUE,0.18530398712396098
Whole basin,2012,Corn,122057.82,10586.3740571309,1,TRUE,8.673245235029512
Whole basin,2012,Sorghum,1973.25,52.609133486,1,TRUE,2.666115975471937
Whole basin,2012,Soybeans,147920.13,6347.494297906999,1,TRUE,4.291163277038088
Whole basin,2012,Wheat,12987.63,0,NA,FALSE,0
Whole basin,2013,Corn,137986.74,12053.1571672848,1,TRUE,8.73501118099087
Whole basin,2013,Sorghum,4524.93,160.6601999534,1,TRUE,3.5505565821659113
Whole basin,2013,Soybeans,153598.95,6675.087325267899,1,TRUE,4.345789684934629
Whole basin,2013,Wheat,25382.25,0,NA,FALSE,0
Whole basin,2014,Corn,122863.32,11426.5014503381,1,TRUE,9.300173111338763
Whole basin,2014,Sorghum,1607.67,2.0234282109999997,1,TRUE,0.12586091741464353
Whole basin,2014,Soybeans,154851.66,7632.1688690709,1,TRUE,4.928696837393218
Whole basin,2014,Wheat,14932.98,0,NA,FALSE,0
Whole basin,2015,Corn,128678.94,7938.3135573952,1,TRUE,6.169085288855504
Whole basin,2015,Sorghum,5375.52,51.7997622016,1,TRUE,0.9636232811262909
Whole basin,2015,Soybeans,148624.29,7127.5258732474995,1,TRUE,4.795666894857832
Whole basin,2015,Wheat,16806.24,85.3886705042,1,TRUE,0.5080771814766419
Whole basin,2016,Corn,144499.95,12366.9908828109,1,TRUE,8.558474160586837
Whole basin,2016,Sorghum,5021.01,21.448339036599997,1,TRUE,0.42717180480819583
Whole basin,2016,Soybeans,157446.72,6791.434447400399,1,TRUE,4.313481060386904
Whole basin,2016,Wheat,12364.11,0,NA,FALSE,0
Whole basin,2017,Corn,136295.46,10042.6788968352,1,TRUE,7.368315053806781
Whole basin,2017,Sorghum,1695.78,0,NA,FALSE,0
Whole basin,2017,Soybeans,178920,9704.9687284193,1,TRUE,5.4241944603282475
Whole basin,2017,Wheat,6735.33,0,NA,FALSE,0
Whole basin,2018,Corn,138586.32,11483.1574402461,1,TRUE,8.285924209724378
Whole basin,2018,Sorghum,1886.22,44.1107349998,1,TRUE,2.3385784797001414
Whole basin,2018,Soybeans,178181.46,8103.6276422339,1,TRUE,4.547963431343475
Whole basin,2018,Wheat,8236.44,16.187425687999998,1,TRUE,0.19653425130274726
Whole basin,2019,Corn,147440.88,10635.341019837098,1,TRUE,7.213291876606473
Whole basin,2019,Sorghum,5370.75,25.8998811008,1,TRUE,0.48223955873574453
Whole basin,2019,Soybeans,174874.95,5807.036622748899,1,TRUE,3.3206795042679915
Whole basin,2019,Wheat,9568.35,0,NA,FALSE,0
Whole basin,2020,Corn,149664.15000000002,12100.100701779998,1,TRUE,8.084835748427393
Whole basin,2020,Sorghum,5430.24,0.4046856422,1,TRUE,0.007452444867998467
Whole basin,2020,Soybeans,185462.46,6993.5749256793,1,TRUE,3.7708843750262453
Whole basin,2020,Wheat,7400.88,2.0234282109999997,1,TRUE,0.027340373185350927
Whole basin,2021,Corn,149664.15000000002,10951.400506395301,1,TRUE,7.317317144015651
Whole basin,2021,Sorghum,5430.24,32.779537018199996,1,TRUE,0.6036480343078758
Whole basin,2021,Soybeans,185462.46,8605.640181383,1,TRUE,4.640098153223569
Whole basin,2021,Wheat,7400.88,47.3482201374,1,TRUE,0.6397647325372117
Whole basin,2022,Corn,149099.49,11176.8104091007,1,TRUE,7.496209684621122
Whole basin,2022,Sorghum,6564.78,68.39187353179999,1,TRUE,1.0417999313274777
Whole basin,2022,Soybeans,182481.39,7842.2007173727,1,TRUE,4.297534514271674
Whole basin,2022,Wheat,7427.61,21.0436533944,1,TRUE,0.2833166172483477
Whole basin,2023,Corn,140604.57,11843.9346902674,1,TRUE,8.42357733483869
Whole basin,2023,Sorghum,4464,4.8562277063999995,1,TRUE,0.10878646295698924
Whole basin,2023,Soybeans,189876.51,8326.0024026228,1,TRUE,4.384956518646145
Whole basin,2023,Wheat,6376.23,0,NA,FALSE,0
