Year,Crop,irrigated_area_ha_Alluvial corridor,irrigated_area_ha_Whole basin,withdrawal_m3_Alluvial corridor,withdrawal_m3_Whole basin,area_capture,withdrawal_capture
2006,Alfalfa,86.60272743079999,91.4589551372,92104.0888096718,93830.96338223832,0.9469026548672566,0.9815958985145259
2006,Corn,7324.203095356699,9046.5451885599,14381621.132246194,17555542.587713167,0.8096132769688429,0.819206872153963
2006,Golf Course/Turf/Sod,95.5058115592,1040.8514717383998,294987.1814494846,2503376.058939402,0.0917573872472784,0.11783574441247191
2006,Multi-Crop,6507.7498122182,7912.4136762944,11428529.93015535,13544518.683194583,0.8224734042553191,0.8437752715668918
2006,Other Crop,624.0252602723999,759.5949504094,1051481.5924173663,1249652.7844377477,0.8215237080447522,0.8414189969499857
2006,Soybeans,5262.5320911687995,6090.114229467799,7784232.510758012,8790667.346468143,0.8641105721310386,0.8855109861352574
2006,Unknown,0,0,140958899.98505667,166798013.20100382,NA,0.845087404099897
2007,Alfalfa,64.74970275199999,69.6059304584,103982.51890525426,105277.67483467911,0.9302325581395348,0.9876977152899826
2007,Corn,9301.2948003248,11030.1118638032,11555455.211238988,13623560.199344628,0.843263868506017,0.8481964363320296
2007,Golf Course/Turf/Sod,94.2917546326,828.3915095834,268417.98266871145,2298359.042720632,0.11382510991695165,0.11678679339455056
2007,Multi-Crop,5067.473611628399,6419.123656576399,6333078.1333385045,7778657.172852297,0.78943386710377,0.814160849695382
2007,Other Crop,591.6504088964,766.4746063268,734883.8091740495,916686.6972101756,0.7719112988384372,0.8016739104108077
2007,Sorghum,52.60913348599999,95.101125917,127134.97299602084,174044.28727795224,0.553191489361702,0.7304748405386252
2007,Soybeans,4216.6220489029,5112.596060733699,5026093.113091549,5796464.19473184,0.8247516523528715,0.8670963787992603
2007,Unknown,0,0,150387129.42371637,174709923.41676638,NA,0.8607818404508795
2007,Wheat,28.327994954,28.327994954,20019.410223395924,20019.410223395924,1,1
2008,Alfalfa,237.5504719714,237.5504719714,136386.08677762706,136386.08677762706,1,1
2008,Corn,7300.1242996458,8738.3770720246,6793820.604117622,7789573.487114592,0.8354096234890938,0.8721684974608518
2008,Golf Course/Turf/Sod,86.1980417886,839.3180219228,197369.42882597545,1651582.8412026004,0.10270009643201543,0.11950319651072475
2008,Multi-Crop,4989.773968326,6319.166302953,4048657.435382159,5429515.682879834,0.7896253602305475,0.745675613047449
2008,Other Crop,538.6365897682,621.5971464191999,377174.0762852745,458127.48928351694,0.8665364583333334,0.8232950109043914
2008,Sorghum,24.281138532,76.89027201799999,17293.415362415948,28653.783086228425,0.31578947368421056,0.6035299182092122
2008,Soybeans,5045.6205869496,6000.2740168994,3983097.8757165098,4835569.508463962,0.8408983610979969,0.8237081214001113
2008,Unknown,0,0,163696164.08930475,183381177.38654155,NA,0.8926552137041656
2009,Corn,6006.3443015324,7132.584443774999,2954781.0722082853,3514966.848730482,0.8420992907801419,0.840628432463162
2009,Golf Course/Turf/Sod,128.2853485774,851.4585911887999,145328.83009984644,1219296.7964157036,0.15066539923954372,0.11919069296914518
2009,Multi-Crop,3961.0630658536,5074.3532675458,1456199.3181350764,2662976.273899673,0.7806045139165803,0.5468315029343511
2009,Other Crop,279.233093118,339.935939448,348409.2798336668,422529.2034518961,0.8214285714285714,0.8245803532331046
2009,Sorghum,2.0234282109999997,2.0234282109999997,727.754284153025,727.754284153025,1,1
2009,Soybeans,3101.7131046419,3633.8747241349,1071587.3463693906,1273755.019543426,0.8535553204521409,0.8412821381881566
2009,Unknown,0,0,151541310.71392792,172456043.7291077,NA,0.8787242675702776
2010,Alfalfa,93.4823833482,100.7667249078,64474.09564860782,65769.2515780327,0.9277108433734941,0.9803075768942235
2010,Corn,7944.9908704915,9435.8527763563,6735933.301481518,7946497.046487385,0.8420003002165848,0.8476607066077025
2010,Golf Course/Turf/Sod,105.6229526142,819.2860826338999,225591.49326906225,1805570.7138020303,0.12892072116571995,0.12494193195791775
2010,Multi-Crop,4465.7060616769995,5780.934398826999,3913233.464437819,5750418.317736192,0.7724886244312216,0.6805128337130036
2010,Other Crop,361.7889641267999,479.552486007,371031.336734288,540573.4153051919,0.7544303797468351,0.6863662293211638
2010,Sorghum,50.585705274999995,50.585705274999995,42703.14121589445,42703.14121589445,1,1
2010,Soybeans,5861.0621559825995,6890.177744097199,6044690.079719899,7193172.683842001,0.8506401973452368,0.8403371287468276
2010,Unknown,0,0,168227840.67745212,189581310.8474292,NA,0.8873651095958406
2011,Alfalfa,79.3183858712,79.3183858712,130502.3784125255,130502.3784125255,1,1
2011,Corn,9007.0883384454,10528.7063531174,17653789.416073825,20168698.530194297,0.8554791098128145,0.8753063262681311
2011,Golf Course/Turf/Sod,110.4791803206,776.7940902029,272587.151279622,2173740.3726732084,0.14222453764001042,0.12540004993531106
2011,Multi-Crop,4851.7761643358,6317.5475603842,8678642.52598208,11235021.299480898,0.7679841137659343,0.7724633798765532
2011,Other Crop,445.15420642,570.6067555019999,956330.8034689522,1162976.0157132847,0.7801418439716312,0.8223134360018668
2011,Sorghum,48.96696270619999,48.96696270619999,82211.56447254086,82211.56447254086,1,1
2011,Soybeans,5865.3113552257,7220.1988853113,10359397.21264268,12389560.299425358,0.8123476165120646,0.8361392141675247
2011,Unknown,0,0,164581865.72275573,187361734.2896727,NA,0.8784177107813386
2011,Wheat,28.327994954,28.327994954,15467.862242845647,15467.862242845647,1,1
