solution_id,Corn,Soybeans,Sorghum,Wheat,scenario_name,seed,fert_factor,irr_eff,fertilizer_reduction_fraction,irrigation_water_savings_fraction,irrig_frac_factor,basin_irrigated_area_m2,basin_irrigated_fraction_of_model_cultivated,estimated_alluvial_irrigated_area_m2,estimated_alluvial_irrigated_fraction_of_cdl_cultivated,estimated_alluvial_irrigated_fraction_of_expansion_eligible,nitrate,irrigation,profit,profit_minimized,feasible,phase,gcm_name,climate_pathway,period,landuse_name,crop_bound_type,annual_relative_change,transition_years,crop_reference_period
1,0.3915616582793237,0.4624927755677158,0.0529229750029411,0.09302259115001943,fixed_ensemble_rcp45_early,1,0.7821848940389322,1.1748031718157557,0.2178151059610678,0.14879358177556068,1,200165252.73215955,0.02310940001810738,167020334.045344,0.3427769001546261,0.2918103159709865,10189223.87050844,23194153.289806105,186644656.672523,-186644656.672523,TRUE,crop_fert_irreff,ensemble,rcp45,early,fixed,dynamic_relative_transition,0.01,25,historical
2,0.4273148034275267,0.4267396304195128,0.0529229750029411,0.09302259115001943,fixed_ensemble_rcp45_early,1,0.7617923724697903,1.0311570739341622,0.23820762753020974,0.030215642913924867,1,200165252.73215958,0.023109400018107382,166929261.7311502,0.34258999186152694,0.2916511985740958,10212723.178696696,26429499.466265157,191830715.69828817,-191830715.69828817,TRUE,crop_fert_irreff,ensemble,rcp45,early,fixed,dynamic_relative_transition,0.01,25,historical
3,0.4858353876848702,0.3682190461621694,0.0529229750029411,0.09302259115001943,fixed_ensemble_rcp45_early,1,0.7617923724697903,1.0311570739341622,0.23820762753020974,0.030215642913924867,1,200165252.73215955,0.02310940001810738,166789606.0141705,0.3423033755400545,0.2914071984699652,10290648.631991493,26436043.53484874,195707587.70966166,-195707587.70966166,TRUE,crop_fert_irreff,ensemble,rcp45,early,fixed,dynamic_relative_transition,0.01,25,historical
4,0.40186661072470203,0.4521878231223376,0.0529229750029411,0.09302259115001943,fixed_ensemble_rcp45_early,1,0.7605045793112367,1.1585393559593842,0.23949542068876328,0.13684416946552325,1,200165252.73215955,0.02310940001810738,166993610.7251233,0.34272205571356174,0.29176362620376756,10175373.20964079,23520872.16073032,190414812.93670082,-190414812.93670082,TRUE,crop_fert_irreff,ensemble,rcp45,early,fixed,dynamic_relative_transition,0.01,25,historical
