solution_id,Crop,basin_irrigated_area_m2,basin_model_cultivated_area_m2,basin_irrigated_fraction_of_model_cultivated,alluvial_capture,estimated_alluvial_irrigated_area_m2,alluvial_cdl_cultivated_area_m2,alluvial_expansion_eligible_area_m2,estimated_alluvial_irrigated_fraction_of_cdl_cultivated,estimated_alluvial_irrigated_fraction_of_expansion_eligible
1,Corn,121091090.97099791,8661637800,0.013980161000382388,0.831524218313117,100690174.76434158,487256679.1111111,572359251.5555556,0.20664708988295016,0.1759212845615516
1,Soybeans,76853570.65896139,8661637800,0.008872868207322337,0.8447582898771889,64922690.92081992,487256679.1111111,572359251.5555556,0.1332412539511138,0.11342996683354607
1,Sorghum,1896748.0155619322,8661637800,2.1898260575637697e-4,0.6350684931506849,1204564.9041294681,487256679.1111111,572359251.5555556,0.0024721362595314703,0.002104560904459405
1,Wheat,323843.08663832536,8661637800,3.738820464627664e-5,0.6265486725663716,202903.45605303923,487256679.1111111,572359251.5555556,0.00041642006103064693,3.5450367142941965e-4
2,Corn,128854729.68793693,8661637800,0.014876485563496656,0.831524218313117,107145828.37970974,487256679.1111111,572359251.5555556,0.2198960691009365,0.18720030835268103
2,Soybeans,69145268.35257295,8661637800,0.007982932321710906,0.8447582898771889,58411038.646618836,487256679.1111111,572359251.5555556,0.11987734832732612,0.10205310473774916
2,Sorghum,1849481.6697695511,8661637800,2.1352563019542923e-4,0.6350684931506849,1174547.5371303614,487256679.1111111,572359251.5555556,0.0024105314251885806,0.0020521159288299806
2,Wheat,315773.02188015333,8661637800,3.6456502704390774e-5,0.6265486725663716,197847.16769128188,487256679.1111111,572359251.5555556,4.0604300807576204e-4,3.4566955483566255e-4
3,Corn,140759956.22119465,8661637800,0.01625096309397683,0.831524218313117,117045312.56661744,487256679.1111111,572359251.5555556,0.24021284383446517,0.20449623597157238
3,Soybeans,57324897.97081337,8661637800,0.0066182515702530725,0.8447582898771889,48425682.77720864,487256679.1111111,572359251.5555556,0.09938433859039197,0.08460714602864813
3,Sorghum,1777000.6367676114,8661637800,2.0515757848563136e-4,0.6350684931506849,1128517.1167198145,487256679.1111111,572359251.5555556,0.0023160628988781375,0.001971693676048278
3,Wheat,303397.90338391566,8661637800,3.502777539184514e-5,0.6265486725663716,190093.55362461263,487256679.1111111,572359251.5555556,3.901302163192407e-4,3.3212279369640164e-4
4,Corn,123369173.01324353,8661637800,0.014243169232179569,0.831524218313117,102584455.15377301,487256679.1111111,572359251.5555556,0.21053473364575526,0.17923088492929817
4,Soybeans,74591725.96208353,8661637800,0.008611734603135164,0.8447582898771889,63011978.8627176,487256679.1111111,572359251.5555556,0.1293198873695659,0.11009165780314357
4,Sorghum,1882878.6667323348,8661637800,2.1738136715117952e-4,0.6350684931506849,1195756.9176672746,487256679.1111111,572359251.5555556,0.0024540595725617573,0.002089171991921947
4,Wheat,321475.0901001506,8661637800,3.711481564146571e-5,0.6265486725663716,201419.79096540407,487256679.1111111,572359251.5555556,4.133751256788283e-4,3.5191147940386426e-4
