solution_id,Corn,Soybeans,Sorghum,Wheat,scenario_name,seed,fert_factor,irr_eff,irrig_frac_factor,fertilizer_reduction_fraction,irrigation_water_savings_fraction,nutrient_management_cost_usdyr,basin_irrigated_area_m2,basin_irrigated_fraction_of_model_cultivated,estimated_alluvial_irrigated_area_m2,estimated_alluvial_irrigated_fraction_of_cdl_cultivated,estimated_alluvial_irrigated_fraction_of_expansion_eligible,alluvial_target_irrig_area_cap_m2,alluvial_target_irrig_area_headroom_m2,alluvial_target_irrig_area_cap_fraction,nitrate,irrigation,profit,profit_minimized,crop_bounds_feasible,irrigation_extent_feasible,alluvial_area_feasible,feasible,phase,gcm_name,climate_pathway,period,landuse_name,crop_bound_type,annual_relative_change,transition_years,crop_reference_period,irrig_frac_factor_min,irrig_frac_factor_max
1,0.3571695934501848,0.4968848403968548,0.0529229750029411,0.09302259115001943,bau_ensemble_rcp85_early,101,0.7593192199943587,1.0341094966558013,1.0069933225167915,0.2406807800056413,0.032984414867195166,66554119.43647479,227768532.37832284,0.023271011505603553,190157658.59549284,0.3902617793611207,0.33223479498004643,513948162.4998698,323790503.904377,0.36999384854409517,10983527.083131695,30098607.941345785,141310606.43651715,-141310606.43651715,TRUE,TRUE,TRUE,TRUE,crop_fert_irreff_irrigfrac,ensemble,rcp85,early,bau,dynamic_relative_transition,0.01,25,historical,0.85,1.15
2,0.4903560235767572,0.3682190461621694,0.0529229750029411,0.0885019552581324,bau_ensemble_rcp85_early,101,0.9774413240374997,1.0767579550707962,0.9213896060874857,0.022558675962500274,0.07128617412048688,6238025.380762791,208406107.20503372,0.02129276097960209,173657178.28658354,0.3563977380533429,0.303405907766178,513948162.4998698,340290984.2132863,0.3378885089148023,11469109.476867395,26466286.9525919,174908420.90982145,-174908420.90982145,TRUE,TRUE,TRUE,TRUE,crop_fert_irreff_irrigfrac,ensemble,rcp85,early,bau,dynamic_relative_transition,0.01,25,historical,0.85,1.15
3,0.4858353876848702,0.3682190461621694,0.0529229750029411,0.09302259115001943,bau_ensemble_rcp85_early,101,0.7214822973823174,1.1611853207996798,1.0815080719301475,0.2785177026176826,0.1388110217313766,77016953.51309456,244622780.30123848,0.024993002657045824,203834264.89676315,0.4183303659759213,0.35612993822111416,513948162.4998698,310113897.6031067,0.396604715746629,11120957.379786478,28803857.850749582,146374888.69182372,-146374888.69182372,TRUE,TRUE,TRUE,TRUE,crop_fert_irreff_irrigfrac,ensemble,rcp85,early,bau,dynamic_relative_transition,0.01,25,historical,0.85,1.15
4,0.48583538768487017,0.3682190461621694,0.0529229750029411,0.09302259115001943,bau_ensemble_rcp85_early,101,0.7749567169696092,1.052950852822363,1.0254599877865984,0.22504328303039078,0.050288057301470346,62229969.24320244,231945447.11288452,0.023697765060324005,193270756.1012318,0.39665080928969576,0.3376738570678492,513948162.4998698,320677406.398638,0.37605106935523047,11200756.426347375,30118479.94109156,152109710.37550542,-152109710.37550542,TRUE,TRUE,TRUE,TRUE,crop_fert_irreff_irrigfrac,ensemble,rcp85,early,bau,dynamic_relative_transition,0.01,25,historical,0.85,1.15
5,0.4903560235767572,0.3682190461621694,0.0529229750029411,0.0885019552581324,bau_ensemble_rcp85_early,101,0.9328903678013905,1.0767579550707962,0.9826164054218679,0.06710963219860955,0.07128617412048688,18557453.88800662,222254797.0769388,0.02270767557724872,185196784.48322445,0.38008054568092087,0.3235673818146512,513948162.4998698,328751378.0166454,0.36034136902526887,11415730.02805835,28224984.93406084,170090814.45247465,-170090814.45247465,TRUE,TRUE,TRUE,TRUE,crop_fert_irreff_irrigfrac,ensemble,rcp85,early,bau,dynamic_relative_transition,0.01,25,historical,0.85,1.15
6,0.43937590551339,0.41467852833364965,0.0529229750029411,0.09302259115001943,bau_ensemble_rcp85_early,101,0.9203068721806631,1.079854860014692,1.0851357147097587,0.0796931278193369,0.07394962320547926,22037098.047588523,245443304.97943574,0.02507683530516266,204652793.97130024,0.4200102384325294,0.3575600349170486,513948162.4998698,309295368.5285696,0.3981973453817963,11326947.723000387,31071392.141116615,165290501.12260115,-165290501.12260115,TRUE,TRUE,TRUE,TRUE,crop_fert_irreff_irrigfrac,ensemble,rcp85,early,bau,dynamic_relative_transition,0.01,25,historical,0.85,1.15
7,0.43920441064484067,0.4148500232021988,0.0529229750029411,0.09302259115001943,bau_ensemble_rcp85_early,101,0.9476978965630279,1.1386404580697125,1.1371360937724644,0.05230210343697206,0.1217596450988081,14462810.195485938,257205100.9689334,0.026278532866015943,214460421.58964664,0.44013849534270283,0.3746954749255594,513948162.4998698,299487740.9102232,0.41728025750009556,11359958.107722847,30879308.69375116,168376121.38269404,-168376121.38269404,TRUE,TRUE,TRUE,TRUE,crop_fert_irreff_irrigfrac,ensemble,rcp85,early,bau,dynamic_relative_transition,0.01,25,historical,0.85,1.15
8,0.4858353876848702,0.3682190461621694,0.0529229750029411,0.09302259115001943,bau_ensemble_rcp85_early,101,0.705077826756334,1.0343938335002822,1.0069933225167915,0.294922173243666,0.03325023060500765,81553190.67049554,227768532.3783228,0.02327101150560355,189790302.05926812,0.38950785119148557,0.3315929663816158,513948162.4998698,324157860.4406017,0.3692790750260075,11095408.955463046,30106696.0936195,144584267.01794717,-144584267.01794717,TRUE,TRUE,TRUE,TRUE,crop_fert_irreff_irrigfrac,ensemble,rcp85,early,bau,dynamic_relative_transition,0.01,25,historical,0.85,1.15
